cine_id,subgroup,subgroup2,genus_species,common_name,biblio_id,part,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,part_edited,food_item_id,location,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,comments_on_data_processing_methods,publication_year,bc_id,af_id,type,bibliography,exclude_for_wrong_units,seanuts_id2,sea_id
63,Marine Invertebrates,Crustacean,Brachyura,Crabs,27,muscle,NA,NA,NA,NA,NA,23,2.2,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Marine Invertebrates,Crustacean,Brachyura,Crabs,27,muscle,60,5.2,2.83,NA,NA,16.2,2.6,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Marine Invertebrates,Crustacean,Brachyura,Crabs,27,whole,NA,NA,NA,NA,NA,NA,NA,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Marine Invertebrates,Crustacean,Callinectes sapidus,Blue Crab,65,muscle,74,NA,NA,NA,NA,16.4,0.77,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Marine Invertebrates,Crustacean,Callinectes sapidus,Blue Crab,27,muscle,115,2.32,4025,NA,NA,15.9,1.3,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Marine Invertebrates,Crustacean,Callinectes sapidus,Blue Crab,27,offal,NA,NA,NA,NA,NA,12.4,1.5,viscera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Marine Invertebrates,Crustacean,Callinectes sapidus,Blue Crab,27,eggs,NA,NA,NA,NA,NA,8.5,9.6,eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Marine Invertebrates,Crustacean,Cancer borealis,Jonah Crab,27,muscle,96,NA,NA,NA,NA,16.2,1.9,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Marine Invertebrates,Crustacean,Cancer borealis,Jonah Crab,55,muscle,NA,NA,NA,0.28,0.1,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Marine Invertebrates,Crustacean,Cancer irroratus,Atlantic Rock Crab,55,muscle,NA,NA,NA,0.27,0.15,NA,1.2,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Marine Invertebrates,Crustacean,Cancer irroratus,Atlantic Rock Crab,55,muscle,NA,NA,NA,0.27,0.15,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Marine Invertebrates,Crustacean,Cancer magister,Dungeness Crab,27,muscle,52,0.365,3.76,NA,NA,17.3,1.3,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Marine Invertebrates,Crustacean,Cancer magister,Dungeness Crab,27,whole,NA,NA,2.7,NA,NA,NA,NA,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Marine Invertebrates,Crustacean,Cancer magister,Dungeness Crab,27,offal,NA,NA,NA,NA,NA,14,0.8,viscera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Marine Invertebrates,Mollusc,Cardiidae,Cockles,27,muscle,NA,7.8,NA,NA,NA,9.5,0.6,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Marine Invertebrates,Mollusc,Cardiidae,Cockles,27,whole,116,NA,NA,NA,NA,NA,NA,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Marine Invertebrates,Mollusc,Clinocardium nuttallii,Nuttall Cockle,19,muscle,30,16.2,NA,NA,NA,13.5,0.7,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Marine Invertebrates,Mollusc,Clinocardium nuttallii,Nuttall Cockle,27,whole,NA,NA,NA,NA,NA,11.8,1.1,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,Marine Invertebrates,Mollusc,Crassostrea virginica,Eastern Oyster,55,muscle,NA,NA,NA,0.11,0.09,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Marine Invertebrates,Mollusc,Crassostrea virginica,Eastern Oyster,65,muscle,61,7.65,82.5,NA,NA,8.59,2.36,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Marine Invertebrates,Mollusc,Ensis directus,Atlantic Jackknife Clam,27,whole,50,11,6.32,NA,NA,11.2,1.5,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,Marine Invertebrates,Mollusc,Enteroctopus dofleini,Pacific Giant Octopus,19,muscle,24,5.3,NA,NA,NA,11.9,0.6,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
