species_no,q2.5,q97.5,mean,dataset
1,2.307538527800215,2.475213428775739,2.3940539235913625,WA
1.5,2.461953982204904,2.6026029940764723,2.5357175357227595,WA
2,2.577316949808209,2.699317821229529,2.6413146922350776,WA
2.5,2.669870233885852,2.7765165025758956,2.7262589869788427,WA
3,2.74868086891358,2.8421162050282116,2.7976992799904923,WA
3.5,2.817185042229381,2.9005739095049488,2.8595682282148855,WA
4,2.8738791351937447,2.9533823939588473,2.9142727743473227,WA
4.5,2.923550056239323,3.0012684836507337,2.9633986290564134,WA
5,2.968824949577165,3.0452180190793063,3.008048542352966,WA
5.5,3.0077651516116735,3.086684104522497,3.049021907787421,WA
6,3.0439424981412584,3.126451838632503,3.086917599985505,WA
6.5,3.07777758179288,3.1643561453086018,3.122196434300065,WA
7,3.1084434867893616,3.1991384337941624,3.155220945791283,WA
7.5,3.138345200958205,3.2334776929238185,3.186281732388732,WA
8,3.1647856907444734,3.265800861522453,3.215615480858155,WA
8.5,3.190503030117512,3.2966656303516437,3.243417649911828,WA
9,3.213716641909855,3.3266011645013402,3.269851610832764,WA
9.5,3.2363235457703516,3.3560653001695897,3.2950553741928017,WA
10,3.2579676146657333,3.3833249118024624,3.319146631926574,WA
1,1.92774186751957,2.2072906263382817,2.0685889551481833,YU
1.5,2.073015389119368,2.3042860457269985,2.1882622621594363,YU
2,2.178756202305961,2.378618616951492,2.2774344738272707,YU
2.5,2.2603502534787565,2.437194038632437,2.349148009645192,YU
3,2.329274993973062,2.491103429445862,2.409449469522738,YU
3.5,2.3897629074062112,2.540384784093637,2.461664145372108,YU
4,2.4413426605053856,2.5814904117564854,2.5078267688994553,YU
4.5,2.4822509434317372,2.6180245935866284,2.54927757731233,YU
5,2.5182513602892915,2.6545115001972053,2.586948459824338,YU
5.5,2.5524942041415324,2.6883413130004232,2.621514857009053,YU
6,2.5844749421363944,2.7218569986988648,2.653482720818099,YU
6.5,2.609581399986742,2.7562098347286197,2.6832413232577457,YU
7,2.6338193087779556,2.785592021780297,2.711096884646033,YU
7.5,2.656806788938031,2.8139791206161533,2.7372948410075115,YU
8,2.676849483964405,2.8431088724016016,2.7620350795349937,YU
8.5,2.6983972040492117,2.869187415111649,2.7854826572953644,YU
9,2.7149560835768174,2.896351524387436,2.807775525461883,YU
9.5,2.731146240331099,2.9227550894338243,2.8290302132410368,YU
