taxon_common_name,subgroup,genus_species,location_of_study,methylmercury,number_of_samples,biblio_id,bibliography,dataset
bullhead-brown,finfish,Ameiurus nebulosus,US,12.566238095238086,105,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
butterfish,finfish,Poronotus triacanthus,US-NY/NJ,7.6,4,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
carp-common,finfish,Cyprinus carpio,US-Atlantic,6.293749999999999,4,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",karimi
carp-common,finfish,Cyprinus carpio,US-Delaware,12.70964285714286,14,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,karimi
carp-common,finfish,Cyprinus carpio,US-Maryland,8.834999501705173,1,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,karimi
carp-common,finfish,Cyprinus carpio,US-New Jersey,14.819999999999999,6,karimi,State of New Jersey. 2008. Routine Monitoring Program for Toxics in Fish: Year 3 Raritan River Region. Available: http://www.state.nj.us/dep/dsr/fishmonitoring-year3.pdf [accessed 29 November 2011].,karimi
carp-common,finfish,Cyprinus carpio,US-North Carolina,40.85,1,karimi,"State of North Carolina. 2011. Statewide Fish Tissue Metals Results Available: http://portal.ncdenr.org/web/wq/ess/bau/fish-tissue-data, for 1990-2010 [accessed 26 January 2011].",karimi
carp-common,finfish,Cyprinus carpio,US-Virginia,6.582509426840415,35,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,karimi
carp-common,finfish,Cyprinus carpio,US,12.566007604562733,263,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
catfish (wild),finfish,Cyprinus carpio,US-South Carolina,7.125,2,karimi,"Koli AK, Williams WR, McClary EB, Wright EL, Burrell TM. 1977. Mercury Levels in Freshwater Fish of State of South-Carolina. Bull Environ Contam Toxicol 17(1):82-89.",karimi
catfish (wild),finfish,Cyprinus carpio,US-Maryland,6.934998482465744,2,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,karimi
catfish-blue (wild),finfish,Ictalurus furcatus,US-Louisiana,8.339954437869817,169,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,karimi
catfish-blue (wild),finfish,Ictalurus furcatus,US-Louisiana,13.090166666666669,114,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,karimi
catfish-blue (wild),finfish,Ictalurus furcatus,US-North Carolina,22.23,15,karimi,"State of North Carolina. 2011. Statewide Fish Tissue Metals Results Available: http://portal.ncdenr.org/web/wq/ess/bau/fish-tissue-data, for 1990-2010 [accessed 26 January 2011].",karimi
catfish-blue (wild),finfish,Ictalurus furcatus,US-Virginia,11.541634553558026,40,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,karimi
catfish-blue (wild),finfish,Ictalurus furcatus,US,11.77859259259259,135,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
