species_name,calcium,zinc,iron,epa,dha
Abramis brama,26.848333333333333,0.5675133333333333,0.3416666666666667,0.09322,0.12087
Amblypharyngodon mola,1013.9,3.7666666666666666,12.2,94.6,133.3
Anabas testudineus,168.8,0.75,1.585,0.013686809749999999,0.09482440675
Anarhichas lupus,6.8,0.78,0.15,0.16104126866666665,0.14857718
Aphanopus carbo,12.95,0.385,0.1,0.045188149999999996,0.13160337500000002
Boreogadus saida,43.0,0.37,0.25,0.1,0.2
Botia dario,1300.0,4.0,2.5,0.096,0.12
Carassius carassius,58.0,0.55,0.8500000000000001,0.07539,0.05026
Carcinus maenus,91.55,4.296,0.286,154.0,115.0
Catla catla,115.4,1.55,0.865,0.0374498,0.0445158
Chamelea gallina,222.8145888888889,1.21735,8.189175,0.1436040256,0.129164672
Channa striata,89.65,0.7,0.4,0.005620824,0.08419735175000001
Chondrostoma nasus,55.0,0.5,0.95,0.064194,0.096291
Cipangopaludina chinensis,1200.0,8.1,4.3,0.00334248,0.003676728
Clarias batrachus,193.43333333333334,0.78,1.3333333333333335,0.05312,0.03984
Coregonus autumnalis,20.6,0.75,0.73,0.3,0.3
Coregonus clupeaformis,17.133333333333333,0.4875,0.33666666666666667,0.10600000000000001,0.25
Coregonus lavaretus,33.519999999999996,0.6088333333333333,0.36333333333333334,0.18614769,0.17853284833333333
Crassostrea madrasensis,145.0,0.43,3.7,377.9,383.4
Crassostrea rhizophorae,13.14,11.871063,2.39,0.1128395,0.0619544
Ctenopharyngodon idella,54.0,0.91,0.46,0.012189485,0.05540675
Cyclopterus lumpus,8.65,0.8865000000000001,0.405,1.6074609933333333,1.6662046273333333
Cyprinus carpio,117.75,1.4358613333333334,0.616,0.09559298675,30.493186001599998
Dentex sp.,249.29,0.61166,0.71,0.13979822,0.4284139
Eleutheronema tetradactylum,37.0,0.9,0.6,0.115452356,0.192550388
Esox lucius,76.0,0.7806734444444444,1.2261,0.049509643000000006,0.1871504904
Fenneropenaeus indicus,429.7,6.09,10.81,84.5,80.6
Gadus macrocephalus,11.8,0.38393333333333335,0.18,0.054679898,0.144061265
Gadus morhua,8.7,0.34,0.12,0.0440331636,0.1129974936
Gasterochisma melampus,11.0,0.5,0.9,0.087873,0.32737
Hexaplex trunculus,736.2666666666667,169.0,11.333333333333334,0.644600279,0.734312688
Homarus gammarus,35.25,3.3,1.02,0.028,0.178
Isurus oxyrinchus,12.0,0.4,1.2,0.0253916,0.205086
Katsuwonus pelamis,206.3,2.8,2.7,52.419776976,0.059421267
Labeo rohita,31.95,1.15,0.84,0.0366832,0.1238058
Lamna nasus,10.0,0.4,1.8,0.0310271,0.288873
Lampris guttatus,6.0,0.3,1.0,0.03002,0.1659
Lates calcarifer,125.35000000000001,3.33,6.25,77.6071593335,63.845029073999996
Leiognathus splendens,330.8,2.5,2.2,224.5,226.2
Leuciscus cephalus,61.5,0.5,0.6,0.074893,0.064194
Leuciscus idus,60.0,0.55,0.55,0.128231,0.06749
Litopenaeus vannamei,24.7,1.47,1.22,9.46,9.99
Liza aurata,6.9,0.193032,0.16,0.2674728785,0.065987167
Liza parsia,66.0,0.84,1.3,0.4,0.12
Loligo vulgaris,13.05,1.26,5.44945,0.16027233533333332,0.38646646133333334
Lucioperca lucioperca,52.5,0.8,0.7,0.0358448,0.0529336
Melanogrammus aeglefinus,7.8,0.29,0.11,0.04511886625,0.10775789875
Meretrix lusoria,94.798,1.6873333333333334,13.215,0.221,0.3755
Merlangius merlangus,59.131699999999995,1.35225,5.2246749999999995,0.04605189,0.1720236
Merluccius productus,9.8,0.35105,0.25,0.069467419,0.118810272
Microstomus pacificus,14.533333333333333,0.3887666666666667,0.21333333333333335,0.08,0.09
Mugil cephalus,139.79999999999998,3.65,6.800000000000001,0.14950957766666667,0.10808776466666667
Mullus surmuletus,56.936875,1.7376,7.456275000000001,0.348,0.669
Mya spp,172.0,3.9,2.5,0.2,0.1
Mytilus edulis,55.5,1.3,9.5,0.1,0.1
Mytilus galloprovincialis,59.21176470588235,2.6741176470588237,4.280588235294117,0.259369262,0.171158012
Neolissochilus hexagonolepis,1175.0,1.9,2.0,301.8,210.1
Nephrops norvegicus,85.9,1.51,2.9629375,0.037217193428571424,0.044664452714285714
Octopus vulgaris,32.75,1.77,3.9282,0.05122852083333333,0.08971778983333334
Ompok pabda,91.0,0.9,0.46,0.068,0.1
Oncorhynchus gorbuscha,29.0,0.67,0.8,0.2280529975,0.506753245
Oncorhynchus mykiss,177.64333333333335,0.98,1.4166666666666667,40.762565,112.415598
Oncorhynchus tshawytscha,26.0,0.44,0.3,0.44,0.55
Oncorhyncus spp,6.0,0.5,0.9,0.2,0.3
Oreochromis niloticus,339.6666666666667,4.1,1.9533333333333334,0.045388721666666666,0.12584703077777779
Pagellus bogaraveo,57.333333333333336,0.2916666666666667,0.16,0.018,0.21733333333333335
Pampus argenteus,26.3,1.08,0.42000000000000004,0.021090646,0.48611367
Pangasianodon hypophthalmus,8.6,0.65,0.69,0.013,0.037
Pangasianodon hypophthalmus (juvenile),59.0,1.1,2.7,0.038,0.06
Parastromateus niger,23.8,1.1,0.8,0.127431626,0.230262552
Patagonotothen ramsayi,8.635,0.6825,0.3265,0.09713833225,0.26354178325
Penaeus monodon,222.6,4.535,9.74,58.54,34.5
Perca flavescens,2.99,0.135388,0.09,3.85e-4,0.056503323
Perca fluviatilis,32.47,0.52003575,0.14250000000000002,0.11807202038461538,0.3217574818461538
Perna viridis,522.6,1.994,6.3,169.9,158.9
Pleuronectes platessa,28.0,0.48,0.19,0.174054112,0.158101627
Pollachius virens,10.0,0.38,0.25,0.07144178949999999,0.21358160199999998
Pomacea canaliculata,444.0,6.9,48.0,6.68e-4,7.1e-4
Portunus pelagicus,116.375,3.325,0.47000000000000003,0.08911596,0.073990619999999993
Psetta maxima,30.5,0.12,3.485,0.0941512,0.2685449
Puntius sophore,906.4666666666667,4.536666666666667,8.7,151.92000000000002,80.893
Rastrelliger kanagurta,30.3,7.65,3.15,0.193181104,0.5934589
Salvelinus fontinalis,7.8999999999999995,0.8,0.255,0.16,0.41500000000000004
Salvelinus namaycush,10.257142857142856,0.5428571428571429,0.28714285714285714,0.14666666666666667,0.43333333333333335
Salvelinus naresi,9.0,0.5,0.7,0.4,0.2
Sander lucioperca,57.53333333333333,0.6716205,0.19,0.0205856074,0.047166375499999996
Sarda sarda,47.81583333333333,0.9820833333333333,6.184166666666666,0.32097927333333337,0.15211859533333333
Sardinella fimbriata,51.4,1.6,1.1,0.11797113,0.46917254
Sardinella longiceps,523.9,4.0,7.8,937.9,534.9
Sardinella sp.,398.52,1.56702,1.83,0.004056171,0.032681149
Schizothorax richardsonii,414.7,2.2,0.6,235.8,93.3
Sebastes caurinus,13.0,0.31,0.2,0.1911751816,0.313808162
Sepia officinalis,24.7,1.77,3.71025,0.1165378896,0.2144767114
Silurus glanis,25.5,0.7033333333333334,0.6,0.129915196,0.21424307999999997
Solea solea,63.999925,1.892725,8.595225,0.028048299,0.08718377
Sperata seenghala,64.1,0.4,1.3,35.2,49.6
Stenodus leucichthys,10.0,0.3,0.4,0.2,0.2
Tenualosa ilisha,71.31,1.4666666666666666,2.033333333333333,152.85,467.405
Tenualosa ilisha (juvenile),500.0,1.8,2.5,0.43,0.23
Theragra chalcogramma,12.366666666666667,0.3887,0.19333333333333333,0.049189983666666666,0.10641627733333334
Thunnus alalunga,18.0,0.5,0.6,0.31654000000000004,0.9108400000000001
Thymallus arcticus,31.0,0.7,1.0,0.0735,0.18477777777777776
