Feeding mode,Freq
browsing on substrate,131
feeding on the prey of a host (commensal),4
filtering plankton,27
grazing on aquatic plants,121
hunting macrofauna (predator),2747
other,15
selective plankton feeding,257
sucking food-containing material,8
variable,189
