page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,nutrient,concentration
6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,not specified,raw (Alaska Native),88,ca_mg,7
6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,not specified,raw (Alaska Native),88,ca_mg,5
6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw (Alaska Native),88,ca_mg,7
6446,Fish,Searun Fish,Chinook Salmon,Oncorhynchus tshawytscha,not specified,raw (Alaska Native),88,ca_mg,42
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,88,ca_mg,43
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,36,ca_mg,11.6
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,53,ca_mg,38
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,62,ca_mg,43
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,24,ca_mg,7
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,43,ca_mg,4
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,2,ca_mg,6.1
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,liver,raw,43,ca_mg,8.7
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,eggs,raw,43,ca_mg,41.2
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,79,ca_mg,44
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,11,ca_mg,54
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,33,ca_mg,54
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,82,ca_mg,127
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,13,ca_mg,67
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,63,ca_mg,67
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,11,ca_mg,9
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,33,ca_mg,9
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,27,ca_mg,32
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,79,ca_mg,51
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,65,ca_mg,14.3
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,43,ca_mg,4.7
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,79,ca_mg,80
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,2,ca_mg,9.3
