Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,subgroup,genus_species,asfis_scientific_name,scientific_name,common_name,part,food_name_in_english,location,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,cine_id,biblio_id,part_edited,food_item_id,processing,asfis_english_name,season,other,comments_on_data_processing_methods,publication_year,bc_id,af_id,type,bibliography,exclude_for_wrong_units,seanuts_id2,sea_id,subgroup2,submitted_name,score,exclude,realm
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc122,Finfish,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,NA,"Bream, wild, dorsal muscle, raw","Poland, Niegocin Lake",20.91808,0.213572,0.373252,NA,NA,NA,NA,NA,fi26,muscle,0900122,r,Freshwater bream,Jun 1997,"mean length and weight: 31.6cm, 361.3g",Minerals given per DM - conversion to FW,2009,bc122,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc123,Finfish,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,NA,"Bream, wild, dorsal muscle, raw","Poland, Kisajno Lake",11.59704,0.16992,0.39294,NA,NA,NA,NA,NA,fi26,muscle,0900123,r,Freshwater bream,Jun 1997,"mean length and weight: 33.2cm, 444.1g",Minerals given per DM - conversion to FW,2009,bc123,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc124,Finfish,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,NA,"Bream, wild, dorsal muscle, raw","Poland, Dargin Lake",11.4597,0.177786,0.372708,NA,NA,NA,NA,NA,fi26,muscle,0900124,r,Freshwater bream,Jun 1997,"mean length and weight: 38.0cm, 607.6g",Minerals given per DM - conversion to FW,2009,bc124,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc125,Finfish,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,NA,"Bream, wild, dorsal muscle, raw","Poland, Dargin Lake",12.10548,0.191706,0.36618,NA,NA,NA,NA,NA,fi26,muscle,0900125,r,Freshwater bream,Jun 1997,"mean length and weight: 50.5cm, 1557.9g",Minerals given per DM - conversion to FW,2009,bc125,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc158,Finfish,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,muscle,"Bream, wild, skinless fillet, raw","Greece, Evros River",52,0.7,0.9,NA,NA,20,0.7,NA,fi32,muscle_skinless,0900158,r,Freshwater bream,Summer 1987,"mean length and weight: 36cm, 500g",NA,1989,bc158,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc159,Finfish,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,muscle,"Bream, wild, skinless fillet, raw","Greece, Evros River",53,0.6,1,NA,NA,19,1.4,NA,fi32,muscle_skinless,0900159,r,Freshwater bream,Summer 1988,"mean length and weight: 30cm, 400g",NA,1989,bc159,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc225,Finfish,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,muscle,"Bream, wild, skinless, boneless fillet, raw","Greece, Evros River",NA,NA,NA,0.09322,0.12087,NA,1,NA,fi47,muscle_skinless,0900225,r,Freshwater bream,Jul-Aug 1987,mean weight of fish: 380g,FA converted using XFA,1991,bc225,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc665,Finfish,Abramis brama,Abramis brama,Abramis abramis,Freshwater bream,muscle,"Common bream, wild, skinless fillet, raw","Germany, Usedom, Baltic Sea",NA,NA,NA,NA,NA,NA,6.4,NA,fi105,muscle_skinless,0900684,r,Freshwater bream,Jul 2003,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",NA,2006,bc665,NA,NA,NA,NA,NA,NA,NA,Abramis brama,0.988,NA,freshbrack
Acipenser fulvescens,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,c1,Finfish,Acipenser fulvescens,NA,NA,Lake Sturgeon,muscle,"Lake Sturgeon, muscle",NA,NA,NA,NA,NA,NA,17.1,9.1,c1,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser fulvescens,0.988,NA,freshbrack
Acipenser fulvescens,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,c2,Finfish,Acipenser fulvescens,NA,NA,Lake Sturgeon,muscle,"Lake Sturgeon, muscle",NA,6.61,0.139,0.443,NA,NA,18.3,3.31,c2,44,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser fulvescens,0.988,NA,freshbrack
