food_item_id,food_name_in_english_x_x,seanuts_id2,biblioid_y
901707,NA,1,fi151
901090,"cleaned fish, raw",2,fi184
901079,"cleaned fish, raw",3,fi184
901091,"cleaned fish, raw",4,fi184
901086,"Kissing gourami, cleaned fish, raw",5,fi184
900603,"Small apple snail, wild, shelled, raw",6,fi103
901083,"cleaned fish, raw",7,fi184
901081,"Beardless barb, cleaned fish, raw",8,fi184
901087,"Nilem carp, cleaned fish, raw",9,fi184
901080,"Indonesian snakehead, cleaned fish, raw",10,fi184
901085,"cleaned fish, raw",11,fi184
901082,"cleaned fish, raw",12,fi184
902225,"cleaned fish, raw",13,fi184
901986,NA,14,fi179
900199,"Nile tilapia, wild, skin-on fillet _incl. bones, raw",15,fi38
901077,"cleaned fish, raw",16,fi184
901092,"cleaned fish, raw",17,fi184
900197,"North African catfish, wild, skin-on fillet _incl. bones, raw",18,fi38
901089,"cleaned fish, raw",19,fi184
902189,NA,20,fi103
901987,NA,21,fi179
901989,NA,22,fi179
901990,NA,23,fi179
901088,"cleaned fish, raw",24,fi184
901084,"cleaned fish, raw",25,fi184
901177,"Marine snail, muscle, raw",26,fi211
900565,"Horse mackerel, wild, muscle tissue, raw",27,fi89
901078,"cleaned fish, raw",28,fi184
902207,"Tilapia, wild, skin-on fillet, raw",29,fi139
900600,"Swamp eel, wild, gutted and beheaded, raw",30,fi103
902050,NA,31,fi192
900604,"Golden apple snail, wild, shelled, raw",32,fi103
900571,"Horse mackerel, wild, muscle tissue, raw",33,fi89
900573,"Horse mackerel, wild, muscle tissue, raw",34,fi89
901988,NA,35,fi179
902199,"Flat sardine, wild, skin-on fillet, raw",36,fi139
902047,NA,37,fi192
900198,"Mormyrid, wild, skin-on fillet _incl. bones, raw",38,fi38
901369,NA,39,fi24
901003,"Venus clam, wild, edible meat _incl. intervalvar fluid, raw",40,fi158
901005,"Venus clam, wild, edible meat _incl. intervalvar fluid, raw",41,fi158
900567,"Horse mackerel, wild, muscle tissue, raw",42,fi89
901991,NA,43,fi179
900601,"Walking catfish, wild, skin-on fillet, raw",44,fi103
900569,"Horse mackerel, wild, muscle tissue, raw",45,fi89
902049,NA,46,fi192
902048,NA,47,fi192
902203,"Sea bream, wild, skin-on fillet, raw",48,fi139
901001,"Venus clam, wild, edible meat _incl. intervalvar fluid, raw",49,fi158
900568,"Horse mackerel, wild, muscle tissue, raw",50,fi89
900574,"Horse mackerel, wild, muscle tissue, raw",51,fi89
902290,NA,52,NA
901985,NA,53,fi179
900570,"Horse mackerel, wild, muscle tissue, raw",54,fi89
900566,"Horse mackerel, wild, muscle tissue, raw",55,fi89
901002,"Venus clam, wild, edible meat _incl. intervalvar fluid, raw",56,fi158
900564,"Horse mackerel, wild, muscle tissue, raw",57,fi89
900572,"Horse mackerel, wild, muscle tissue, raw",58,fi89
901298,"Freshwater mussel, wild, raw",59,jd1
901054,"Crab, wild, male, meat, raw",60,fi175
901052,"Crab, wild, female, meat, raw",61,fi175
901010,"Norway lobster, wild, male, edible muscle, raw",62,fi162
901368,NA,63,fi24
900563,"Horse mackerel, wild, muscle tissue, raw",64,fi89
901011,"Norway lobster, wild, female, edible muscle, raw",65,fi162
900063,"European perch, wild, skinless fillet, raw",66,fi6
900560,"Atlantic bonito, wild, muscle tissue, raw",67,fi89
900154,"Zander, wild, fillet, frozen",68,fi31
901552,NA,69,fi99
900559,"Atlantic bonito, wild, muscle tissue, raw",70,fi89
901508,NA,71,fi92
902028,NA,72,fi188
900155,"Zander, wild, fillet, frozen",73,fi31
901553,NA,74,fi99
901514,NA,75,fi92
901557,NA,76,fi99
901257,"Lobster, wild, raw",77,im11
901559,NA,78,fi99
900558,"Atlantic bonito, wild, muscle tissue, raw",79,fi89
900602,"Snakehead murrel, wild, skin-on, raw",80,fi103
901507,NA,81,fi92
900561,"Atlantic bonito, wild, muscle tissue, raw",82,fi89
900156,"Aspe, wild, skinless fillet, raw",83,fi32
900157,"Aspe, wild, skinless fillet, raw",84,fi32
900161,"Carp, wild, skinless fillet, raw",85,fi32
900405,"Blackspot seabream, wild, tail white muscle fillet, raw",86,fi76
901555,NA,87,fi99
900933,"Indian shad, wild, muscle flesh, raw",88,fi144
902226,"Mussel, edible part, raw",89,fi203
901004,"Venus clam, wild, edible meat _incl. intervalvar fluid, raw",90,fi158
902291,NA,91,NA
900177,"Tench, wild, skinless fillet, raw",92,fi32
900403,"Blackspot seabream, wild, ventral white muscle fillet, raw",93,fi76
900937,"Indian shad, wild, muscle flesh, raw",94,fi144
900552,"Atlantic bonito, wild, muscle tissue, raw",95,fi89
900935,"Indian shad, wild, muscle flesh, raw",96,fi144
900164,"Chub, wild, skinless fillet, raw",97,fi32
901259,"Ocean quahog, wild, raw",98,im11
901506,NA,99,fi92
901511,NA,100,fi92
901044,"Speckled shrimp, wild, edible muscle tissue, raw",101,fi172
900065,"European perch, wild, skinless fillet, raw",102,fi6
900936,"Indian shad, wild, muscle flesh, raw",103,fi144
900934,"Indian shad, wild, muscle flesh, raw",104,fi144
901043,"Green tiger shrimp, wild, edible muscle tissue, raw",105,fi172
900172,"Rudd, wild, skinless fillet, raw",106,fi32
901513,NA,107,fi92
901045,"Speckled shrimp, wild, edible muscle tissue, raw",108,fi172
901041,"Green tiger shrimp, wild, edible muscle tissue, raw",109,fi172
901042,"Green tiger shrimp, wild, edible muscle tissue, raw",110,fi172
900165,"Chub, wild, skinless fillet, raw",111,fi32
900167,"Ide, wild, skinless fillet, raw",112,fi32
900166,"Ide, wild, skinless fillet, raw",113,fi32
900176,"Tench, wild, skinless fillet, raw",114,fi32
901047,"Speckled shrimp, wild, edible muscle tissue, raw",115,fi172
902030,NA,116,fi188
901040,"Green tiger shrimp, wild, edible muscle tissue, raw",117,fi172
900556,"Atlantic bonito, wild, muscle tissue, raw",118,fi89
901046,"Speckled shrimp, wild, edible muscle tissue, raw",119,fi172
900926,"Indian shad, wild, muscle flesh, raw",120,fi144
900162,"Crucian carp, wild, skinless fillet, raw",121,fi32
901516,NA,122,fi92
