threshold1,number_of_targets,number_of_species,threshold
0.01,5.0,85.0,1
0.01,5.0,86.0,1
0.01,5.0,87.0,1
0.01,5.0,88.0,1
0.01,5.0,89.0,1
0.01,5.0,90.0,1
0.01,5.0,91.0,1
0.01,5.0,92.0,1
0.01,5.0,93.0,1
0.01,5.0,94.0,1
0.01,5.0,95.0,1
0.01,5.0,96.0,1
0.01,5.0,97.0,1
0.01,5.0,98.0,1
0.01,5.0,99.0,1
0.01,5.0,100.0,1
0.01,5.0,101.0,1
0.01,5.0,102.0,1
0.01,5.0,103.0,1
0.01,5.0,104.0,1
0.01,5.0,105.0,1
0.01,5.0,106.0,1
0.01,5.0,107.0,1
0.01,5.0,108.0,1
0.02,4.52,1.0,2
0.02,4.85,2.0,2
0.02,4.97,3.0,2
0.02,4.99,4.0,2
0.02,5.0,5.0,2
0.02,5.0,6.0,2
0.02,5.0,7.0,2
0.02,5.0,8.0,2
0.02,5.0,9.0,2
0.02,5.0,10.0,2
0.02,5.0,11.0,2
0.02,5.0,12.0,2
0.02,5.0,13.0,2
0.02,5.0,14.0,2
0.02,5.0,15.0,2
0.02,5.0,16.0,2
0.02,5.0,17.0,2
0.02,5.0,18.0,2
0.02,5.0,19.0,2
0.02,5.0,20.0,2
0.02,5.0,21.0,2
0.02,5.0,22.0,2
0.02,5.0,23.0,2
0.02,5.0,24.0,2
0.02,5.0,25.0,2
0.02,5.0,26.0,2
0.02,5.0,27.0,2
0.02,5.0,28.0,2
0.02,5.0,29.0,2
0.02,5.0,30.0,2
0.02,5.0,31.0,2
0.02,5.0,32.0,2
0.02,5.0,33.0,2
0.02,5.0,34.0,2
0.02,5.0,35.0,2
0.02,5.0,36.0,2
0.02,5.0,37.0,2
0.02,5.0,38.0,2
0.02,5.0,39.0,2
0.02,5.0,40.0,2
0.02,5.0,41.0,2
0.02,5.0,42.0,2
0.02,5.0,43.0,2
0.02,5.0,44.0,2
0.02,5.0,45.0,2
0.02,5.0,46.0,2
0.02,5.0,47.0,2
0.02,5.0,48.0,2
0.02,5.0,49.0,2
0.02,5.0,50.0,2
0.02,5.0,51.0,2
0.02,5.0,52.0,2
0.02,5.0,53.0,2
0.02,5.0,54.0,2
0.02,5.0,55.0,2
0.02,5.0,56.0,2
0.02,5.0,57.0,2
0.02,5.0,58.0,2
0.02,5.0,59.0,2
0.02,5.0,60.0,2
0.02,5.0,61.0,2
0.02,5.0,62.0,2
0.02,5.0,63.0,2
0.02,5.0,64.0,2
0.02,5.0,65.0,2
0.02,5.0,66.0,2
0.02,5.0,67.0,2
0.02,5.0,68.0,2
0.02,5.0,69.0,2
0.02,5.0,70.0,2
0.02,5.0,71.0,2
0.02,5.0,72.0,2
0.02,5.0,73.0,2
0.02,5.0,74.0,2
0.02,5.0,75.0,2
0.02,5.0,76.0,2
0.02,5.0,77.0,2
0.02,5.0,78.0,2
0.02,5.0,79.0,2
0.02,5.0,80.0,2
0.02,5.0,81.0,2
0.02,5.0,82.0,2
0.02,5.0,83.0,2
0.02,5.0,84.0,2
0.02,5.0,85.0,2
0.02,5.0,86.0,2
0.02,5.0,87.0,2
0.02,5.0,88.0,2
0.02,5.0,89.0,2
0.02,5.0,90.0,2
0.02,5.0,91.0,2
0.02,5.0,92.0,2
0.02,5.0,93.0,2
0.02,5.0,94.0,2
0.02,5.0,95.0,2
0.02,5.0,96.0,2
0.02,5.0,97.0,2
0.02,5.0,98.0,2
0.02,5.0,99.0,2
0.02,5.0,100.0,2
0.02,5.0,101.0,2
0.02,5.0,102.0,2
0.02,5.0,103.0,2
0.02,5.0,104.0,2
0.02,5.0,105.0,2
0.02,5.0,106.0,2
0.02,5.0,107.0,2
0.02,5.0,108.0,2
0.03,4.0,1.0,3
0.03,4.65,2.0,3
0.03,4.85,3.0,3
0.03,4.95,4.0,3
0.03,4.99,5.0,3
0.03,4.99,6.0,3
0.03,5.0,7.0,3
0.03,5.0,8.0,3
0.03,5.0,9.0,3
0.03,5.0,10.0,3
0.03,5.0,11.0,3
0.03,5.0,12.0,3
0.03,5.0,13.0,3
0.03,5.0,14.0,3
0.03,5.0,15.0,3
0.03,5.0,16.0,3
0.03,5.0,17.0,3
0.03,5.0,18.0,3
0.03,5.0,19.0,3
0.03,5.0,20.0,3
0.03,5.0,21.0,3
0.03,5.0,22.0,3
0.03,5.0,23.0,3
0.03,5.0,24.0,3
0.03,5.0,25.0,3
0.03,5.0,26.0,3
0.03,5.0,27.0,3
0.03,5.0,28.0,3
0.03,5.0,29.0,3
0.03,5.0,30.0,3
0.03,5.0,31.0,3
0.03,5.0,32.0,3
0.03,5.0,33.0,3
0.03,5.0,34.0,3
0.03,5.0,35.0,3
0.03,5.0,36.0,3
0.03,5.0,37.0,3
0.03,5.0,38.0,3
0.03,5.0,39.0,3
0.03,5.0,40.0,3
0.03,5.0,41.0,3
0.03,5.0,42.0,3
0.03,5.0,43.0,3
0.03,5.0,44.0,3
0.03,5.0,45.0,3
0.03,5.0,46.0,3
0.03,5.0,47.0,3
0.03,5.0,48.0,3
0.03,5.0,49.0,3
0.03,5.0,50.0,3
0.03,5.0,51.0,3
0.03,5.0,52.0,3
0.03,5.0,53.0,3
0.03,5.0,54.0,3
0.03,5.0,55.0,3
0.03,5.0,56.0,3
0.03,5.0,57.0,3
0.03,5.0,58.0,3
0.03,5.0,59.0,3
0.03,5.0,60.0,3
0.03,5.0,61.0,3
0.03,5.0,62.0,3
0.03,5.0,63.0,3
0.03,5.0,64.0,3
0.03,5.0,65.0,3
0.03,5.0,66.0,3
0.03,5.0,67.0,3
0.03,5.0,68.0,3
0.03,5.0,69.0,3
0.03,5.0,70.0,3
0.03,5.0,71.0,3
0.03,5.0,72.0,3
0.03,5.0,73.0,3
0.03,5.0,74.0,3
0.03,5.0,75.0,3
0.03,5.0,76.0,3
0.03,5.0,77.0,3
0.03,5.0,78.0,3
0.03,5.0,79.0,3
0.03,5.0,80.0,3
0.03,5.0,81.0,3
0.03,5.0,82.0,3
0.03,5.0,83.0,3
0.03,5.0,84.0,3
0.03,5.0,85.0,3
0.03,5.0,86.0,3
0.03,5.0,87.0,3
0.03,5.0,88.0,3
0.03,5.0,89.0,3
0.03,5.0,90.0,3
0.03,5.0,91.0,3
0.03,5.0,92.0,3
0.03,5.0,93.0,3
0.03,5.0,94.0,3
0.03,5.0,95.0,3
0.03,5.0,96.0,3
0.03,5.0,97.0,3
0.03,5.0,98.0,3
0.03,5.0,99.0,3
0.03,5.0,100.0,3
0.03,5.0,101.0,3
0.03,5.0,102.0,3
0.03,5.0,103.0,3
0.03,5.0,104.0,3
0.03,5.0,105.0,3
0.03,5.0,106.0,3
0.03,5.0,107.0,3
0.03,5.0,108.0,3
0.04,3.73,1.0,4
0.04,4.5,2.0,4
0.04,4.8,3.0,4
0.04,4.89,4.0,4
0.04,4.94,5.0,4
0.04,4.98,6.0,4
0.04,4.99,7.0,4
0.04,5.0,8.0,4
0.04,5.0,9.0,4
0.04,5.0,10.0,4
0.04,5.0,11.0,4
0.04,5.0,12.0,4
0.04,5.0,13.0,4
0.04,5.0,14.0,4
0.04,5.0,15.0,4
0.04,5.0,16.0,4
0.04,5.0,17.0,4
0.04,5.0,18.0,4
0.04,5.0,19.0,4
0.04,5.0,20.0,4
0.04,5.0,21.0,4
0.04,5.0,22.0,4
0.04,5.0,23.0,4
0.04,5.0,24.0,4
0.04,5.0,25.0,4
0.04,5.0,26.0,4
0.04,5.0,27.0,4
0.04,5.0,28.0,4
0.04,5.0,29.0,4
0.04,5.0,30.0,4
0.04,5.0,31.0,4
0.04,5.0,32.0,4
0.04,5.0,33.0,4
0.04,5.0,34.0,4
0.04,5.0,35.0,4
0.04,5.0,36.0,4
0.04,5.0,37.0,4
0.04,5.0,38.0,4
0.04,5.0,39.0,4
0.04,5.0,40.0,4
0.04,5.0,41.0,4
0.04,5.0,42.0,4
0.04,5.0,43.0,4
0.04,5.0,44.0,4
0.04,5.0,45.0,4
0.04,5.0,46.0,4
0.04,5.0,47.0,4
0.04,5.0,48.0,4
0.04,5.0,49.0,4
0.04,5.0,50.0,4
0.04,5.0,51.0,4
0.04,5.0,52.0,4
0.04,5.0,53.0,4
0.04,5.0,54.0,4
0.04,5.0,55.0,4
0.04,5.0,56.0,4
0.04,5.0,57.0,4
0.04,5.0,58.0,4
0.04,5.0,59.0,4
0.04,5.0,60.0,4
0.04,5.0,61.0,4
0.04,5.0,62.0,4
0.04,5.0,63.0,4
0.04,5.0,64.0,4
0.04,5.0,65.0,4
0.04,5.0,66.0,4
0.04,5.0,67.0,4
0.04,5.0,68.0,4
0.04,5.0,69.0,4
0.04,5.0,70.0,4
0.04,5.0,71.0,4
0.04,5.0,72.0,4
0.04,5.0,73.0,4
0.04,5.0,74.0,4
0.04,5.0,75.0,4
0.04,5.0,76.0,4
0.04,5.0,77.0,4
0.04,5.0,78.0,4
0.04,5.0,79.0,4
0.04,5.0,80.0,4
0.04,5.0,81.0,4
0.04,5.0,82.0,4
0.04,5.0,83.0,4
0.04,5.0,84.0,4
0.04,5.0,85.0,4
0.04,5.0,86.0,4
0.04,5.0,87.0,4
0.04,5.0,88.0,4
0.04,5.0,89.0,4
0.04,5.0,90.0,4
0.04,5.0,91.0,4
0.04,5.0,92.0,4
0.04,5.0,93.0,4
0.04,5.0,94.0,4
0.04,5.0,95.0,4
0.04,5.0,96.0,4
0.04,5.0,97.0,4
0.04,5.0,98.0,4
0.04,5.0,99.0,4
0.04,5.0,100.0,4
0.04,5.0,101.0,4
0.04,5.0,102.0,4
0.04,5.0,103.0,4
0.04,5.0,104.0,4
0.04,5.0,105.0,4
0.04,5.0,106.0,4
0.04,5.0,107.0,4
0.04,5.0,108.0,4
0.05,3.4,1.0,5
0.05,4.44,2.0,5
0.05,4.79,3.0,5
0.05,4.89,4.0,5
0.05,4.93,5.0,5
0.05,4.98,6.0,5
0.05,4.99,7.0,5
0.05,5.0,8.0,5
0.05,5.0,9.0,5
0.05,5.0,10.0,5
0.05,5.0,11.0,5
0.05,5.0,12.0,5
0.05,5.0,13.0,5
0.05,5.0,14.0,5
0.05,5.0,15.0,5
0.05,5.0,16.0,5
0.05,5.0,17.0,5
0.05,5.0,18.0,5
0.05,5.0,19.0,5
0.05,5.0,20.0,5
0.05,5.0,21.0,5
0.05,5.0,22.0,5
0.05,5.0,23.0,5
0.05,5.0,24.0,5
0.05,5.0,25.0,5
0.05,5.0,26.0,5
0.05,5.0,27.0,5
0.05,5.0,28.0,5
0.05,5.0,29.0,5
0.05,5.0,30.0,5
0.05,5.0,31.0,5
0.05,5.0,32.0,5
0.05,5.0,33.0,5
0.05,5.0,34.0,5
0.05,5.0,35.0,5
0.05,5.0,36.0,5
0.05,5.0,37.0,5
0.05,5.0,38.0,5
0.05,5.0,39.0,5
0.05,5.0,40.0,5
0.05,5.0,41.0,5
0.05,5.0,42.0,5
0.05,5.0,43.0,5
0.05,5.0,44.0,5
0.05,5.0,45.0,5
0.05,5.0,46.0,5
0.05,5.0,47.0,5
0.05,5.0,48.0,5
0.05,5.0,49.0,5
0.05,5.0,50.0,5
0.05,5.0,51.0,5
0.05,5.0,52.0,5
0.05,5.0,53.0,5
0.05,5.0,54.0,5
0.05,5.0,55.0,5
0.05,5.0,56.0,5
0.05,5.0,57.0,5
0.05,5.0,58.0,5
0.05,5.0,59.0,5
0.05,5.0,60.0,5
0.05,5.0,61.0,5
0.05,5.0,62.0,5
0.05,5.0,63.0,5
0.05,5.0,64.0,5
0.05,5.0,65.0,5
0.05,5.0,66.0,5
0.05,5.0,67.0,5
0.05,5.0,68.0,5
0.05,5.0,69.0,5
0.05,5.0,70.0,5
0.05,5.0,71.0,5
0.05,5.0,72.0,5
0.05,5.0,73.0,5
0.05,5.0,74.0,5
0.05,5.0,75.0,5
0.05,5.0,76.0,5
0.05,5.0,77.0,5
0.05,5.0,78.0,5
0.05,5.0,79.0,5
0.05,5.0,80.0,5
0.05,5.0,81.0,5
0.05,5.0,82.0,5
0.05,5.0,83.0,5
0.05,5.0,84.0,5
0.05,5.0,85.0,5
0.05,5.0,86.0,5
0.05,5.0,87.0,5
0.05,5.0,88.0,5
0.05,5.0,89.0,5
0.05,5.0,90.0,5
0.05,5.0,91.0,5
0.05,5.0,92.0,5
0.05,5.0,93.0,5
0.05,5.0,94.0,5
0.05,5.0,95.0,5
0.05,5.0,96.0,5
0.05,5.0,97.0,5
0.05,5.0,98.0,5
0.05,5.0,99.0,5
0.05,5.0,100.0,5
0.05,5.0,101.0,5
0.05,5.0,102.0,5
0.05,5.0,103.0,5
0.05,5.0,104.0,5
0.05,5.0,105.0,5
0.05,5.0,106.0,5
0.05,5.0,107.0,5
0.05,5.0,108.0,5
0.06,3.12,1.0,6
0.06,4.25,2.0,6
0.06,4.64,3.0,6
0.06,4.83,4.0,6
0.06,4.89,5.0,6
0.06,4.91,6.0,6
0.06,4.95,7.0,6
0.06,4.96,8.0,6
0.06,4.98,9.0,6
0.06,4.98,10.0,6
0.06,4.99,11.0,6
0.06,5.0,12.0,6
0.06,5.0,13.0,6
0.06,5.0,14.0,6
0.06,5.0,15.0,6
0.06,5.0,16.0,6
0.06,5.0,17.0,6
0.06,5.0,18.0,6
0.06,5.0,19.0,6
0.06,5.0,20.0,6
0.06,5.0,21.0,6
0.06,5.0,22.0,6
0.06,5.0,23.0,6
0.06,5.0,24.0,6
0.06,5.0,25.0,6
0.06,5.0,26.0,6
0.06,5.0,27.0,6
0.06,5.0,28.0,6
0.06,5.0,29.0,6
0.06,5.0,30.0,6
0.06,5.0,31.0,6
0.06,5.0,32.0,6
0.06,5.0,33.0,6
0.06,5.0,34.0,6
0.06,5.0,35.0,6
0.06,5.0,36.0,6
0.06,5.0,37.0,6
0.06,5.0,38.0,6
0.06,5.0,39.0,6
0.06,5.0,40.0,6
0.06,5.0,41.0,6
0.06,5.0,42.0,6
0.06,5.0,43.0,6
0.06,5.0,44.0,6
0.06,5.0,45.0,6
0.06,5.0,46.0,6
0.06,5.0,47.0,6
0.06,5.0,48.0,6
0.06,5.0,49.0,6
0.06,5.0,50.0,6
0.06,5.0,51.0,6
0.06,5.0,52.0,6
0.06,5.0,53.0,6
0.06,5.0,54.0,6
0.06,5.0,55.0,6
0.06,5.0,56.0,6
0.06,5.0,57.0,6
0.06,5.0,58.0,6
0.06,5.0,59.0,6
0.06,5.0,60.0,6
0.06,5.0,61.0,6
0.06,5.0,62.0,6
0.06,5.0,63.0,6
0.06,5.0,64.0,6
0.06,5.0,65.0,6
0.06,5.0,66.0,6
0.06,5.0,67.0,6
0.06,5.0,68.0,6
0.06,5.0,69.0,6
0.06,5.0,70.0,6
0.06,5.0,71.0,6
0.06,5.0,72.0,6
0.06,5.0,73.0,6
0.06,5.0,74.0,6
0.06,5.0,75.0,6
0.06,5.0,76.0,6
0.06,5.0,77.0,6
0.06,5.0,78.0,6
0.06,5.0,79.0,6
0.06,5.0,80.0,6
0.06,5.0,81.0,6
0.06,5.0,82.0,6
0.06,5.0,83.0,6
0.06,5.0,84.0,6
0.06,5.0,85.0,6
0.06,5.0,86.0,6
0.06,5.0,87.0,6
0.06,5.0,88.0,6
0.06,5.0,89.0,6
0.06,5.0,90.0,6
0.06,5.0,91.0,6
0.06,5.0,92.0,6
0.06,5.0,93.0,6
0.06,5.0,94.0,6
0.06,5.0,95.0,6
0.06,5.0,96.0,6
0.06,5.0,97.0,6
0.06,5.0,98.0,6
0.06,5.0,99.0,6
0.06,5.0,100.0,6
0.06,5.0,101.0,6
0.06,5.0,102.0,6
0.06,5.0,103.0,6
0.06,5.0,104.0,6
0.06,5.0,105.0,6
0.06,5.0,106.0,6
0.06,5.0,107.0,6
0.06,5.0,108.0,6
0.07,2.79,1.0,7
0.07,3.95,2.0,7
0.07,4.48,3.0,7
0.07,4.72,4.0,7
0.07,4.88,5.0,7
0.07,4.92,6.0,7
0.07,4.98,7.0,7
0.07,4.99,8.0,7
0.07,4.99,9.0,7
0.07,5.0,10.0,7
0.07,5.0,11.0,7
0.07,5.0,12.0,7
0.07,5.0,13.0,7
0.07,5.0,14.0,7
0.07,5.0,15.0,7
0.07,5.0,16.0,7
0.07,5.0,17.0,7
0.07,5.0,18.0,7
0.07,5.0,19.0,7
0.07,5.0,20.0,7
0.07,5.0,21.0,7
0.07,5.0,22.0,7
0.07,5.0,23.0,7
0.07,5.0,24.0,7
0.07,5.0,25.0,7
0.07,5.0,26.0,7
0.07,5.0,27.0,7
0.07,5.0,28.0,7
0.07,5.0,29.0,7
0.07,5.0,30.0,7
0.07,5.0,31.0,7
0.07,5.0,32.0,7
0.07,5.0,33.0,7
0.07,5.0,34.0,7
0.07,5.0,35.0,7
0.07,5.0,36.0,7
0.07,5.0,37.0,7
0.07,5.0,38.0,7
0.07,5.0,39.0,7
0.07,5.0,40.0,7
0.07,5.0,41.0,7
0.07,5.0,42.0,7
0.07,5.0,43.0,7
0.07,5.0,44.0,7
0.07,5.0,45.0,7
0.07,5.0,46.0,7
0.07,5.0,47.0,7
0.07,5.0,48.0,7
0.07,5.0,49.0,7
0.07,5.0,50.0,7
0.07,5.0,51.0,7
0.07,5.0,52.0,7
0.07,5.0,53.0,7
0.07,5.0,54.0,7
0.07,5.0,55.0,7
0.07,5.0,56.0,7
0.07,5.0,57.0,7
0.07,5.0,58.0,7
0.07,5.0,59.0,7
0.07,5.0,60.0,7
0.07,5.0,61.0,7
0.07,5.0,62.0,7
0.07,5.0,63.0,7
0.07,5.0,64.0,7
0.07,5.0,65.0,7
0.07,5.0,66.0,7
0.07,5.0,67.0,7
0.07,5.0,68.0,7
0.07,5.0,69.0,7
0.07,5.0,70.0,7
0.07,5.0,71.0,7
0.07,5.0,72.0,7
0.07,5.0,73.0,7
0.07,5.0,74.0,7
0.07,5.0,75.0,7
0.07,5.0,76.0,7
0.07,5.0,77.0,7
0.07,5.0,78.0,7
0.07,5.0,79.0,7
0.07,5.0,80.0,7
0.07,5.0,81.0,7
0.07,5.0,82.0,7
0.07,5.0,83.0,7
0.07,5.0,84.0,7
0.07,5.0,85.0,7
0.07,5.0,86.0,7
0.07,5.0,87.0,7
0.07,5.0,88.0,7
0.07,5.0,89.0,7
0.07,5.0,90.0,7
0.07,5.0,91.0,7
0.07,5.0,92.0,7
0.07,5.0,93.0,7
0.07,5.0,94.0,7
0.07,5.0,95.0,7
0.07,5.0,96.0,7
0.07,5.0,97.0,7
0.07,5.0,98.0,7
0.07,5.0,99.0,7
0.07,5.0,100.0,7
0.07,5.0,101.0,7
0.07,5.0,102.0,7
0.07,5.0,103.0,7
0.07,5.0,104.0,7
0.07,5.0,105.0,7
0.07,5.0,106.0,7
0.07,5.0,107.0,7
0.07,5.0,108.0,7
0.08,2.67,1.0,8
0.08,3.74,2.0,8
0.08,4.12,3.0,8
0.08,4.46,4.0,8
0.08,4.64,5.0,8
0.08,4.77,6.0,8
0.08,4.84,7.0,8
0.08,4.91,8.0,8
0.08,4.94,9.0,8
0.08,4.94,10.0,8
0.08,4.97,11.0,8
0.08,4.99,12.0,8
0.08,4.99,13.0,8
0.08,5.0,14.0,8
0.08,5.0,15.0,8
0.08,5.0,16.0,8
0.08,5.0,17.0,8
0.08,5.0,18.0,8
0.08,5.0,19.0,8
0.08,5.0,20.0,8
0.08,5.0,21.0,8
0.08,5.0,22.0,8
0.08,5.0,23.0,8
0.08,5.0,24.0,8
0.08,5.0,25.0,8
0.08,5.0,26.0,8
0.08,5.0,27.0,8
0.08,5.0,28.0,8
0.08,5.0,29.0,8
0.08,5.0,30.0,8
0.08,5.0,31.0,8
0.08,5.0,32.0,8
0.08,5.0,33.0,8
0.08,5.0,34.0,8
0.08,5.0,35.0,8
0.08,5.0,36.0,8
0.08,5.0,37.0,8
0.08,5.0,38.0,8
0.08,5.0,39.0,8
0.08,5.0,40.0,8
0.08,5.0,41.0,8
0.08,5.0,42.0,8
0.08,5.0,43.0,8
0.08,5.0,44.0,8
0.08,5.0,45.0,8
0.08,5.0,46.0,8
0.08,5.0,47.0,8
0.08,5.0,48.0,8
0.08,5.0,49.0,8
0.08,5.0,50.0,8
0.08,5.0,51.0,8
0.08,5.0,52.0,8
0.08,5.0,53.0,8
0.08,5.0,54.0,8
0.08,5.0,55.0,8
0.08,5.0,56.0,8
0.08,5.0,57.0,8
0.08,5.0,58.0,8
0.08,5.0,59.0,8
0.08,5.0,60.0,8
0.08,5.0,61.0,8
0.08,5.0,62.0,8
0.08,5.0,63.0,8
0.08,5.0,64.0,8
0.08,5.0,65.0,8
0.08,5.0,66.0,8
0.08,5.0,67.0,8
0.08,5.0,68.0,8
0.08,5.0,69.0,8
0.08,5.0,70.0,8
0.08,5.0,71.0,8
0.08,5.0,72.0,8
0.08,5.0,73.0,8
0.08,5.0,74.0,8
0.08,5.0,75.0,8
0.08,5.0,76.0,8
0.08,5.0,77.0,8
0.08,5.0,78.0,8
0.08,5.0,79.0,8
0.08,5.0,80.0,8
0.08,5.0,81.0,8
0.08,5.0,82.0,8
0.08,5.0,83.0,8
0.08,5.0,84.0,8
0.08,5.0,85.0,8
0.08,5.0,86.0,8
0.08,5.0,87.0,8
0.08,5.0,88.0,8
0.08,5.0,89.0,8
0.08,5.0,90.0,8
0.08,5.0,91.0,8
0.08,5.0,92.0,8
0.08,5.0,93.0,8
0.08,5.0,94.0,8
0.08,5.0,95.0,8
0.08,5.0,96.0,8
0.08,5.0,97.0,8
0.08,5.0,98.0,8
0.08,5.0,99.0,8
0.08,5.0,100.0,8
0.08,5.0,101.0,8
0.08,5.0,102.0,8
0.08,5.0,103.0,8
0.08,5.0,104.0,8
0.08,5.0,105.0,8
0.08,5.0,106.0,8
0.08,5.0,107.0,8
0.08,5.0,108.0,8
0.09,2.1,1.0,9
0.09,3.46,2.0,9
0.09,4.22,3.0,9
0.09,4.59,4.0,9
0.09,4.71,5.0,9
0.09,4.83,6.0,9
0.09,4.88,7.0,9
0.09,4.91,8.0,9
0.09,4.94,9.0,9
0.09,4.96,10.0,9
0.09,4.97,11.0,9
0.09,4.98,12.0,9
0.09,4.99,13.0,9
0.09,4.99,14.0,9
0.09,4.99,15.0,9
0.09,4.99,16.0,9
0.09,5.0,17.0,9
0.09,5.0,18.0,9
0.09,5.0,19.0,9
0.09,5.0,20.0,9
0.09,5.0,21.0,9
0.09,5.0,22.0,9
0.09,5.0,23.0,9
0.09,5.0,24.0,9
0.09,5.0,25.0,9
0.09,5.0,26.0,9
0.09,5.0,27.0,9
0.09,5.0,28.0,9
0.09,5.0,29.0,9
0.09,5.0,30.0,9
0.09,5.0,31.0,9
0.09,5.0,32.0,9
0.09,5.0,33.0,9
0.09,5.0,34.0,9
0.09,5.0,35.0,9
0.09,5.0,36.0,9
0.09,5.0,37.0,9
0.09,5.0,38.0,9
0.09,5.0,39.0,9
0.09,5.0,40.0,9
0.09,5.0,41.0,9
0.09,5.0,42.0,9
0.09,5.0,43.0,9
0.09,5.0,44.0,9
0.09,5.0,45.0,9
0.09,5.0,46.0,9
0.09,5.0,47.0,9
0.09,5.0,48.0,9
0.09,5.0,49.0,9
0.09,5.0,50.0,9
0.09,5.0,51.0,9
0.09,5.0,52.0,9
0.09,5.0,53.0,9
0.09,5.0,54.0,9
0.09,5.0,55.0,9
0.09,5.0,56.0,9
0.09,5.0,57.0,9
0.09,5.0,58.0,9
0.09,5.0,59.0,9
0.09,5.0,60.0,9
0.09,5.0,61.0,9
0.09,5.0,62.0,9
0.09,5.0,63.0,9
0.09,5.0,64.0,9
0.09,5.0,65.0,9
0.09,5.0,66.0,9
0.09,5.0,67.0,9
0.09,5.0,68.0,9
0.09,5.0,69.0,9
0.09,5.0,70.0,9
0.09,5.0,71.0,9
0.09,5.0,72.0,9
0.09,5.0,73.0,9
0.09,5.0,74.0,9
0.09,5.0,75.0,9
0.09,5.0,76.0,9
0.09,5.0,77.0,9
0.09,5.0,78.0,9
0.09,5.0,79.0,9
0.09,5.0,80.0,9
0.09,5.0,81.0,9
0.09,5.0,82.0,9
0.09,5.0,83.0,9
0.09,5.0,84.0,9
0.09,5.0,85.0,9
0.09,5.0,86.0,9
0.09,5.0,87.0,9
0.09,5.0,88.0,9
0.09,5.0,89.0,9
0.09,5.0,90.0,9
0.09,5.0,91.0,9
0.09,5.0,92.0,9
0.09,5.0,93.0,9
0.09,5.0,94.0,9
0.09,5.0,95.0,9
0.09,5.0,96.0,9
0.09,5.0,97.0,9
0.09,5.0,98.0,9
0.09,5.0,99.0,9
0.09,5.0,100.0,9
0.09,5.0,101.0,9
0.09,5.0,102.0,9
0.09,5.0,103.0,9
0.09,5.0,104.0,9
0.09,5.0,105.0,9
0.09,5.0,106.0,9
0.09,5.0,107.0,9
0.09,5.0,108.0,9
0.1,2.42,1.0,10
0.1,3.55,2.0,10
0.1,4.1,3.0,10
0.1,4.37,4.0,10
0.1,4.63,5.0,10
0.1,4.82,6.0,10
0.1,4.91,7.0,10
0.1,4.91,8.0,10
0.1,4.91,9.0,10
0.1,4.93,10.0,10
0.1,4.97,11.0,10
0.1,4.97,12.0,10
0.1,4.98,13.0,10
0.1,4.98,14.0,10
0.1,4.98,15.0,10
0.1,4.98,16.0,10
0.1,4.98,17.0,10
0.1,5.0,18.0,10
0.1,5.0,19.0,10
0.1,5.0,20.0,10
0.1,5.0,21.0,10
0.1,5.0,22.0,10
0.1,5.0,23.0,10
0.1,5.0,24.0,10
