"setdiff(current_species, species_name)"
Pinirampus pinirampu
Megalancistrus aculeatus
NA
Anostomidae
Erythrinidae
Salmo spp
Glossogobius giurias
Callorhinchidae
Lophiidae
Scyliorhinus spp
Pleuronectidae
Mullus spp
Triglidae
Molva spp
Gadiformes nei/Gadidae
Raja spp
Scorpaenidae
Sparidae
Sepia officinalis
Gymnura spp.
Eleutheronema tradactylum
Plotosus spp.
Megalapsis cordyla
Muraenesox spp
Caranx spp
Carcharhinidae
Ariidae
Siluroidei
Gerres spp
Ctenopharyngodon idellus
Diapterus spp
Acanthuridae
Ariomma indica
Pseudorhombus spp
Cynoglossus spp
Pomadasys spp
Leiognathus splendens
Leiognathus bindus
Valamugil cunnesius
Aetomylaeus niehofii
Nemipterus spp
Nemipteridae
Priacanthus spp
Johnius spp
Torpediniformes/Narcinidae
Uranoscopus spp
Penaeus indicus
Charybdis spp
Sepia aculeata
Loligo duvauceli
Haliotis spp
Saxidomus nuttalli
Protothaca staminea
Cancer magister
Holothurioidea
Bivalvia/Hiatellidae
Clupea pallasii
Octopodidae
Sebastes spp
Asteroidea
Prochilodus spp
Loligo opalescens
Pectinidae
Brachyura
Chamelea gallina
Ommastrephes bartrami
Bivalvia
Penaeus brasiliensis/Penaeus paulensis
Strombus galeatus
Ruditapes philippinarum
Salvelinus alpinus
Salmonidae
Cyclopteridae
