biblio_id,bibliography
(Adams and McMichael 1999),"Adams DH, McMichael RH. 1999. Mercury levels in four species of sharks from the Atlantic coast of Florida. Fishery Bulletin 97(2):372-379."
(Adams and McMichael 2007),"Adams DH, McMichael RH. 2007. Mercury in king mackerel, Scomberomorus cavalla, and Spanish mackerel, S-maculatus, from waters of the south-eastern USA: regional and historical trends. Mar Freshw Res 58(2):187-193."
(Bahnick et al. 1994),"Bahnick D, Sauer C, Butterworth B, Kuehl DW. 1994. A National Study of Mercury Contamination of Fish. 4. Analytical Methods and Results. Chemosphere 29(3):537-546."
(Bank et al. 2007),"Bank MS, Chesney E, Shine JP, Maage A, Senn DB. 2007. Mercury bioaccumulation and trophic transfer in sympatric snapper species from the Gulf of Mexico. Ecological Applications 17:2100-2110."
(Bloom 1992),Bloom NS. 1992. On the chemical form of mercury in edible fish and marine invertebrate tissue Can J Fish Aquat Sci 49(5):1010-1017.
(Braune 1987),"Braune BM. 1987. Mercury accumulation in relation to size and age of atlantic herring (Clupea harengus harengus) from the southwestern Bay of Fundy, Canada. Arch Environ Contam Toxicol 16(3):311-320."
(Braune et al. 1999),"Braune B, Muir D, DeMarch B, Gamberg M, Poole K, Currie R, et al. 1999. Spatial and temporal trends of contaminants in Canadian Arctic freshwater and terrestrial ecosystems: a review. Sci Total Environ 230(1-3):145-207."
(Brinkmann and Rasmussen 2010),"Brinkmann L, Rasmussen JB. 2010. High levels of mercury in biota of a new Prairie irrigation reservoir with a simplified food web in Southern Alberta, Canada. Hydrobiologia 641(1):11-21."
(Burger 2009),"Burger J, Jeitner C, Donio M, Shukla S, Gochfeld M. 2009. Factors Affecting Mercury and Selenium Levels in New Jersey Flatfish: Low Risk to Human Consumers. J Toxicol Env Health Part A 72(14):853-860. "
(Burger et al. 2001),"Burger J, Gaines KF, Boring CS, Stephens WL, Snodgrass J, Gochfeld M. 2001. Mercury and selenium in fish from the Savannah River: Species, trophic level, and locational differences. Environ Res 87(2):108-118."
