culture,latin_name,calcium,zinc,iron,epa,dha
Aleut,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Aleut,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Aleut,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Aleut,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Aleut,Ophiodon elongatus,26.8,0.45,1,0,0
Aleut,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Bella Coola,Callinectes sapidus,78.1,1344.18,0.74,0.17,0.2
Bella Coola,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Bella Coola,Gadus morhua,15.555555555555555,0.45,2.19,6,0.761375
Bella Coola,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Bella Coola,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Bella Coola,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Bella Coola,Ophiodon elongatus,26.8,0.45,1,0,0
Bella Coola,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Bella Coola,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Bella Coola,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Central Salish,Catostomus commersonii,50.4,0.6,0.2,0.1365,0.289
Central Salish,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Central Salish,Coregonus clupeaformis,23.78333333333333,1.5666666666666667,1.2666666666666666,0.18633333333333335,0.6
Central Salish,Cyprinus carpio,50.25,1.48,1.12,0.238,0.1
Central Salish,Gadus morhua,15.555555555555555,0.45,2.19,6,0.761375
Central Salish,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Central Salish,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Central Salish,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Central Salish,Ophiodon elongatus,26.8,0.45,1,0,0
Central Salish,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Central Salish,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Central Salish,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Central Salish,Stenodus leucichthys,55.333333333333336,0.3,0.4,0.2,0.32
Central Salish,"Stenodus spp., Coegonus spp., Prosopium spp.",117,0.86,0.4,0.2,0.7916666666666666
Chinook,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Chinook,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Chinook,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Chinook,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Chinook,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Coosan,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Coosan,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Coosan,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Coosan,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Eyak,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Eyak,Coregonus clupeaformis,23.78333333333333,1.5666666666666667,1.2666666666666666,0.18633333333333335,0.6
Eyak,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Eyak,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Eyak,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Eyak,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Eyak,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Eyak,Stenodus leucichthys,55.333333333333336,0.3,0.4,0.2,0.32
Eyak,"Stenodus spp., Coegonus spp., Prosopium spp.",117,0.86,0.4,0.2,0.7916666666666666
Haida,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Haida,Gadus morhua,15.555555555555555,0.45,2.19,6,0.761375
Haida,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Haida,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Haida,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Haida,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Haida,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Haida,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Interior Salish,Catostomus commersonii,50.4,0.6,0.2,0.1365,0.289
Interior Salish,Coregonus clupeaformis,23.78333333333333,1.5666666666666667,1.2666666666666666,0.18633333333333335,0.6
Interior Salish,Cyprinus carpio,50.25,1.48,1.12,0.238,0.1
Interior Salish,Lota lota,44.90909090909091,1.26,1.2,0.568,0.3913333333333333
Interior Salish,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Interior Salish,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Interior Salish,Ophiodon elongatus,26.8,0.45,1,0,0
Interior Salish,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Interior Salish,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
