ref_info,Bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,species_name,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season.x,season.y,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,IsoTroph,IsoseTroph,EcoTroph,EcoseTroph,StockCode,SpecCode.x,SpecCode.y,Genus,Species,FBname,Subfamily,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LTypeMaxM,LTypeMaxF,LTypeComM,LTypeComF,Length,CommonLength,CommonLengthF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Sp2000_HierarchyCode,reference,Fresh,Marine,BrackishWater,Brack,LengthFemale,MaxLengthRef,notes,weight_from_study,Mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,X20,vit_a_IU,K_mg,mg_mg,X32
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235","Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",fi184,10,901080,Indonesian_snakehead_cleaned_fish_raw,NA,NA,Channa micropeltes,Channa micropeltes,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1085.84,1.440597,1.23,3.9,NA,NA,12.265754,12.265754,130.0,NA,NA,NA,NA,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),12693,hunting macrofauna (predator),12975,NA,NA,3.85,0.55,NA,NA,NA,NA,358,344,344,Channa,micropeltes,Indonesian snakehead,NA,benthopelagic,potamodromous,100,NA,SL,NA,SL,NA,130.0,50.0,NA,57235,2e4,NA,4835,NA,NA,-1,NA,NA,0,NA,30857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235","Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",fi184,11,901085,cleaned_fish_raw,NA,NA,Euryglossa panoides,NA NA,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1032.53,1.676976,1.23,3.5,NA,NA,12.265754,12.265754,20.0,NA,http://www.fishbase.org/summary/Euryglossa-panoides.html,0.01,3.04,NA,"Flounders, halibuts, soles",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235","Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",fi184,12,901082,cleaned_fish_raw,NA,NA,Dermogenys pusilla,Dermogenys pusilla,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,976.77,2.5828,0.85,3.4,NA,NA,12.265754,12.265754,7.0,NA,http://www.fishbase.org/summary/11299,0.01,3.04,NA,Miscellaneous pelagic fishes,NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),12693,hunting macrofauna (predator),NA,NA,NA,3.36,0.45,NA,NA,NA,NA,11623,11298,11298,Dermogenys,pusilla,Wrestling halfbeak,NA,pelagic-neritic,NA,NA,NA,SL,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,30857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235","Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",fi184,12,901082,cleaned_fish_raw,NA,NA,Dermogenys pusilla,Dermogenys pusilla,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,976.77,2.5828,0.85,3.4,NA,NA,12.265754,12.265754,7.0,NA,http://www.fishbase.org/summary/11299,0.01,3.04,NA,Miscellaneous pelagic fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43083,11298,11298,Dermogenys,pusilla,Wrestling halfbeak,NA,pelagic-neritic,NA,NA,NA,SL,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,0,-1,NA,30857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235","Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",fi184,13,902225,cleaned_fish_raw,NA,NA,Dangila sp.,NA NA,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,926.25,2.00925,2.17,3.0,NA,NA,12.265754,12.265754,15.0,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=24381&genusname=Danio&speciesname=dangila&AT=Danio+dangila&lang=English,0.00708,3.07,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109","Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109",fi179,14,NA,NA,NA,NA,Parambassis ranga,Parambassis ranga,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,900.0,2.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parambassis ranga,NA,NA,mainly animals (troph. 2.8 and up),12693,NA,NA,NA,NA,3.26999998092651,0.3858,NA,NA,NA,NA,10453,10130,10130,Parambassis,ranga,Indian glassy fish,NA,demersal,potamodromous,NA,NA,TL,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109","Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109",fi179,14,NA,NA,NA,NA,Parambassis ranga,Parambassis ranga,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,900.0,2.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parambassis ranga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42332,10130,10130,Parambassis,ranga,Indian glassy fish,NA,demersal,potamodromous,NA,NA,TL,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,0,-1,NA,1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Otitologbon S.A., Agbaji E.B., Peters O.A., Oniye S.J. (1997). Proximate and mineral composition of three Nigerian freshwater fishes. J Sci Food Agric 75: 312-314","Otitologbon S.A., Agbaji E.B., Peters O.A., Oniye S.J. (1997). Proximate and mineral composition of three Nigerian freshwater fishes. J Sci Food Agric 75: 312-314",fi38,15,900199,Nile_tilapia_wild_skin-on_fillet_incl._bones_raw,NA,NA,Oreochromis niloticus,Oreochromis niloticus,Finfish,NA,16.15,NA,2.64,NA,NA,NA,NA,883.0,7.0,3.0,2.0,NA,NA,11.066667,11.066667,60.0,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=2,0.01995,2.96,NA,Tilapias and other cichlids,NA,Jan-May _dry season,NA,NA,NA,mainly plants/detritus (troph. 2-2.19),5414,browsing on substrate,NA,2.0,NA,2.01999998092651,0.0,NA,NA,NA,NA,1,2,2,Oreochromis,niloticus,Nile tilapia,Pseudocrenilabrinae,benthopelagic,potamodromous,0,6,SL,NA,NA,NA,60.0,NA,NA,NA,4324.0,NA,40637,NA,NA,-1,NA,NA,-1,NA,4967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Otitologbon S.A., Agbaji E.B., Peters O.A., Oniye S.J. (1997). Proximate and mineral composition of three Nigerian freshwater fishes. J Sci Food Agric 75: 312-314","Otitologbon S.A., Agbaji E.B., Peters O.A., Oniye S.J. (1997). Proximate and mineral composition of three Nigerian freshwater fishes. J Sci Food Agric 75: 312-314",fi38,15,900199,Nile_tilapia_wild_skin-on_fillet_incl._bones_raw,NA,NA,Oreochromis niloticus,Oreochromis niloticus,Finfish,NA,16.15,NA,2.64,NA,NA,NA,NA,883.0,7.0,3.0,2.0,NA,NA,11.066667,11.066667,60.0,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=2,0.01995,2.96,NA,Tilapias and other cichlids,NA,Jan-May _dry season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5358,2,2,Oreochromis,niloticus,Nile tilapia,Pseudocrenilabrinae,benthopelagic,potamodromous,0,6,SL,NA,NA,NA,60.0,NA,NA,NA,4324.0,NA,40637,NA,NA,-1,1,0,-1,NA,4967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235","Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",fi184,16,901077,cleaned_fish_raw,NA,NA,Barbonymus altus,Barbonymus altus,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,870.26,1.639803,1.35,2.4,NA,NA,12.265754,12.265754,20.0,NA,http://www.fishbase.org/summary/Barbonymus-altus.html,0.01288,2.98,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,mainly plants/detritus (troph. 2-2.19),9497,grazing on aquatic plants,9497,NA,NA,2.40000009536743,0.1684,NA,NA,NA,NA,8482,8171,8171,Barbonymus,altus,Red tailed tinfoil,Cyprininae,benthopelagic,potamodromous,NA,NA,SL,NA,SL,NA,20.0,15.0,NA,12693,NA,NA,NA,NA,NA,-1,NA,NA,0,NA,30857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
