ref_info,Bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,species_name,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season.x,season.y,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,IsoTroph,IsoseTroph,EcoTroph,EcoseTroph,StockCode,SpecCode.x,SpecCode.y,Genus,Species,FBname,Subfamily,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LTypeMaxM,LTypeMaxF,LTypeComM,LTypeComF,Length,CommonLength,CommonLengthF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Sp2000_HierarchyCode,reference,Fresh,Marine,BrackishWater,Brack,LengthFemale,MaxLengthRef,notes,weight_from_study,Mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,X20,vit_a_IU,K_mg,mg_mg,X32
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586","Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",fi89,58,900572,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,19.69,NA,12.24,NA,NA,NA,NA,127.23,1.6665,14.48,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94411,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA,NA,0,1,0,0,NA,3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,jd1,59,901298,Freshwater_mussel_wild_raw,NA,NA,Velesunio ambiguus,NA NA,Molluscs,NA,6.6,NA,1.4,NA,NA,NA,NA,124.0,3.9,16.6,NA,NA,NA,25.274398,-25.274398,10.0,NA,http://www.environment.nsw.gov.au/animals/musselid.htm,NA,NA,NA,Freshwater molluscs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235","Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",fi175,60,901054,Crab_wild_male_meat_raw,NA,NA,Portunus pelagicus,NA NA,Crustacean,19.8,NA,NA,0.6,NA,NA,NA,NA,115.0,2.3,0.35,3.0,NA,NA,26.0667,26.0667,14.0,NA,NA,NA,NA,NA,"Crabs, sea-spiders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235","Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",fi175,61,901052,Crab_wild_female_meat_raw,NA,NA,Portunus pelagicus,NA NA,Crustacean,19.8,NA,NA,0.8,NA,NA,NA,NA,112.0,2.6,0.4,3.0,NA,NA,26.0667,26.0667,14.0,NA,NA,NA,NA,NA,"Crabs, sea-spiders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lourenço H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580","Lourenço H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580",fi162,62,901010,Norway_lobster_wild_male_edible_muscle_raw,NA,NA,Nephrops norvegicus,NA NA,Crustacean,NA,NA,NA,NA,NA,NA,NA,NA,110.0,1.81,1.99,2.88,NA,NA,37.017954,37.017954,8.0,NA,NA,0.02302,0.8935,NA,"Lobsters, spiny-rock lobsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wimalasena S., Jayasuriya M.N.S. (1996). Nutrient analysis of some fresh water fish. J. Natn. Sci. Coun. Sri Lanka 24(1): 21-26","Wimalasena S., Jayasuriya M.N.S. (1996). Nutrient analysis of some fresh water fish. J. Natn. Sci. Coun. Sri Lanka 24(1): 21-26",fi24,63,NA,NA,NA,NA,Channa striata,Channa striata,Finfish,NA,16.9,NA,1.7,NA,NA,NA,NA,108.3,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Channa striata,NA,NA,mainly animals (troph. 2.8 and up),13497,hunting macrofauna (predator),9497,NA,NA,3.36,0.45,NA,NA,NA,NA,357,343,343,Channa,striata,Striped snakehead,NA,benthopelagic,potamodromous,1,10,SL,NA,TL,NA,100.0,61.0,NA,44091,3e3,NA,40637,NA,NA,-1,NA,NA,-1,NA,2686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586","Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",fi89,64,900563,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,16.47,NA,10.79,NA,NA,NA,NA,105.61,0.7914,2.9,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,06-Dec,NA,NA,NA,mainly animals (troph. 2.8 and up),12224,hunting macrofauna (predator),12224,3.71,0.025,3.84,0.59,NA,NA,NA,NA,1383,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA,NA,0,NA,NA,0,NA,3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586","Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",fi89,64,900563,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,16.47,NA,10.79,NA,NA,NA,NA,105.61,0.7914,2.9,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,06-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94411,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA,NA,0,1,0,0,NA,3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lourenço H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580","Lourenço H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580",fi162,65,901011,Norway_lobster_wild_female_edible_muscle_raw,NA,NA,Nephrops norvegicus,NA NA,Crustacean,NA,NA,NA,NA,NA,NA,NA,NA,90.0,1.67,2.0,2.88,NA,NA,37.017954,37.017954,8.0,NA,NA,0.02302,0.8935,NA,"Lobsters, spiny-rock lobsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orban E., Nevigato T., Masci M., Di Lena G., Casini I., Caproni R., Gambelli L., De Angelis P., Rampacci M. (2007). Nutritional quality and safety of European perch (Perca fluviatilis) from three lakes of central Italy. Food Chem 100: 482-490","Orban E., Nevigato T., Masci M., Di Lena G., Casini I., Caproni R., Gambelli L., De Angelis P., Rampacci M. (2007). Nutritional quality and safety of European perch (Perca fluviatilis) from three lakes of central Italy. Food Chem 100: 482-490",fi6,66,900063,European_perch_wild_skinless_fillet_raw,NA,NA,Perca fluviatilis,Perca fluviatilis,Finfish,NA,17.89,NA,0.9,0.20935835,0.29184763,0.04723626,0.13118861,85.4,0.584,0.16,4.4,21.53,NA,42.606001,42.606001,60.0,NA,http://www.fishbase.org/summary/358,0.01,3.08,NA,Miscellaneous freshwater fishes,NA,"Dec 2001, Feb, Jun, Sep 2002",NA,NA,NA,mainly animals (troph. 2.8 and up),2939,hunting macrofauna (predator),2939,4.35,NA,3.66,0.58,NA,NA,NA,NA,372,358,358,Perca,fluviatilis,European perch,Percinae,demersal,anadromous,1,30,SL,NA,TL,NA,60.0,25.0,NA,556,4750.0,NA,2058,NA,NA,-1,NA,NA,-1,NA,59043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586","Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",fi89,67,900560,Atlantic_bonito_wild_muscle_tissue_raw,NA,NA,Sarda sarda,Sarda sarda,Finfish,NA,20.85,NA,4.03,NA,NA,NA,NA,83.49,2.3925,16.79,4.2,NA,NA,41.00527,41.00527,90.0,NA,NA,0.0051,3.180000067,NA,"Tunas, bonitos, billfishes",NA,07-Sep,NA,NA,NA,mainly animals (troph. 2.8 and up),168,hunting macrofauna (predator),168,4.5,NA,4.34,0.83,NA,NA,NA,NA,129,115,115,Sarda,sarda,Atlantic bonito,Scombrinae,pelagic-neritic,oceanodromous,80,200,FL,NA,FL,NA,91.4,50.0,NA,168,11e3,NA,40637,NA,NA,0,NA,NA,-1,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427","Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",fi31,68,900154,Zander_wild_fillet_frozen,NA,NA,Sander lucioperca,Sander lucioperca,Finfish,18.3,NA,NA,0.8,NA,NA,NA,NA,80.56,0.71,0.31,4.3,NA,NA,37.866667,37.866667,100.0,NA,http://www.fishbase.org/summary/360,0.00692,3.1,NA,Miscellaneous freshwater fishes,NA,05-Dec,NA,NA,NA,mainly animals (troph. 2.8 and up),6159,hunting macrofauna (predator),6159,NA,NA,4.04,0.78,NA,NA,NA,NA,374,360,360,Sander,lucioperca,Pike-perch,Luciopercinae,pelagic,potamodromous,2,30,SL,NA,TL,NA,100.0,50.0,NA,556,2e4,NA,40476,NA,NA,-1,NA,NA,-1,NA,59043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194","Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",fi99,69,NA,NA,NA,NA,Cynoscion acoupa,Cynoscion acoupa,Finfish,NA,20.73,NA,2.11,0.77771838,0.87995366,0.22455249,0.49839699,79.33,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cynoscion acoupa,NA,NA,mainly animals (troph. 2.8 and up),3702,hunting macrofauna (predator),NA,NA,NA,4.05,0.7,NA,NA,NA,NA,1185,1169,1169,Cynoscion,acoupa,Acoupa weakfish,NA,demersal,oceanodromous,1,20,TL,NA,TL,NA,110.0,45.0,NA,3702,17e3,NA,40637,NA,NA,-1,NA,NA,-1,NA,40637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586","Özden Ö. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",fi89,70,900559,Atlantic_bonito_wild_muscle_tissue_raw,NA,NA,Sarda sarda,Sarda sarda,Finfish,NA,22.44,NA,4.33,NA,NA,NA,NA,79.2,0.2116,0.48,4.2,NA,NA,41.00527,41.00527,90.0,NA,NA,0.0051,3.180000067,NA,"Tunas, bonitos, billfishes",NA,07-Aug,NA,NA,NA,mainly animals (troph. 2.8 and up),168,hunting macrofauna (predator),168,4.5,NA,4.34,0.83,NA,NA,NA,NA,129,115,115,Sarda,sarda,Atlantic bonito,Scombrinae,pelagic-neritic,oceanodromous,80,200,FL,NA,FL,NA,91.4,50.0,NA,168,11e3,NA,40637,NA,NA,0,NA,NA,-1,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363","Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",fi92,71,NA,NA,NA,NA,Solea solea,Solea solea,Finfish,NA,20.2,NA,1.88,NA,NA,NA,NA,78.7263,1.4496,5.8136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solea solea,"Summer (Jun, Jul, Aug 2007)","Summer (Jun, Jul, Aug 2007)",mainly animals (troph. 2.8 and up),4645,hunting macrofauna (predator),4645,3.21,0.148,3.29999995231628,0.6585,NA,NA,NA,NA,541,525,525,Solea,solea,Common sole,NA,demersal,oceanodromous,0,150,SL,NA,SL,NA,70.0,35.0,NA,5504,3e3,NA,5504,NA,NA,0,NA,NA,-1,NA,4710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.","Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.",fi188,72,NA,NA,NA,NA,Maja brachydactyla,NA NA,Crustacean,NA,15.7,NA,0.32,0.061833105,0.076747179,0.032505034,NA,78.7,6.28,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427","Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",fi31,73,900155,Zander_wild_fillet_frozen,NA,NA,Sander lucioperca,Sander lucioperca,Finfish,17.73,NA,NA,1.17,NA,NA,NA,NA,77.88,0.582,0.17,4.3,NA,NA,37.0,37.0,100.0,NA,http://www.fishbase.org/summary/360,0.00692,3.1,NA,Miscellaneous freshwater fishes,NA,05-Dec,NA,NA,NA,mainly animals (troph. 2.8 and up),6159,hunting macrofauna (predator),6159,NA,NA,4.04,0.78,NA,NA,NA,NA,374,360,360,Sander,lucioperca,Pike-perch,Luciopercinae,pelagic,potamodromous,2,30,SL,NA,TL,NA,100.0,50.0,NA,556,2e4,NA,40476,NA,NA,-1,NA,NA,-1,NA,59043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194","Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",fi99,74,NA,NA,NA,NA,Mugil curema,Mugil curema,Finfish,NA,21.17,NA,6.03,0.72923767,0.80051654,0.23576857,0.14255774,75.0,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mugil curema,NA,NA,mainly plants/detritus (troph. 2-2.19),33,grazing on aquatic plants,56479,2.01,0.0,2.42,0.22,NA,NA,NA,NA,1102,1086,1086,Mugil,curema,White mullet,NA,reef-associated,catadromous,1,30,TL,NA,TL,NA,90.0,30.0,NA,9321,680.0,NA,40637,NA,NA,-1,NA,NA,-1,NA,9321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194","Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",fi99,74,NA,NA,NA,NA,Mugil curema,Mugil curema,Finfish,NA,21.17,NA,6.03,0.72923767,0.80051654,0.23576857,0.14255774,75.0,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mugil curema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54536,1086,1086,Mugil,curema,White mullet,NA,reef-associated,catadromous,1,30,TL,NA,TL,NA,90.0,30.0,NA,9321,680.0,NA,40637,NA,NA,-1,1,0,-1,NA,9321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363","Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",fi92,75,NA,NA,NA,NA,Merlangius merlangus,Merlangius merlangus,Finfish,NA,13.43,NA,1.34,NA,NA,NA,NA,73.5713,1.2857,7.6567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merlangius merlangus,"Winter (Dec 2006, Jan, Feb 2007)","Winter (Dec 2006, Jan, Feb 2007)",mainly animals (troph. 2.8 and up),3663,hunting macrofauna (predator),3663,4.36,0.184,3.57,0.74,NA,NA,NA,NA,39,29,29,Merlangius,merlangus,Whiting,NA,benthopelagic,oceanodromous,10,200,TL,NA,TL,NA,70.0,23.5,NA,1371,3110.0,NA,40637,NA,NA,0,NA,NA,-1,NA,1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194","Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",fi99,76,NA,NA,NA,NA,Centropomus undecimalis,Centropomus undecimalis,Finfish,NA,21.61,NA,1.66,0.27272132,0.33316986,NA,NA,73.0,NA,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Centropomus undecimalis,NA,NA,mainly animals (troph. 2.8 and up),26338,hunting macrofauna (predator),26338,4.17,0.62,4.08,0.7,NA,NA,NA,NA,359,345,345,Centropomus,undecimalis,Common snook,NA,reef-associated,amphidromous,NA,22,TL,NA,TL,NA,140.0,50.0,NA,3713,24320.0,NA,4699,NA,NA,-1,NA,NA,-1,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).","Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",im11,77,901257,Lobster_wild_raw,NA,NA,Nephrops norvegicus,NA NA,Crustacean,NA,17.6,NA,0.4,NA,NA,NA,NA,72.0,1.05,2.66,2.88,NA,NA,63.968654,63.968654,8.0,NA,NA,0.02302,0.8935,NA,"Lobsters, spiny-rock lobsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).","Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",im11,77,901257,Lobster_wild_raw,NA,NA,Nephrops norvegicus,NA NA,Crustacean,NA,17.6,NA,0.4,NA,NA,NA,NA,72.0,1.05,2.66,2.88,NA,NA,63.968654,63.968654,8.0,NA,NA,0.02302,0.8935,NA,"Lobsters, spiny-rock lobsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194","Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",fi99,78,NA,NA,NA,NA,Oncorhynchus mykiss,Oncorhynchus mykiss,Finfish,NA,20.86,NA,1.5,0.256326,0.414645,0.02513,0.231196,71.33,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus mykiss,NA,NA,mainly animals (troph. 2.8 and up),26523,hunting macrofauna (predator),26523,4.08,0.281,3.53,0.63,NA,NA,NA,NA,253,239,239,Oncorhynchus,mykiss,Rainbow trout,Salmoninae,benthopelagic,anadromous,0,200,TL,NA,TL,NA,122.0,60.0,NA,5504,25400.0,NA,7251,NA,NA,-1,NA,NA,-1,NA,96339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
