seanuts_id2,Species,subgroup,food_name_clean,species_name,part
288,Abramis brama,finfish,Bream_wild_skinless_boneless_fillet_raw,Abramis brama,muscle-skinless
131,Abramis brama,finfish,Bream_wild_skinless_fillet_raw,Abramis brama,muscle-skinless
134,Abramis brama,finfish,Bream_wild_skinless_fillet_raw,Abramis brama,muscle-skinless
193,Abramis brama,finfish,Bream_wild_dorsal_muscle_raw,Abramis brama,muscle
231,Abramis brama,finfish,Bream_wild_dorsal_muscle_raw,Abramis brama,muscle
237,Abramis brama,finfish,Bream_wild_dorsal_muscle_raw,Abramis brama,muscle
240,Abramis brama,finfish,Bream_wild_dorsal_muscle_raw,Abramis brama,muscle
287,Abramis brama,finfish,Common_bream_wild_skinless_fillet_raw,Abramis brama,muscle-skinless
291,Albatrossia pectoralis,finfish,Giant_grenadier_wild_fillets_raw,Albatrossia pectoralis,muscle
295,Alosa alosa,finfish,Shad_marine_water_raw_wild_edible_part_raw,Alosa alosa,muscle
214,Alosa sapidissima,finfish,American_shad_wild_fillet_raw,Alosa sapidissima,muscle
317,Anarhichas lupus,finfish,Wolf-fish_wild_fillet_raw,Anarhichas lupus,muscle
318,Anarhichas lupus,finfish,Wolf-fish_wild_fillet_raw,Anarhichas lupus,muscle
319,Anarhichas lupus,finfish,Wolf-fish_wild_fillet_raw,Anarhichas lupus,muscle
275,Anarhichas lupus,finfish,Wolf-fish_wild_fillet_raw,Anarhichas lupus,muscle
324,Anguilla rostrata,finfish,American_eel_wild_skinless_muscle_tissue_raw,Anguilla rostrata,muscle-skinless
325,Anoplopoma fimbria,finfish,Sablefish_wild_boneless_skinless_fillet_raw,Anoplopoma fimbria,muscle-skinless
218,Aphanopus carbo,finfish,Black_scabbardfish_wild_skinless_fillets_raw,Aphanopus carbo,muscle-skinless
234,Aphanopus carbo,finfish,Black_scabbardfish_wild_skinless_fillets_raw,Aphanopus carbo,muscle-skinless
326,Aphanopus carbo,finfish,Black_scabbardfish_wild_skin-on_fillets_raw,Aphanopus carbo,muscle
351,Arripis trutta,finfish,Kahawai_wild_skinless_fillet_frozen,Arripis trutta,muscle-skinless
353,Atheresthes stomias,finfish,Arrow-tooth_flounder_wild_fillets_raw,Atheresthes stomias,muscle
354,Atherina boyeri,finfish,Big-scale_sand_smelt_wild_whole_raw,Atherina boyeri,whole
359,Auxis rochei,finfish,Bullet_tuna_wild_ventral_muscle_raw,Auxis rochei,muscle
360,Auxis rochei,finfish,Bullet_tuna_wild_dorsal_muscle_raw,Auxis rochei,muscle
364,Bagrus docmak,finfish,Catfish_A_wild_muscle_fillet_raw,Bagrus docmak,muscle
365,Bagrus docmak,finfish,Semutundu_wild_skinless_boneless_dorsal_muscle_raw,Bagrus docmak,muscle-skinless
