food_item_id,subgroup,country_region,type,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,n,comments_on_data_processing_methods,publication_year,biblioid,compiler,latest_revision_in_version,fat_g,fatce_g,fat_g_2,fapu_g,faun_g,xfa_internal_use,facid_g,fapun3_g,fapun6_g,f20d5n3_g,f22d6n3_g,asfis_scientific_name_fishbase_swap
0902142,Finfish,Canada,NA,23,TLA,NA,"Grayling, flesh, raw",r,Thymallus arcticus,Arctic grayling,Thymallus arcticus,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,0.1,Thymallus arcticus
0902143,Finfish,Canada,NA,23,SLZ,NA,"Salmon, eggs, raw",r,Oncorhynchus spp./Salmo spp.,Salmonids nei,Salmonidae,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,1.3,Oncorhynchus nerka
0902145,Finfish,Canada,NA,23,SLZ,NA,"Salmon, flesh, raw",r,Oncorhynchus spp./Salmo spp.,Salmonids nei,Salmonidae,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,0.3,Oncorhynchus nerka
0902149,Finfish,Canada,NA,23,SLZ,NA,"Trout, flesh, raw",r,Salmo spp./Salvelinus spp.,Salmonids nei,Salmonidae,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,Oncorhynchus nerka
0902150,Finfish,Canada,NA,23,SLZ,NA,"Trout, flesh, raw",r,Salmo spp./Salvelinus spp.,Salmonids nei,Salmonidae,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus nerka
0902154,Finfish,Canada,NA,23,WHF,NA,"Whitefish, flesh, raw",r,Coregonus clupeaformis/Coregonus nasus,Whitefishes nei,Coregonus spp,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,4.0,NA,NA,NA,NA,NA,NA,NA,0.2,NA,Coregonus clupeaformis
0902155,Finfish,Canada,NA,23,WHF,NA,"Whitefish, flesh, raw",r,Coregonus clupeaformis/Coregonus nasus,Whitefishes nei,Coregonus spp,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coregonus clupeaformis
0902162,Finfish,"Iceland, North Atlantic",W,34,ZLS,Gr‡sleppuhrognakav’ar,"Caviar, lumpsucker, wild, raw",r,NA,(Lumpfishes nei),(Cyclopteridae),NA,NA,1,NA,2011,im11,DR,1.0,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyclopterus lumpus
0902181,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",NA,11,CMG,Mrigal,"Mrigal carp, edible parts (eyes included), raw",r,Cirrhinus mrigala,Mrigal carp,Cirrhinus mrigala,"Sep, Oct",fish cleaned according to local practices,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cirrhinus mrigala
0902182,Finfish,"Bangladesh, Kishoreeganj/Mymensingh district",NA,11,LRH,Rui,"Roho labeo, body tissue, raw",r,Labeo rohita,Roho labeo,Labeo rohita,"Sep, Oct",fish cleaned according to local practices,NA,additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,fi199,DR,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Labeo rohita
