run,species_no,mean,std.error
1,1,3.6,0.1632993161855452
1,2,3.8,0.06030226891555272
1,3,3.941666666666667,0.021484908824324633
1,4,3.9904761904761905,0.006718220093499974
1,5,4,0
1,6,4,0
1,7,4,0
1,8,4,0
1,9,4,0
1,10,4,NA
10,1,3.8,0.13333333333333333
10,2,3.7777777777777777,0.06267511942419625
10,3,3.816666666666667,0.035470691206128516
10,4,3.861904761904762,0.02386414332035889
10,5,3.9007936507936507,0.01886885431818437
10,6,3.9380952380952383,0.016669107655768536
10,7,3.975,0.01431195069769
10,8,4,0
10,9,4,0
10,10,4,NA
100,1,3.6,0.1632993161855452
100,2,3.8222222222222224,0.05763774795025092
100,3,3.933333333333333,0.02286647801900118
100,4,3.9761904761904763,0.010545556307056503
100,5,3.996031746031746,0.003968253968253968
100,6,4,0
100,7,4,0
100,8,4,0
100,9,4,0
100,10,4,NA
11,1,3.4,0.22110831935702663
11,2,3.7111111111111112,0.0753592220347252
11,3,3.85,0.032732683535398856
11,4,3.9047619047619047,0.020304830129105757
11,5,3.9404761904761907,0.01493421505727113
11,6,3.9714285714285715,0.011523867896490826
11,7,3.9916666666666667,0.008333333333333333
11,8,4,0
11,9,4,0
11,10,4,NA
12,1,3.7,0.15275252316519466
12,2,3.8222222222222224,0.05763774795025092
12,3,3.908333333333333,0.026451777733921412
12,4,3.966666666666667,0.012416654624658324
12,5,3.992063492063492,0.005600768223587665
12,6,4,0
12,7,4,0
12,8,4,0
12,9,4,0
12,10,4,NA
13,1,3.5,0.16666666666666666
13,2,3.688888888888889,0.0697920592732311
13,3,3.808333333333333,0.036082370233166836
13,4,3.8857142857142857,0.022007446520957746
13,5,3.9444444444444446,0.01445822885706074
13,6,3.9761904761904763,0.010545556307056503
13,7,3.9916666666666667,0.008333333333333333
13,8,4,0
13,9,4,0
13,10,4,NA
14,1,3.4,0.1632993161855452
14,2,3.577777777777778,0.07446027270295803
14,3,3.658333333333333,0.04347611684317001
14,4,3.7095238095238097,0.0314026004806988
14,5,3.7738095238095237,0.026406894598861596
14,6,3.8333333333333335,0.02577867603707275
14,7,3.875,0.030316953129541618
14,8,3.933333333333333,0.03760507165451774
14,9,4,0
14,10,4,NA
15,1,3.5,0.22360679774997896
15,2,3.7777777777777777,0.06267511942419625
15,3,3.9,0.027500954910846337
15,4,3.947619047619048,0.015410986606158606
15,5,3.9761904761904763,0.009622895669065483
15,6,3.9952380952380953,0.004761904761904762
15,7,4,0
15,8,4,0
15,9,4,0
15,10,4,NA
16,1,3.1,0.09999999999999999
16,2,3.3555555555555556,0.0721639236343101
16,3,3.325,0.04293585209306999
16,4,3.4,0.0338869496834943
16,5,3.5,0.031559720154890156
16,6,3.6,0.0338869496834943
16,7,3.7,0.042008402520840295
16,8,3.8,0.06030226891555272
16,9,3.9,0.09999999999999999
16,10,4,NA
17,1,3.7,0.15275252316519466
17,2,3.888888888888889,0.047377936967913425
17,3,3.9583333333333335,0.018318048122588696
17,4,3.9857142857142858,0.008208302674107883
17,5,3.996031746031746,0.003968253968253968
17,6,4,0
17,7,4,0
17,8,4,0
17,9,4,0
17,10,4,NA
18,1,3.7,0.15275252316519466
18,2,3.7777777777777777,0.06267511942419625
18,3,3.8583333333333334,0.03196600376689893
18,4,3.914285714285714,0.01936397124771103
18,5,3.9563492063492065,0.012896369337508916
18,6,3.9857142857142858,0.008208302674107883
18,7,4,0
18,8,4,0
18,9,4,0
18,10,4,NA
19,1,3.4,0.1632993161855452
19,2,3.7333333333333334,0.06666666666666667
19,3,3.841666666666667,0.03346437826273889
19,4,3.9238095238095236,0.018351366913658917
19,5,3.9563492063492065,0.012896369337508916
19,6,3.9857142857142858,0.008208302674107883
19,7,4,0
19,8,4,0
19,9,4,0
19,10,4,NA
2,1,3.6,0.22110831935702663
2,2,3.7777777777777777,0.07027283689263064
2,3,3.908333333333333,0.026451777733921412
2,4,3.9571428571428573,0.014009635809613891
2,5,3.984126984126984,0.007888936031784583
2,6,3.9952380952380953,0.004761904761904762
2,7,4,0
2,8,4,0
2,9,4,0
2,10,4,NA
20,1,3.5,0.22360679774997896
20,2,3.7555555555555555,0.06478835438717001
20,3,3.8833333333333333,0.02942810003883066
20,4,3.9714285714285715,0.011523867896490826
20,5,3.988095238095238,0.006845779386845438
20,6,3.9952380952380953,0.004761904761904762
20,7,4,0
20,8,4,0
20,9,4,0
20,10,4,NA
21,1,3.5,0.16666666666666666
21,2,3.688888888888889,0.0697920592732311
21,3,3.808333333333333,0.036082370233166836
21,4,3.8857142857142857,0.022007446520957746
21,5,3.9404761904761907,0.01493421505727113
21,6,3.9714285714285715,0.011523867896490826
21,7,3.9916666666666667,0.008333333333333333
21,8,4,0
21,9,4,0
21,10,4,NA
22,1,3.7,0.21343747458109494
22,2,3.8666666666666667,0.05124707431905382
22,3,3.9583333333333335,0.018318048122588696
22,4,3.9952380952380953,0.004761904761904762
22,5,4,0
22,6,4,0
22,7,4,0
22,8,4,0
22,9,4,0
22,10,4,NA
23,1,3.4,0.1632993161855452
23,2,3.533333333333333,0.07521014330903548
23,3,3.7083333333333335,0.04166666666666667
23,4,3.8333333333333335,0.02577867603707275
23,5,3.9166666666666665,0.017445291707064606
23,6,3.966666666666667,0.012416654624658324
23,7,3.9916666666666667,0.008333333333333333
23,8,4,0
23,9,4,0
23,10,4,NA
24,1,3.4,0.22110831935702663
24,2,3.577777777777778,0.09259932635447143
24,3,3.7083333333333335,0.04166666666666667
24,4,3.7666666666666666,0.029256242035383854
24,5,3.8134920634920637,0.024586032873566886
