unique(a20$species_name)
Oncorhynchus kisutch
Trichogaster microlepis
Channa marulius
Parambassis wollfi
Helostoma temmincki
Cipangopaludina chinensis
Dermogenys pusilla juv.
Cyclocheilichthys apogon
Osteochilus hasselti
Channa micropeltes
Euryglossa panoides
Dermogenys pusilla
Dangila sp.
Parambassis ranga
Oreochromis niloticus
Barbodes altus
Puntioplites proctozysrom
Clarias lazera
Rasbora torniere
Pila sp.
Esomus danricus
Amblypharyngodon mola
Puntius sophore
Parachela siamensis
Esomus longilamus
Hexaplex trunculus
Trachurus trachurus
Barbodes gonionotus
Tilapia sp.
Monopterus albus
Donax trunculus
Pomacea canaliculata
Corica soborna
Sardinella sp.
Mormyrus rume
Glossogobius giuris
Chamelea gallina
Channa punctata
Clarias batrachus
Dentex sp.
Metacarcinus magister
Macrognathus aculeatus
Velesunio ambiguus
Portunus pelagicus
Nephrops norvegicus
Channa striata
Perca fluviatilis
Sarda sarda
Sander lucioperca
Cynoscion acoupa
Solea solea
Maja brachydactyla
Mugil curema
Merlangius merlangus
Centropomus undecimalis
Oncorhynchus mykiss
Aspius aspius
Cyprinus carpio
Pagellus bogaraveo
Epinephelus striatus
Tenualosa ilisha
Mytella sp.
tinca tinca
Leuciscus cephalus
Arctica islandica
Mullus surmuletus
Metapenaeus monoceros
Penaeus semisulcatus
Scardinius erythrophthalmus
Leuciscus idus
Carassius carassius
Chondrostoma nasus
Lucioperca lucioperca
Abramis brama
Oncorhynchus�nerka�
Sardinella fimbriata
Oreochromis mossambicus
Homarus americanus
Saxidomus gigantea
Homarus gammarus
Oncorhynchus�keta
Oncorhynchus�mykiss
Thryssa purava
Boreogadus saida
Oncorhynchus nerka
Xiphias gladius
Coregonus lavaretus
Coregonus clupeaformis
Scomberomorus guttatus
Sebastes�ruberrimus
Haliotis cracherodii
Thymallus arcticus
Ucides cordatus
Rastrelliger kanagurta
Oncorhynchus�gorbuscha��
Pleuronectes platessa
Silurus glanis
Mytilus edulis
Oncorhynchus�tshawytscha
Pseudoplatystoma fasciatum
Clupeonella cultriventris caspia
Parastromateus niger
Merluccius albidus
Rutilus rutilus
Pampus argenteus
Caprinus carpio
Octopus vulgaris
Catla catla
Microstomus pacificus
Harpadon nehereus
Hypostomus watwata
Scoliodon laticaudus
Prochilodus reticulatus magdalenae
Platichthys�stellatus
Thunnus alalunga
Lutjanus buccanella
Mugil cephalus
Colossoma macropomum
Nemipterus japonicus
Protonibea diacanthus
Alosa sapidissima
Theragra chalcogramma
Pleurogrammus monopterygius
Aphanopus carbo
Coregonus albula
Loligo vulgaris
Gadus macrocephalus
Crassostrea rhizophorae
Sebastes marinus
Labeo rohita
Salvelinus fontinalis
Isurus oxyrinchus
"Sebastes mentella Travin, 1951_"
Esox lucius
Lota lota
Muraenesox bagio
Gasterochisma melampus
Salvelinus alpinus alpinus
Eugerres plumieri
Merluccius productus
Lamna nasus
Pollachius virens
Prochilodus reticulatus
Cyclopterus lumpus
Caranx ignobilis
Brama japonica
Lates calcarifer
Gadus morhua
Patagonotothen ramsayi
Melanogrammus aeglefinus
Rutilus frisii kutum
Liza aurata
Anarhichas lupus
Tachysurus fulvidraco
Lampris guttatus
Reinhardtius hippoglossoides
Leptomelanosoma indicum
Salvelinus namaycush
Perca flavescens
Cirrhinus cirrhosus
Abramis abramis
Abramis sp.
Ageneiosus brevifilis
Albatrossia pectoralis
Alectis alexandrinus
Alepocephalus bairdii
Alepocephalus agassizii
Alosa alosa
Aluterus monoceros
Chanda ranga
Anabas testudineus
Anadara granosa
Anchoa hepsetus
Anquilla anquilla
Anguilla bicolor
Anguilla japonica
Anguilla rostrata
Anoplopoma fimbria
Ariomma bondi
Aristaeomorpha foliacea
Aristeus antennatus
Arius madagascariensis
Arnoglossus laterna
Arripis trutta
Aspitrigla cuculus
Atheresthes stomias
Atherina boyeri
Atherina sp.
Atherina lagunae
Corvina nigra
Auxis rochei
Auxis thazard thazard
Auxis thazard
Bagrus docmac
Bagrus docmas
Balistes capriscus
Balsistes capriscus
Puntius gonionotus
Belone belone
Brachidontes pharaonis
Boops boops
Bothus podus
Caulolatilus intermedius
Brevoortia aurea
Brevoortia spp.
Brosme brosme
Brycon orbignyanus
Callinectes sapidus
Caranx chrysos
Caranx crysus
Carcharhinus limbatus
Carcinus maenus
Catostomus commersoni
Centrophorus squamosus
Centroscyllium fabricii
Centroscymnus coelolepis
Cephalopholis taeniops
Chaenocephalus aceratus
Champsocephalus gunnari
Chanda nama
Channa striatus
Brycon microlepis
Chela cachius
Trigla lucerna
Chelidonichthyus lucernus
Chelon labrosus
Chionoecetes opilio
Chionoecetes angulatus
Chionoecetes japonicus
Chirocentrus dorab
Clarias gariepinus
Clarias macrocephalus
Clupea harengus membras
Clupea harengus
Clupea harengus pallasi
Clupeoides borneensis
Colisa fasciatus
Colisha lalius
Coregonus macrophthalmus
Coregonus forma hybrida
Coregonus sp.
Crangon crangon
Crassostrea gigas
Crassostrea virginica
Cynoglossus arel
Cynoscion arenarius
Cynoscion jamaicensis
Cynoscion nothus
Rasbora borapetensis
Barbus intermedius
Menticirrhus americanus
Dasyatis sabina
Deania calceus
Decapturus punctatus
Dentex dentex
Dentex maroccanus
Dicentrarchus labrax
Diplodus annularis
Diplodus puntazzo
Diplodus sargus
Diplodus vulgaris
Echelus myrus
Eledone moschata
Eleutheronema tetradactylum
Elops saurus
Engraulis encrasicolus
Epinephelus aeneus
Epinephelus coioides
Epinephulus sexfasciatus
Epinephelus sexfasciatus
Eriocheir sinensis
Etmopterus princeps
Etrumeus teres
Euphausia sp
Euphausia superba
Euthynnus alletteratus
Eutrigla gurnardus
Ficus ficus
Gadus morhua maris-albi
Gudusia chapra
Gymnura spp.
Helicolenus dacthlopterus
Hemisorubim platyrhynchos
Henicorhynchus siamensis
Heteropneustes fossilis
Hippoglossus hippoglossus
Huso huso
Hydrolagus affinis
Hyperoglyphe antarctica
Hypomesus pretious
Hyporhamphus ihi
Ictalurus punctatus
Isopsetta isolepis
Euthynnus pelamis
Lagocepahlus lagocephalus
Lates angustifrons
Lates niloticus
Lepidocephalus guntea
Lepidopsetta bilineata
Lepidorhombus whiffiagonis
Polynemus indicus
Limanda aspera
Limnothrissa miodon
Lithognathus mormyrus
Liza ramada
Liza ramado
Liza saliens
Liza carinata
Loligo pealeii
Loligo plei
Lophius budegassa
Lophius piscatorius
Lutjanus argentimeculatus
Lutjanus johnii
Lutjanus malabaricus
Macrobrachium nipponense
Macrobracium spp.
Microdon ancylodon
Macrourus berglax
Mactra violacea
Mallotus villosus
Mastacembelus armatus
Mastacembelus pancalus
Megalapsis cordyla
Merlangius merlangus euxinus
Merluccius hubbsi
Merluccius merluccius
Metapenaeus affinis
Metapenaeus dobsonii
Micorpogonias furnieri
Micromesistius poutassou
Microstomus kitt
Molva dypterygia
Molva molva
Fluta alba
Mora moro
Morone saxatilis
Moroteuthis ingens
Mugil liza
Mullus barbatus
Mullus surmilitus
Mustelus benticulatus
Mycteroperca acutirostris
Mycteroperca rubra
Mystus bleekeri
Mystus vittatus
Mytilus galloprovincialis
Nandus nandus
Notopterus notopterus
Notopterus chitala
Notothenia gibberifrons
Notothenia neglecta
Obliada melanura
Octapus vulgaris
Odax pullus
Oncorhynchus gorbuscha
Oncorhynchus gorbusha
Salmo gairdneri
Oncorhynchus tshawytscha
Ophiodon elongatus
Opisthonema oglinum
Orconectes limosus Raf
Oreochromis macrochir
Ostra edulis
Pagelius erythrinus
Pegellus centrodontus
Pagellus erythrinus
Chrysophrys auratus
