genus_species,culture,ca_mg,zn_mg,fe_mg,epa,dha,ca_na,fe_na,zn_na,epa_na,dha_na,nutrient_na
Catostomus commersonii,Inuit-Inupiaq,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Micmac,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Montagnais-Naskapi,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Tlingit,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Clupea harengus,Abenaki,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Bella Coola,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Central Salish,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Haida,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Inuit-Inupiaq,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Kwakiutl,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Micmac,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Nootkan,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Tlingit,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Tsimshian,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Yupik,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea pallasii pallasii,Abenaki,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Bella Coola,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Central Salish,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Haida,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Inuit-Inupiaq,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Kwakiutl,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Micmac,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Nootkan,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Tlingit,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Tsimshian,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Clupea pallasii pallasii,Yupik,61.666666666666664,0.53,1.605,0.917774138,0.7698423459999999,0,0,0,0,0,0
Coregonus artedi,Central Salish,12,0.37,0.4,0.095,0.257,0,0,0,0,0,0
Coregonus artedi,Cree,12,0.37,0.4,0.095,0.257,0,0,0,0,0,0
Coregonus artedi,Inuit-Inupiaq,12,0.37,0.4,0.095,0.257,0,0,0,0,0,0
Coregonus artedi,Micmac,12,0.37,0.4,0.095,0.257,0,0,0,0,0,0
Coregonus artedi,Montagnais-Naskapi,12,0.37,0.4,0.095,0.257,0,0,0,0,0,0
Coregonus artedi,Tlingit,12,0.37,0.4,0.095,0.257,0,0,0,0,0,0
Coregonus artedi,Yupik,12,0.37,0.4,0.095,0.257,0,0,0,0,0,0
Coregonus clupeaformis,Central Salish,10.675,0.6,0.2575,0.059,0.251,0,0,0,0,0,0
Coregonus clupeaformis,Cree,10.675,0.6,0.2575,0.059,0.251,0,0,0,0,0,0
Coregonus clupeaformis,Inuit-Inupiaq,10.675,0.6,0.2575,0.059,0.251,0,0,0,0,0,0
Coregonus clupeaformis,Micmac,10.675,0.6,0.2575,0.059,0.251,0,0,0,0,0,0
Coregonus clupeaformis,Montagnais-Naskapi,10.675,0.6,0.2575,0.059,0.251,0,0,0,0,0,0
Coregonus clupeaformis,Tlingit,10.675,0.6,0.2575,0.059,0.251,0,0,0,0,0,0
Coregonus clupeaformis,Yupik,10.675,0.6,0.2575,0.059,0.251,0,0,0,0,0,0
Crassostrea virginica,Abenaki,54.666666666666664,53.24,6.013333333333334,0.15833333333333333,0.14300000000000002,0,0,0,0,0,0
Crassostrea virginica,Cree,54.666666666666664,53.24,6.013333333333334,0.15833333333333333,0.14300000000000002,0,0,0,0,0,0
Crassostrea virginica,Micmac,54.666666666666664,53.24,6.013333333333334,0.15833333333333333,0.14300000000000002,0,0,0,0,0,0
Crassostrea virginica,Nootkan,54.666666666666664,53.24,6.013333333333334,0.15833333333333333,0.14300000000000002,0,0,0,0,0,0
Crassostrea virginica,Tlingit,54.666666666666664,53.24,6.013333333333334,0.15833333333333333,0.14300000000000002,0,0,0,0,0,0
Crassostrea virginica,Wampanoag,54.666666666666664,53.24,6.013333333333334,0.15833333333333333,0.14300000000000002,0,0,0,0,0,0
Cyclopterus lumpus,Bella Coola,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Central Salish,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Haida,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Inuit-Inupiaq,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Kwakiutl,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Micmac,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Nootkan,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Tlingit,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Tsimshian,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Wampanoag,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyclopterus lumpus,Yupik,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143,0,0,0,0,0,0
Cyprinus carpio,Central Salish,49.75,1.5658613333333333,0.9225,0.1240743894,0.09598600160000001,0,0,0,0,0,0
Cyprinus carpio,Nootkan,49.75,1.5658613333333333,0.9225,0.1240743894,0.09598600160000001,0,0,0,0,0,0
Esox lucius,Cree,46.6482,0.8217061,0.2531368181818182,0.03238223225,0.122938113,0,0,0,0,0,0
Esox lucius,Inuit-Inupiaq,46.6482,0.8217061,0.2531368181818182,0.03238223225,0.122938113,0,0,0,0,0,0
Esox lucius,Montagnais-Naskapi,46.6482,0.8217061,0.2531368181818182,0.03238223225,0.122938113,0,0,0,0,0,0
Esox lucius,Tlingit,46.6482,0.8217061,0.2531368181818182,0.03238223225,0.122938113,0,0,0,0,0,0
Esox lucius,Yupik,46.6482,0.8217061,0.2531368181818182,0.03238223225,0.122938113,0,0,0,0,0,0
Gadiformes,Abenaki,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Bella Coola,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Central Salish,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Cree,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Haida,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Inuit-Inupiaq,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Kwakiutl,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Micmac,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Montagnais-Naskapi,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Nootkan,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Tlingit,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Tsimshian,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Wampanoag,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadiformes,Yupik,15,1.05,0.478,0.08,0.23,0,0,0,0,0,0
Gadus macrocephalus,Abenaki,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Bella Coola,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Central Salish,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Cree,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Haida,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Inuit-Inupiaq,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Kwakiutl,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Micmac,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Montagnais-Naskapi,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Nootkan,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Tlingit,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Tsimshian,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Wampanoag,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus macrocephalus,Yupik,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325,0,0,0,0,0,0
Gadus morhua,Abenaki,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Bella Coola,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Central Salish,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Cree,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Haida,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Inuit-Inupiaq,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Kwakiutl,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Micmac,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Montagnais-Naskapi,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Nootkan,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Tlingit,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Tsimshian,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Wampanoag,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Gadus morhua,Yupik,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333,0,0,0,0,0,0
Hippoglossus hippoglossus,Abenaki,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Bella Coola,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Central Salish,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Haida,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Inuit-Inupiaq,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Kwakiutl,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Micmac,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Nootkan,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Tlingit,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Tsimshian,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Wampanoag,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Hippoglossus hippoglossus,Yupik,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625,0,0,0,0,0,0
Homarus americanus,Abenaki,45.18,3.166,0.978,0.19766666666666666,0.102,0,0,0,0,0,0
Homarus americanus,Micmac,45.18,3.166,0.978,0.19766666666666666,0.102,0,0,0,0,0,0
Homarus americanus,Wampanoag,45.18,3.166,0.978,0.19766666666666666,0.102,0,0,0,0,0,0
Ictalurus punctatus,Montagnais-Naskapi,30,0.6699999999999999,0.3,0.13,0.234,0,0,0,0,0,0
Lota lota,Cree,33.198233333333334,0.7041766666666667,0.511667,0.3225,0.536,0,0,0,0,0,0
Lota lota,Inuit-Inupiaq,33.198233333333334,0.7041766666666667,0.511667,0.3225,0.536,0,0,0,0,0,0
Lota lota,Tlingit,33.198233333333334,0.7041766666666667,0.511667,0.3225,0.536,0,0,0,0,0,0
Mallotus villosus,Central Salish,39,2.3,0.16,0.506150525,0.32961117500000003,0,0,0,0,0,0
Mallotus villosus,Inuit-Inupiaq,39,2.3,0.16,0.506150525,0.32961117500000003,0,0,0,0,0,0
Mallotus villosus,Tlingit,39,2.3,0.16,0.506150525,0.32961117500000003,0,0,0,0,0,0
Melanogrammus aeglefinus,Abenaki,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Bella Coola,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Central Salish,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Cree,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Haida,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Inuit-Inupiaq,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Kwakiutl,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Micmac,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Montagnais-Naskapi,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Nootkan,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Tlingit,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Tsimshian,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Wampanoag,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Melanogrammus aeglefinus,Yupik,14.6,0.4036,0.3678,0.061434433125,0.148378949375,0,0,0,0,0,0
Merluccius productus,Abenaki,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Bella Coola,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Central Salish,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Cree,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Haida,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Inuit-Inupiaq,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Kwakiutl,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Micmac,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
