seanuts_id2,species_name,subgroup,log_concentration,log_length,bulk_trophic_level,feeding_mode,feeding_level,reference,abs_lat,nutrient,species1
311,Anabas testudineus,finfish,2.9770590082883697,3.2188758248682006,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",22.816667,protein,Anabas testudineus
323,Anguilla japonica,finfish,2.9444389791664403,5.0106352940962555,3.55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440",31.596553,protein,Anguilla japonica
324,Anguilla rostrata,finfish,2.9496883350525844,5.0238805208462765,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",35.131275,protein,Anguilla rostrata
410,Channa punctata,finfish,2.9512577834521614,3.4339872044851463,3.84,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",22.816667,protein,Channa punctata
432,Clarias batrachus,finfish,2.6993457604720636,3.8501476017100584,3.42,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",22.816667,protein,Clarias batrachus
1304,Cyprinus carpio,finfish,2.856470206220483,4.700480365792417,3.05,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",31.436015,protein,Cyprinus carpio
522,Dicentrarchus labrax,finfish,2.9831534913471307,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax
523,Dicentrarchus labrax,finfish,3.0814511489565284,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax
524,Dicentrarchus labrax,finfish,2.930660276810276,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax
525,Dicentrarchus labrax,finfish,3.062455905596899,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax
790,Mystus vittatus,finfish,2.7485521444115397,3.044522437723423,3.97,variable,mainly animals (troph. 2.8 and up),"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",22.816667,protein,Mystus vittatus
264,Patagonotothen ramsayi,finfish,2.831447079246135,3.784189633918261,3.49,browsing on substrate,mainly animals (troph. 2.8 and up),"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",51.796253,protein,Patagonotothen ramsayi
896,Patagonotothen ramsayi,finfish,2.6361960973342264,3.784189633918261,3.49,browsing on substrate,mainly animals (troph. 2.8 and up),"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",51.796253,protein,Patagonotothen ramsayi
897,Patagonotothen ramsayi,finfish,2.8875901149342877,3.784189633918261,3.49,browsing on substrate,mainly animals (troph. 2.8 and up),"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",51.796253,protein,Patagonotothen ramsayi
898,Patagonotothen ramsayi,finfish,2.8859174075467844,3.784189633918261,3.49,browsing on substrate,mainly animals (troph. 2.8 and up),"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",51.796253,protein,Patagonotothen ramsayi
899,Patagonotothen ramsayi,finfish,2.8936995479888394,3.784189633918261,3.49,browsing on substrate,mainly animals (troph. 2.8 and up),"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",51.796253,protein,Patagonotothen ramsayi
937,Piaractus mesopotamicus,finfish,2.9444389791664403,3.7013019741124933,2,other,mainly plants/detritus (troph. 2-2.19),"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",16.837027,protein,Piaractus mesopotamicus
60,Portunus pelagicus,crustacean,2.9856819377004897,2.9014215940827497,3.58,variable,mainly animals (troph. 2.8 and up),"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",26.0667,protein,Portunus pelagicus
61,Portunus pelagicus,crustacean,2.9856819377004897,2.9014215940827497,3.58,variable,mainly animals (troph. 2.8 and up),"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235",26.0667,protein,Portunus pelagicus
976,Pseudoplatystoma corruscans,finfish,2.995732273553991,5.111987788356544,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",16.837027,protein,Pseudoplatystoma corruscans
68,Sander lucioperca,finfish,2.9069010598473755,4.605170185988092,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",37.866667,protein,Sander lucioperca
73,Sander lucioperca,finfish,2.8752581200861167,4.605170185988092,4.04,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",37,protein,Sander lucioperca
291,Albatrossia pectoralis,finfish,-2.7794593268818546,5.3471075307174685,3.86,variable,mainly animals (troph. 2.8 and up),"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",57.79,fapun_all_g,Albatrossia pectoralis
292,Alectis alexandrina,finfish,-1.4443856485393578,4.248495242049359,3.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",37.370157,fapun_all_g,Alectis alexandrina
295,Alosa alosa,finfish,1.2384703832320927,4.219507705176107,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",42.163403,fapun_all_g,Alosa alosa
312,Anabas testudineus,finfish,-1.0146117828052756,3.2188758248682006,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",15.116386,fapun_all_g,Anabas testudineus
313,Anabas testudineus,finfish,-1.0943674228724198,3.2188758248682006,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",15.190255,fapun_all_g,Anabas testudineus
314,Anabas testudineus,finfish,-1.5378599265698234,3.2188758248682006,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",14.761942,fapun_all_g,Anabas testudineus
1964,Anabas testudineus,finfish,0.6418538861723947,3.2188758248682006,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",23.81,fapun_all_g,Anabas testudineus
317,Anarhichas lupus,finfish,-0.6670055285783336,5.0106352940962555,3.73,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",63.968654,fapun_all_g,Anarhichas lupus
318,Anarhichas lupus,finfish,-0.9907410772462837,5.0106352940962555,3.73,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",63.968654,fapun_all_g,Anarhichas lupus
319,Anarhichas lupus,finfish,-0.9644320384721984,5.0106352940962555,3.73,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",63.968654,fapun_all_g,Anarhichas lupus
324,Anguilla rostrata,finfish,-0.1206772197697196,5.0238805208462765,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",35.131275,fapun_all_g,Anguilla rostrata
325,Anoplopoma fimbria,finfish,0.09531017980432493,4.584967478670572,4.11,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Wander R.C., Patton B.D. (1991) Lipids and fatty acids of three species of Northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis, 4, 128-135",45.9053,fapun_all_g,Anoplopoma fimbria
