nutrient,species_no,mean,min,max,median,std.error
epa,10,61.9291977,0.6012679999999999,204.34300000000002,64.92060000000001,4.301990092573281
iron,1,392.0431387,3.75,2e3,215.5765,13.479035407782185
iron,2,239.81497327111111,6.26087,1894.7400000000002,173.7735,3.599301017227084
iron,3,188.05636382916666,8.60609,1375.8,133.333,1.5528454554279771
iron,4,162.18558394285714,10.9574,1215.19,115.94200000000001,0.9334041733978494
iron,5,146.58554028174603,13.431000000000001,1043.48,105.116,0.7245540377664136
iron,6,136.11297787142857,15.927000000000001,842.1049999999999,102.231,0.7017499418007711
iron,7,128.57366565833334,18.4884,726.225,99.44659999999999,0.8410530601713961
iron,8,122.86645344444445,21.0257,568.047,95.21145,1.2647572588458385
iron,9,118.3776111,23.5805,481.42600000000004,95.8313,2.499845154968084
iron,10,114.739711,26.127,422.03999999999996,96.946,7.459818855304691
protein,1,33.59255336364318,22.512562814070353,78.51934941110487,31.59676509309761,0.2635463365933684
protein,2,32.833813297862214,23.200414293112377,69.75151024475306,31.723137191674418,0.07322093924604725
protein,3,32.63914342830626,24.4105024873275,54.12109595219304,31.884325084181857,0.03529606625721624
protein,4,32.55243648656425,25.07757377540941,49.24499384437576,32.01559701392841,0.02311448474835925
protein,5,32.50401655397156,25.693390823926883,45.36602979344569,32.09896379241813,0.019108838149797212
protein,6,32.47310168884628,26.47277760287315,42.95566118600483,32.120367467915955,0.01943946479324792
protein,7,32.45118797800158,27.02277246506403,41.289152468922794,32.12959816135253,0.024258529552553094
protein,8,32.43405448153974,27.63507271317956,39.91948213297668,32.12162468353692,0.037750051275259544
protein,9,32.41928836663112,28.18274386036029,38.483750522189965,32.15692435245364,0.07683622137767644
protein,10,32.40534141414254,28.713113780559752,36.640130263860776,32.257082208324945,0.235571377016882
zinc,1,160.340357616,0.650888,916.667,130.952,4.3491189453906784
zinc,2,120.19924541777777,1.21634,534.413,105.769,1.1570595922907108
zinc,3,105.86558243166667,1.79181,425.97200000000004,98.26740000000001,0.5555819125508356
zinc,4,98.00281265809524,2.3685099999999997,377.557,90.7216,0.359115643449318
zinc,5,92.91655910555555,2.9432099999999997,332.75100000000003,86.0368,0.29318686558062557
zinc,6,89.30665984571428,3.5115499999999997,306.565,85.2379,0.29524908014458284
zinc,7,86.58763376166667,4.08844,262.429,84.7159,0.3659069177542009
zinc,8,84.45302047777778,4.66299,235.664,83.38565,0.567736991777421
zinc,9,82.72520478,5.23726,216.698,79.59765,1.157372184020037
zinc,10,81.29345550000001,5.81502,204.136,78.41085000000001,3.563465506132905
