nutrient,species_no,mean,min,max,median,std.error
all 5 micronutrients,1,913.193985452117,16.298435214399124,25974.025974025975,463.3204633204633,24.419096944833964
all 5 micronutrients,2,417.47474795790265,24.70467618345692,18993.35232668566,332.52887877471875,1.7293053105936806
all 5 micronutrients,3,335.17932825948833,20.742704041946357,3719.015948380059,294.96510950617903,0.6125628947158734
all 5 micronutrients,4,295.67390137881245,21.797285247201028,1690.7361747094048,272.469252601703,0.37802554192602456
all 5 micronutrients,5,270.60917084955724,22.986597536602964,1449.6255134090359,253.74321589961784,0.3024073710462593
all 5 micronutrients,6,252.6124393167287,23.930309620538413,1290.5538626994085,236.79796532001697,0.30087498449512945
all 5 micronutrients,7,238.7626972737506,27.230849526863995,1154.791030939693,221.41138466213897,0.36851402619051654
all 5 micronutrients,8,227.65017329380234,30.450667339062516,985.909582758272,208.87410331395705,0.5633890333384117
all 5 micronutrients,9,218.4825522905527,33.71165018860627,843.2888264230498,201.2774283471269,1.1268481337810874
all 5 micronutrients,10,210.7484794244502,37.340831593596334,749.9062617172854,192.44242471179746,3.3776004573183345
calcium,1,566.47590729,9.23077,4013.38,340.42600000000004,19.409052982541997
calcium,2,356.3000348888889,10.9719,2669.63,269.602,4.995935652951636
calcium,3,282.8990282,12.3133,2265.58,244.06799999999998,2.133962363475104
calcium,4,245.3235464095238,14.253200000000001,1605.8899999999999,218.627,1.2815460047057654
calcium,5,221.66539477380954,17.2262,1274.16,193.2415,1.0021375246155202
calcium,6,204.85450699047618,20.332900000000002,997.668,178.438,0.9769582002644074
calcium,7,192.00791665,23.3654,860.0540000000001,163.9655,1.172174360480912
calcium,8,181.72298066666667,26.3876,731.7729999999999,150.3195,1.7533348558857922
calcium,9,173.2171917,29.3872,642.137,142.2325,3.424620215583007
calcium,10,166.010583,32.370999999999995,461.716,128.436,10.02972960070765
dha,1,264.7587126905,0.0869565,14084.5,65.738,46.97218930013401
dha,2,66.83645003488888,0.153965,4559.2,54.054100000000005,1.6213486281206584
dha,3,54.794598638416666,0.228022,809.327,48.828,0.3670432908664236
dha,4,49.077250274190476,0.303496,474.866,45.74255,0.23215748930454572
dha,5,45.21573893337302,0.378916,346.658,44.10355,0.19071786193141638
dha,6,42.3197420957619,0.45435400000000004,256.463,42.24135,0.19461304048872455
dha,7,40.01763244358333,0.529783,212.911,41.16645,0.24479335628046214
dha,8,38.12054512866667,0.605183,147.261,40.025999999999996,0.3852196498744159
dha,9,36.520078234,0.680546,119.876,39.8369,0.7949686671453899
dha,10,35.14837555,0.755892,110.755,37.5792,2.471802722309282
epa,1,755.2954048612,0.0649351,25974,106.21199999999999,108.35474932231128
epa,2,148.19638005066668,0.122354,18993.4,93.1571,7.768525514108542
epa,3,104.87079368083333,0.181744,4495.18,84.05015,0.9729530199836853
epa,4,90.58783117209524,0.241739,2033.1599999999999,79.40885,0.5080956942802972
epa,5,82.10953914011905,0.30167099999999997,1470.91,76.7364,0.3818700582478993
epa,6,76.17068331661905,0.361692,842.582,74.31190000000001,0.3713098004564297
epa,7,71.59966074958334,0.421619,579.857,72.68430000000001,0.453168307231051
epa,8,67.86675600111111,0.481522,369.836,69.5992,0.6970105630477911
epa,9,64.696372736,0.5413870000000001,246.831,67.15605,1.4100409159968101
