median,lower,upper,culture
-0.5008941082652699,-0.5237460178327642,-0.4729226005348285,GL
-0.19903012878135984,-0.23053971643562707,-0.16442534675674625,CS
-0.19463457062947007,-0.24022251792231414,-0.15117262149261448,CR
-0.22193741822269986,-0.25343324708196063,-0.18207003815645462,II
-0.14302395401687085,-0.17102681145916931,-0.11311829701907172,HA
-0.11843646219396306,-0.16147699741486862,-0.07731047764723369,MN
-0.1951589303998561,-0.23624790365578374,-0.1504995824185885,NO
-0.14428519575852095,-0.17197314188370305,-0.11778346138448217,BC
-0.15251991681922986,-0.17203848812997255,-0.13352969548465912,KW
-0.1727571611991631,-0.20671041435333698,-0.1397259909952465,TS
-0.16082659429633384,-0.19588210841447024,-0.12700368157812936,TL
-0.19556214553182316,-0.24244578823657925,-0.1438321008446193,WA
-0.14687673858362232,-0.1890618831361372,-0.10692500037326567,YU
-0.0989059000014794,-0.14119599332117866,-0.05888794950696683,AB
-0.15673669040417085,-0.1925805051312017,-0.12206392637832743,MI
