culture,n_species
Abenaki,29
Bella Coola,40
Central Salish,42
Cree,27
Haida,36
Inuit-Inupiaq,52
Kwakiutl,40
Micmac,57
Montagnais-Naskapi,25
Nootkan,49
Tlingit,51
Tsimshian,41
Wampanoag,35
Yupik,38
