culture,latin_name,subgroup,calcium,zinc,iron,epa,dha
Bella Coola,Melanogrammus aeglefinus,Fish,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Bella Coola,Mercenaria mercenaria ,Marine Invertebrates,49,2.3,2.8,0.09,0.08
Bella Coola,Micropogonias undulatus,Fish,56,0.3855,0.976,0.1,0.1
Bella Coola,Microstomus pacificus,Fish,39.5,0.2,0.2,0.08,0.09
Bella Coola,Morone saxatillis,Fish,15,0.32333333333333336,0.8200000000000001,0.2,0.6
Bella Coola,Mugil cephalus,Fish,93,0.499,1.45,0.4,0.4
Bella Coola,Mya arenaria,Marine Invertebrates,53,1.7,40.5,0.2,0.2
Bella Coola,Mytilidae,Marine Invertebrates,101,3.63,17,0.13,0.17
Bella Coola,Mytilus edulis,Marine Invertebrates,45.142857142857146,2.55,8.95,0.155,0.1774
Bella Coola,Octopoda,Marine Invertebrates,30.714285714285715,1.68,3.07,0.1,0.1
Bella Coola,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Bella Coola,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Bella Coola,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Bella Coola,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Bella Coola,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Bella Coola,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Bella Coola,Pleuronectinae,Fish,23.5,0.78,0.55,0.192,0.1165
Bella Coola,Pomatomus saltatrix,Fish,47.36,0.791,2.233,0.4,0.8
Bella Coola,Pseudopleuronectes americanus,Fish,13.1,0.397,0.1015,0.07,0.12
Bella Coola,Reinhardtius hippoglossoides,Fish,12.5,0.4,0.6366666666666667,0.725,0.635
Bella Coola,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Bella Coola,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Bella Coola,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Bella Coola,Sebastes norvegicus,Fish,101.66666666666667,0.6915,0.7343333333333334,0.093,0.07150000000000001
Bella Coola,Sebastes pinniger,Fish,9,0.4,0.4,0.2,0.3
Bella Coola,Sebastes spp.,Fish,12,0.3385,0.53,0.2565,0.35950000000000004
Bella Coola,Sparidae,Fish,48.333333333333336,0.9466666666666667,0.785,0.14950000000000002,0.1865
Bella Coola,Thaleichthys pacificus,Fish,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Beothuk,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Beothuk,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Beothuk,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Beothuk,Mercenaria mercenaria ,Marine Invertebrates,49,2.3,2.8,0.09,0.08
Beothuk,Mya arenaria,Marine Invertebrates,53,1.7,40.5,0.2,0.2
Beothuk,Mytilidae,Marine Invertebrates,101,3.63,17,0.13,0.17
Beothuk,Mytilus edulis,Marine Invertebrates,45.142857142857146,2.55,8.95,0.155,0.1774
Beothuk,Nephropidae,Marine Invertebrates,34,2.54,0.935,0.18733333333333332,0.108
Beothuk,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Beothuk,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Beothuk,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Beothuk,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Beothuk,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Beothuk,Osmerus mordax,Fish,69.33333333333333,1.75,0.8,0.12,0.18
Beothuk,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Beothuk,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Carrier,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Carrier,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Carrier,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Carrier,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Carrier,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Carrier,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Carrier,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Carrier,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Carrier,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Carrier,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Carrier,Salvelinus alpinus,Fish,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665
Carrier,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Carrier,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Carrier,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Central Salish,Anoplopoma fimbria,Fish,35,0.3,1.2,0.5249999999999999,0.5599999999999999
Central Salish,Boreogadus saida,Fish,20.2,0.5,0.6,0.165,0.329
Central Salish,Catostomus catostomus,Fish,63.1,0.5,0.3,0.075,0.212
Central Salish,Catostomus commersonii,Fish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Central Salish,Centropristes striata,Fish,48.1,0.29433333333333334,0.812,0.1,0.3
Central Salish,Clupea harengus,Fish,41.25,0.83525,1.1,0.7733333333333333,1.1466666666666667
Central Salish,Clupea pallasii,Fish,51,0.5,1.8800000000000001,1,0.7
Central Salish,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Central Salish,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Central Salish,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Central Salish,Cyprinus carpio,Fish,53.333333333333336,3.05,1.3166666666666667,0.2,0.1
Central Salish,Gadiformes,Fish,29,0.71,0.364,0.09,0.21500000000000002
Central Salish,Gadus macrocephalus,Fish,10,0.3,0.2,0.1,0.1
Central Salish,Gadus morhua,Fish,15.5,1.1418,1.36,1.1045,0.9751666666666666
Central Salish,Hippoglossus hippoglossus,Fish,15.5,0.4,0.5,0.22050000000000003,0.315
Central Salish,Hippoglossus stenolepis,Fish,28,0.19,0.095,0.1,0.3
Central Salish,Melanogrammus aeglefinus,Fish,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Central Salish,Micropogonias undulatus,Fish,56,0.3855,0.976,0.1,0.1
Central Salish,Microstomus pacificus,Fish,39.5,0.2,0.2,0.08,0.09
Central Salish,Morone saxatillis,Fish,15,0.32333333333333336,0.8200000000000001,0.2,0.6
Central Salish,Mugil cephalus,Fish,93,0.499,1.45,0.4,0.4
Central Salish,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Central Salish,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Central Salish,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Central Salish,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Central Salish,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Central Salish,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Central Salish,Pleuronectinae,Fish,23.5,0.78,0.55,0.192,0.1165
Central Salish,Pomatomus saltatrix,Fish,47.36,0.791,2.233,0.4,0.8
Central Salish,Pseudopleuronectes americanus,Fish,13.1,0.397,0.1015,0.07,0.12
Central Salish,Reinhardtius hippoglossoides,Fish,12.5,0.4,0.6366666666666667,0.725,0.635
Central Salish,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Central Salish,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Central Salish,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Central Salish,Sebastes norvegicus,Fish,101.66666666666667,0.6915,0.7343333333333334,0.093,0.07150000000000001
Central Salish,Sebastes pinniger,Fish,9,0.4,0.4,0.2,0.3
Central Salish,Sebastes spp.,Fish,12,0.3385,0.53,0.2565,0.35950000000000004
Central Salish,Sparidae,Fish,48.333333333333336,0.9466666666666667,0.785,0.14950000000000002,0.1865
Central Salish,Squalus acanthias,Fish,11,0.613,1.25,0.7,1.2
Central Salish,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Central Salish,Thaleichthys pacificus,Fish,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Central Salish,Thymallus arcticus,Fish,273.8375,0.7,1,0.1,0.1
Chilcotin,Catostomus catostomus,Fish,63.1,0.5,0.3,0.075,0.212
Chilcotin,Catostomus commersonii,Fish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Chilcotin,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Chilcotin,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Chilcotin,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Chilcotin,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Chilcotin,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Chilcotin,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Chilcotin,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Chilcotin,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Chilcotin,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Chilcotin,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Chilcotin,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Chilcotin,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Chilcotin,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Chinook,Mercenaria mercenaria ,Marine Invertebrates,49,2.3,2.8,0.09,0.08
Chinook,Mya arenaria,Marine Invertebrates,53,1.7,40.5,0.2,0.2
Chinook,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Chinook,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Chinook,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Chinook,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Chinook,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Chinook,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Chinook,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Chinook,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Chinook,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Chinook,Thaleichthys pacificus,Fish,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Chipewyan,Catostomus catostomus,Fish,63.1,0.5,0.3,0.075,0.212
