"","species_name","type","energy","protein","fat","moisture","ash","iron","zinc","calcium","iodine","selenium","phosphorus","magnesium","sodium","potassium","manganese","sulphur","copper","vitamin_b12","vitamin_d3","vitamin_d2","vitamin_e_α_tocopherol","folate","β_carotene","x13_cis_retinol","x13_cis_dehydroretinol","all_trans_retinol","all_trans_dehydroretinol","total_vitamin_a"
"1","Baim","SIS",381,17.9,1.7,78.6,1,1.9,1.1,449,13,12,NA,35,47,322,NA,NA,NA,1.72,1.3,0.76,0,0,5,1,5,1,51,27
"2","Bele","SIS",292,16.6,0.4,80.3,3.1,2.3,2.1,790,25,31,520,38,56,210,2.3,200,0.03,2.1,1.6,NA,0.17,6.7,NA,0,0,18,0,18
"3","Boro Kholisha","SIS",354,15.2,2.5,77,5.2,4.1,2.3,1700,20,26,910,44,61,210,2,190,0.046,5.55,3.13,2.1,0.12,0,11,5,5,34,14,46
"4","Chanda","SIS",400,15.5,3.8,76.2,4.7,2.1,2.6,1153,24,22,NA,45,61,206,NA,NA,NA,6.42,11.9,0,0.18,0,43,14,51,128,433,336
"5","Chapila","SIS",385,15.5,3.8,78.4,3.4,7.6,2.1,1063,13,13.4,NA,41,57,281,NA,NA,NA,6.99,4.92,0,0,0,0,1,21,9,136,73
"6","Chela","SIS",349,15.2,2.4,79.4,2.9,0.84,4.7,1000,19,32,590,39,28,85,0.6,170,0.052,5.64,4,0,0.11,0,21,25,9,90,45,132
"7","Darkina","SIS",384,15.5,3.2,77.1,4.2,12,4,891,81,12,NA,38,110,200,NA,NA,NA,12.5,6.31,0,0.84,0,100,63,48,433,381,660
"8","Dhela","SIS",387,14.7,3.8,78.1,3.7,1.8,3.7,1200,9.5,29,660,39,37,110,0.6,170,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ekthute","SIS",360,17.9,1.7,76.7,4.1,1.5,3.6,1300,11,28,770,51,52,140,0.73,240,0.03,3,2.4,NA,0.65,11,NA,18,0,84,0,98
"10","Foli","SIS",384,20.5,0.6,76.7,1.4,1.7,1.6,230,0,22,270,34,53,280,0.078,260,0.058,2,0.7,NA,0.64,18,NA,0,0,0,0,0
"11","Golsha","SIS",479,16.8,5.1,76.8,1,1.8,1.3,120,13,41,180,26,33,210,0.22,220,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Guchi","SIS",394,17.9,2.6,77.7,2.2,2.7,1.3,491,19,45,NA,34,52,294,NA,NA,NA,2.47,2.29,0,0.11,0,110,1,14,9,133,78
"13","Gutum","SIS",431,17.2,3.9,76.7,2.6,3.3,2.5,950,16,36,650,57,45,240,0.46,190,0.054,8.75,0,0,0.19,0,25,1,9,17,131,76
"14","Jat Punti","SIS",541,15.7,7.2,73.2,3.5,2.2,2.9,1042,20,9.5,NA,39,53,203,NA,NA,NA,4.01,1.29,0,0.15,0,13,4,9,27,49,54
"15","Kachki","SIS",267,11.9,1.9,85.4,1.7,2.8,3.1,476,6,7.5,NA,26,38,134,NA,NA,NA,3.55,1.5,0,0.09,0,15,2,30,14,122,78
"16","Kajuli","SIS",751,17.1,12.6,70,0.7,0.82,1.2,110,7.1,27,140,22,26,130,0.17,200,0.059,4.1,0.091,NA,0.28,2.9,NA,0,0,37,0,37
"17","Kakila","SIS",329,17.1,1.2,80.2,1.8,0.65,1.9,610,37,29,450,35,49,190,0.47,240,0.046,2.89,1.4,0.66,0.4,9.2,56,9,12,54,53,91
"18","Koi","SIS",737,15.5,12.8,70.5,1,0.87,0.6,85,0,19,160,21,31,260,0.052,190,0.052,2.38,1.19,0,0,11.4,74,61,30,163,171,295
"19","Kuli","SIS",330,16.9,1.2,78.9,3.1,0.79,2,980,31,49,580,39,55,190,0.29,210,0.03,1.4,22,NA,0.55,3.7,NA,0,0,37,0,37
"20","Magur","SIS",326,16.5,1.3,81.3,1.1,1.2,0.74,59,22,22,210,26,61,350,0.021,180,0.05,4.83,0,0,0.13,9.4,64,4,8,7,15,25
"21","Meni","SIS",338,16.7,1.7,78.5,3.6,0.84,1.6,1300,13,29,810,44,68,250,1.4,210,0.029,0.9,0.78,NA,0.36,3.5,NA,0,0,36,61,60
"22","Modhu Pabda","SIS",619,16.2,9.5,73.9,0.9,0.46,0.9,91,7,27,150,23,47,230,0.073,190,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Mola","SIS",445,17.3,4.5,75.6,3.5,5.7,3.2,853,17,5,NA,35,39,152,NA,NA,NA,7.98,2.03,2.9,0.27,0,0,0,460,323,4990,2503
"24","Mola (cultured)","SIS",412,14.7,4.6,77.3,4,19,4.2,1400,33,19,700,49,31,58,1.9,160,0.047,5.9,3,NA,0.91,4.3,NA,44,42,340,4590,2226
"25","Rani","SIS",654,14.9,10.6,70.8,3.2,2.5,4,1300,25,31,820,45,48,160,1.5,170,0.094,6.4,0.12,NA,0.63,3.2,NA,0,0,0,60,24
"26","Shing","SIS",374,19.1,1.9,79.2,1,2.2,1.1,60,0,31,220,37,54,300,0.038,230,0.057,12.8,0,0,0.34,0,45,5,11,11,22,32
