FEve,culture,n_species,expected_feve,res_mean,std.error
0.8233383704144804,Abenaki,26,0.5987541578929222,NA,NA
0.8306853394783984,Bella Coola,35,0.578948443786689,NA,NA
0.8401448604596659,Central Salish,38,0.5756210395740701,NA,NA
0.814892223814283,Cree,25,0.598178385979185,NA,NA
0.8203696257294623,Haida,32,0.5838655758843049,NA,NA
0.836826392831076,Inuit-Inupiaq,47,0.5720370649818957,NA,NA
0.8306853394783984,Kwakiutl,35,0.578948443786689,NA,NA
0.8219993016646016,Micmac,48,0.5667715636291597,NA,NA
0.8432790352077556,Montagnais-Naskapi,23,0.5981892695987375,NA,NA
0.8195959436638367,Nootkan,42,0.5724066293834856,NA,NA
0.8194285087989616,Tlingit,45,0.5696204514403742,NA,NA
0.8306853394783984,Tsimshian,35,0.578948443786689,NA,NA
0.7878931865128252,Wampanoag,30,0.5865312970137123,NA,NA
0.8167027254109536,Yupik,36,0.5775478345125484,NA,NA
0.7970321352952981,Global (40 spcies),40,0.7970321352952981,0.7970321352952981,7.7997939292337e-4
