seanuts_id2,Species,subgroup,food_name_clean,food_name_checked_in_paper,species_name,part,reference
2014,Esox lucius,finfish,Pike,muscle,Esox lucius,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2009,Lophius piscatorius,finfish,angler fish,muscle,Lophius piscatorius,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2008,Merluccius merluccius,finfish,european hake,muscle,Merluccius merluccius,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2007,Scorpaena porcus,finfish,brown scorpion fish,muscle,Scorpaena porcus,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2011,Zeus faber,finfish,John Dory,muscle,Zeus faber,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2021,Illex coindetii,mollusc,broadtail shorfin squid,muscle,Illex coindetii,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2025,Rapana venosa,mollusc,sea snail,muscle,Rapana venosa,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2006,Scorpaena scrofa,finfish,red scorpion fish,muscle,Scorpena scrofa,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2017,Scyllarides latus,crustacean,shovelnosed lobster,muscle,Scyllarides latus,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
2012,Trachinus draco,finfish,Greater weever fish,muscle,Trachinus draco,muscle,"Ã–zden, Ã–. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
