food_item_id,subgroup,country_region,type_farmed_wild,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,n,comments_on_data_processing_methods,publication_year,biblioid,ca_mg,fe_mg,zn_mg,hg_mcg,mg_mg,mn_mg
901309,Finfish,Unknown (samples from Istanbul local fish market),NA,37,HOM,NA,"Horse mackerel, muscle fillet, raw",r,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,NA,NA,1,NA,2010,fi3,NA,NA,NA,NA,NA,NA
901339,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,MDI,Barbado,"Flatwhiskered catfish, wild, skinless, boneless fillets, raw",r,Pinirampus pinirampu,Flatwhiskered catfish,Pinirampus pinirampu,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901340,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,11,FCP,Carpa,"Common carp, wild, skinless, boneless fillets, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901341,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,NA,Cascudo abacaxi,"wild, skinless, boneless fillets, raw",r,Megaloancistrus aculeatus,NA,Loricariidae,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901342,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,DPG,Cascudo cachorro,"Granulated catfish, wild, skinless, boneless fillets, raw",r,Pterodoras granulosus,Granulated catfish,Pterodoras granulosus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901343,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,33,LGQ,Corvina,"South American silver croaker, wild, skinless, boneless fillets, raw",r,Plagioscion squamosissimus,South American silver croaker,Plagioscion squamosissimus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901344,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,PLL,Curimba,"Streaked prochilod, wild, skinless, boneless fillets, raw",r,Prochilodus lineatus,Streaked prochilod,Prochilodus lineatus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901345,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,SXU,Dourado,"Dorado, wild, skinless, boneless fillets, raw",r,Salminus maxillosus,Dorado,Salminus maxillosus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901346,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,HBY,Jurupoca,"wild, skinless, boneless fillets, raw",r,Hemisorubim plathyrhinchos,NA,Hemisorubim platyrhynchos,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901347,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,MDM,Mandi,"wild, skinless, boneless fillets, raw",r,Pimelodus maculatus,NA,NA,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901348,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,CSO,Pacu,"Pirapatinga, wild, skinless, boneless fillets, raw",r,Colossoma mitrei,Pacu,Piaractus mesopotamicus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901349,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,NA,Piapara,"wild, skinless, boneless fillets, raw",r,Leporinus elongatus,NA,Anostomidae,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901350,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,LPD,Piau,"wild, skinless, boneless fillets, raw",r,Leporinus friderici,NA,Leporinus friderici,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901351,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,UDC,Pintado,"Spotted sorubim, wild, skinless, boneless fillets, raw",r,Pseudoplatystoma corruscans,Spotted sorubim,Pseudoplatystoma corruscans,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901352,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,NA,Piranha,"wild, skinless, boneless fillets, raw",r,Serrasalmus marginatus,NA,Characidae,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901353,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,12,TLN,Tilápia,"Nile tilapia, wild, skinless, boneless fillets, raw",r,Oreochromis niloticus,Nile tilapia,Oreochromis niloticus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
