fapun_all_g,dha,epa,fapun3,ca_mg,fat_g,asfis_scientific_name.x.x,food_name_in_english.x.x,taxonkey,lwa,lwb,slmax,slmax_nov28,slmax_source,tl,tl_se,tl_nov28,tlse_nov28,number,sci_name,food_item_id,subgroup.x.x,country_region.x.x,type.x,isscaap.x.x,isscaap_cat,habitat,x3_alpha.x.x,food_name_in_own_language.x.x,processing.x.x,asfis_english_name.x.x,season,other,latitude,abs_lat,length_from_study,length_3,n_x,water_g.x,fat_g.x,fatce_g.x,fat_g_2,fasat_g.x,fams_g.x,faun_g,fatrn_g.x,facid_g.x,fapun6_g.x,fapun9_g,food_item_id_2,max_length_study,comments_on_data_processing_methods_y,publication_year,biblioid_y,compiler,edible.x,enerc_kj_original.x,enerc_kcal_original.x,enera_kcal.x,dm_g.x,water_g_2,xn.x,nt_g.x,protcnt_g.x,protcnp_g.x,prot_g.x,npro_g.x,nnp_mg.x,fasat_g_2,fams_g_2,faun_g_2,fe_mg,id_mcg.x,k_mg.x,mg_mg.x,mn_mg.x,se_mcg,hg_mcg,pb_mcg.x,sr_mcg,retol_mcg,retol13_mcg,retoldh_mcg,retolsum_mcg.x,carta_mcg,cartb_mcg,atx_mcg,zea_mcg,cartoid_mcg,chocal_mcg,tocpha_mg,vitb6a_mg,vitb12_mcg,vitc_mg,zn_mg,food_name_clean,database,nutrient_ref,biblioid,subgroup.y,country_region.y,type.y,isscaap.y,x3_alpha.y,food_name_in_own_language.y,food_name_in_english.y,processing.y,scientific_name,asfis_english_name.y,asfis_scientific_name.y,asfis_scientific_name_fishbase_swap.x,asfis_scientific_name_fishbase_swap_in_progress,season.x,other.x,n.x,comments_on_data_processing_methods.x,publication_year.x,biblioid.x,compiler.x,latest_revision_in_version.x,faun_g.x,xfa_internal_use,facid_g.y,fapun6_g.y,subgroup.x,country_region.x,type_farmed_wild.x,isscaap.x,x3_alpha.x,food_name_in_own_language.x,food_name_in_english.x,processing.x,scientific_name.x,asfis_english_name.x,asfis_scientific_name.x,season.y,other.y,n.y,comments_on_data_processing_methods.y,publication_year.y,biblioid.y,compiler.y,latest_revision_in_version.y,edible.y,enerc_kj_original.y,enerc_kcal_original.y,enera_kcal.y,dm_g.y,water_g.y,xn.y,nt_g.y,protcnt_g.y,protcnp_g.y,prot_g.y,npro_g.y,nnp_mg.y,fat_g.y,fat_g_2.y,fasat_g.y,fams_g.y,fatrn_g.y,choavldf_g,chocdf_g,cho_g,glyc_g,fibnd_g,fibc_g,id_mcg.y,k_mg.y,li_mcg,mg_mg.y,mn_mg.y,mo_mcg,na_mg,nacl_mg,ni_mcg,p_mg,al_mcg,as_mcg,ba_mcg,cd_mcg,pb_mcg.y,retolsum_mcg.y,vita_rae_mcg,vita_mcg,fafre_g,subgroup.y.y,country_region.y.y,type_farmed_wild.y,isscaap.y.y,x3_alpha.y.y,food_name_in_own_language.y.y,processing.y.y,scientific_name.y,asfis_english_name.y.y,asfis_scientific_name.y.y,asfis_scientific_name_fishbase_swap.y
0.19927558,0.151529686,0.018991364,0.172727793,NA,0.87,Aspitrigla cuculus,"East Atlantic red gurnard,  wild, fillet, raw",NA,0.00813,3.06,50.0,NA,http://www.fishbase.org/summary/Chelidonichthys-cuculus.html,3.9,0.6,NA,NA,71,Aspitrigla cuculus,900329,Finfish,"Turkey, Mediterranean Sea",W,34,Miscellaneous demersal fishes,marine,GUR,NA,r,Red gurnard,NA,NA,37.370157,37.370157,NA,NA,1,NA,0.87,NA,NA,0.230437466,0.187506284,0.05149067,NA,NA,0.024541657,NA,900329,NA,FA converted using XFA,2009,fi67,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.19,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East_Atlantic_red_gurnard_wild_fillet_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.853356147,0.237639134,0.393730288,0.79535563,NA,3.51,Atheresthes stomias,"Arrow-tooth flounder, wild, fillets, raw",600517,0.01981,2.791300058,69.0,NA,NA,4.26,0.75,NA,NA,74,Atheresthes stomias,900151,Finfish,"USA, Alaska, Kodiak",W,31,"Flounders, halibuts, soles",marine,ARF,NA,r,Arrow-tooth flounder,02-Apr,NA,57.79,57.79,NA,NA,1,NA,NA,NA,3.51,0.802075779,1.250023726,0.226374348,NA,NA,0.049898705,NA,900151,NA,FAME converted using ShF and XFA,2005,fi30,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.25,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arrow-tooth_flounder_wild_fillets_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.49897312,0.47727936,0.34639424,NA,NA,6.2,Atherina boyeri,"Big-scale sand smelt, wild, whole, raw",601696,0.0075,3.023000002,20.0,NA,NA,3.12,0.26,NA,NA,75,Atherina boyeri,900797,Finfish,"Tunisia, Bizerta Sea",W,37,Miscellaneous pelagic fishes,marine,ATB,NA,r,Big-scale sand smelt,07-Sep,"mean length and weight of fish: 8.18cm, 4.82g; FA as % of FACID, FACID calculated using CF; AA as mg/g protein",37.266667,37.266667,8.18,547.343432,NA,71.99,6.2,NA,NA,2.45635264,1.43127392,NA,NA,NA,NA,NA,900797,8.18,FA converted using XFA,2010,fi121,DR,NA,NA,NA,NA,NA,71.99,NA,NA,19.41,NA,NA,NA,NA,2.46,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Big-scale_sand_smelt_wild_whole_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.257162237,0.234779484,0.146054679,NA,NA,5.03,Atherinidae,"Smelt, wild, whole, raw",NA,0.00575,3.06,20.0,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=1697&AT=smelt,3.2,0.33,NA,NA,78,Atherina sp.,902191,Finfish,"Tunisia, Kerkannah's Islands",W,37,Miscellaneous pelagic fishes,marine,SIL,NA,r,NA,07-Sep,"mean length and weight of fish: 4.65cm, 0.76g; FA as % of FACID, FACID calculated using CF; AA as mg/g protein",34.7,34.7,4.65,100.544625,NA,74.48,5.03,NA,NA,1.530616636,1.485571735,NA,NA,NA,NA,NA,902191,4.65,FA converted using XFA,2010,fi121,DR,NA,NA,NA,NA,NA,74.48,NA,NA,17.86,NA,NA,NA,NA,1.53,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smelt_wild_whole_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.072898489,0.243160783,0.200510714,NA,NA,6.09,Atherinidae,"Smelt, wild, whole, raw",NA,0.00575,3.06,20.0,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=1697&AT=smelt,3.2,0.33,NA,NA,76,Atherina lagunae,900798,Finfish,"Tunisia, Bizerta Lagoon",W,37,Miscellaneous pelagic fishes,marine,SIL,NA,r,NA,07-Sep,"mean length and weight of fish: 8.02cm, 3.64g; FA as % of FACID, FACID calculated using CF; AA as mg/g protein",37.266667,37.266667,8.02,515.849608,NA,73.31,6.09,NA,NA,2.047203312,2.00510714,NA,NA,NA,NA,NA,900798,8.02,FA converted using XFA,2010,fi121,DR,NA,NA,NA,NA,NA,73.31,NA,NA,19.11,NA,NA,NA,NA,2.05,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smelt_wild_whole_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.23,0.32,0.16,NA,NA,6.09,Atherinidae,"silverside, wild, whole, raw",NA,0.00575,3.06,20.0,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=1697&AT=smelt,3.2,0.33,NA,NA,77,Atherina lagunae,901122,Finfish,"Tunisia, north coast",W,37,Miscellaneous pelagic fishes,marine,SIL,NA,r,silversides_=Sand smelts nei,08-Sep,"mean length and weight: 8.05cm, 4.16g;",37.509726,37.509726,8.05,521.660125,NA,73.31,6.09,NA,NA,2.49,1.7,0.25,NA,NA,NA,NA,901122,8.05,NA,2010,fi187,S.E.,NA,NA,NA,NA,NA,73.31,NA,NA,19.11,NA,NA,NA,NA,2.49,1.7,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,silverside_wild_whole_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.8,Atrobucca nibe,"Meagre/Croaker, wild, edible flesh, raw",NA,0.00603,3.05,45.0,NA,http://www.fishbase.org/summary/941,3.6,0.5,NA,NA,248,Corvina nigra,900425,Finfish,"Greece, Aegean Sea",W,33,Miscellaneous coastal fishes,marine,CRL,Sikios/Pantelis,r,Blackmouth croaker,Winter,NA,39.019184,39.019184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900425,NA,FAT- _analyzed according to AOAC 1975,1995,fi80,DR,NA,NA,NA,NA,NA,78,6.25,NA,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meagre/Croaker_wild_edible_flesh_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.6417836,1.5807742,NA,NA,21.6,Auxis rochei,"Bullet tuna, wild, ventral muscle, raw",600093,0.00464,3.361999989,50.0,NA,NA,4.1,0.6,NA,NA,79,Auxis rochei,901007,Finfish,"Japan, Pacific Ocean _sea off",W,36,"Tunas, bonitos, billfishes",marine,BLT,NA,r,Bullet tuna,"May 1992, 1994","mean length and weight of fish: 32.1cm, 685.5g",36.204824,36.204824,32.1,33076.161,NA,NA,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,901007,32.1,FAT- _no method for lipid extraction given; FA converted using XFA; FA tr: <0.3% of FACID,1996,fi160,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bullet_tuna_wild_ventral_muscle_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8584092,0.325155,NA,NA,4.8,Auxis rochei,"Bullet tuna, wild, dorsal muscle, raw",600093,0.00464,3.361999989,50.0,NA,NA,4.1,0.6,NA,NA,80,Auxis rochei,901006,Finfish,"Japan, Pacific Ocean _sea off",W,36,"Tunas, bonitos, billfishes",marine,BLT,NA,r,Bullet tuna,"May 1992, 1994","mean length and weight of fish: 32.1cm, 685.5g",36.204824,36.204824,32.1,33076.161,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,901006,32.1,FAT- _no method for lipid extraction given; FA converted using XFA; FA tr: <0.3% of FACID,1996,fi160,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bullet_tuna_wild_dorsal_muscle_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.0086,0.5324,2.74065,NA,6.05,Auxis thazard,"Frigate tuna, adult fish, muscle flesh, middle portion, raw",NA,0.00955,3.06,54.0,NA,http://www.fishbase.org/summary/94,4.34,0.68,NA,NA,83,Auxis thazard thazard,900885,Finfish,"Brazil, S†o Paulo, Santos cost",W,36,"Tunas, bonitos, billfishes",marine,FRI,Bonito cachorro,r,Frigate tuna,NA,NA,-23.372169,23.372169,NA,NA,NA,NA,6.05,NA,NA,1.8997,0.9317,NA,NA,NA,0.18755,NA,900885,NA,NA,2007,fi131,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frigate_tuna_adult_fish_muscle_flesh_middle_portion_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.7308216,1.3707943,NA,NA,15.3,Auxis thazard,"Frigate tuna, wild, ventral muscle, raw",600094,0.00997,3.130000114,65.0,NA,NA,4.3,0.7,NA,NA,81,Auxis thazard,901009,Finfish,"Japan, Pacific Ocean _sea off",W,36,"Tunas, bonitos, billfishes",marine,FRI,NA,r,Frigate tuna,"May 1992, Dez 1996","mean length and weight of fish: 38.3cm, 987.1g",36.204824,36.204824,38.3,56181.887,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,NA,901009,38.3,FAT- _no method for lipid extraction given; FA converted using XFA; FA tr: <0.3% of FACID,1996,fi160,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frigate_tuna_wild_ventral_muscle_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.3430523,0.4661453,NA,NA,5.1,Auxis thazard,"Frigate tuna, wild, dorsal muscle, raw",600094,0.00997,3.130000114,65.0,NA,NA,4.3,0.7,NA,NA,82,Auxis thazard,901008,Finfish,"Japan, Pacific Ocean _sea off",W,36,"Tunas, bonitos, billfishes",marine,FRI,NA,r,Frigate tuna,"May 1992, Dez 1995","mean length and weight of fish: 38.3cm, 987.1g",36.204824,36.204824,38.3,56181.887,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,901008,38.3,FAT- _no method for lipid extraction given; FA converted using XFA; FA tr: <0.3% of FACID,1996,fi160,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frigate_tuna_wild_dorsal_muscle_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.3776885,0.659837,0.38111275,1.46188025,NA,6.25,Bagrus docmak,"Catfish A, wild, muscle fillet, raw",NA,0.00955,3.01,127.0,NA,http://www.fishbase.org/summary/6519,4.1,0.95,NA,NA,84,Bagrus docmac,900144,Finfish,"Uganda, Lake Viktoria, Kasenyi and Ggaba",W,13,Miscellaneous freshwater fishes,freshwater,BGK,NA,r,Semutundu,08-Feb,mean weight of fish: 4250g,-0.033333,0.033333,NA,NA,NA,NA,NA,NA,6.25,1.78042225,1.2627915,NA,NA,NA,0.91580825,NA,900144,NA,FA converted using XFA,2011,fi28,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catfish_A_wild_muscle_fillet_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.13,0.06384,0.013,0.091,NA,NA,Bagrus docmak,"Semutundu, wild, skinless, boneless, dorsal muscle, raw",NA,0.00955,3.01,127.0,NA,NA,4.1,0.95,NA,NA,85,Bagrus docmas,900107,Finfish,"Uganda, Napoleon Gulf in Lake Victora",W,13,Miscellaneous freshwater fishes,freshwater,BGK,NA,r,Semutundu,05-Nov,NA,-0.755775,0.755775,NA,NA,1,NA,NA,NA,NA,0.0923,0.03744,NA,NA,0.26,0.03094,NA,900107,NA,NA,2008,fi23,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Semutundu_wild_skinless_boneless_dorsal_muscle_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.13048,0.04712,0.01008,0.08176,NA,NA,Bagrus docmak,"Semutundu, wild, skinless, boneless, dorsal muscle, raw",NA,0.00955,3.01,127.0,NA,NA,4.1,0.95,NA,NA,86,Bagrus docmas,900108,Finfish,"Uganda, Lwampanga at Lake Kyoga",W,13,Miscellaneous freshwater fishes,freshwater,BGK,NA,r,Semutundu,05-Dec,NA,1.504705,1.504705,NA,NA,1,NA,NA,NA,NA,0.10388,0.04564,NA,NA,0.28,0.03892,NA,900108,NA,NA,2008,fi23,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Semutundu_wild_skinless_boneless_dorsal_muscle_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1.0,Balistidae,"Grey triggerfish, wild, edible portion, raw",607327,0.021400001,3.0,53.0,NA,NA,3.44,0.4,NA,NA,87,Balistes capriscus,900966,Finfish,"Mexico, Veracruz, Gulf of Mexico",W,33,Miscellaneous coastal fishes,marine,TRI,NA,r,"Triggerfishes, durgons nei",Nov-94,NA,19.173773,19.173773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900966,NA,"FAT- _analyzed according to AOAC 1990, method 932.02",1998,fi149,DR,NA,NA,NA,102.32,NA,77.9,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grey_triggerfish_wild_edible_portion_raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
