species_no,mean,grams_required_median,rda_threshold
1,59.380012399820714,36.474164133738604,0.01
2,35.33216053001219,24.767821027725255,0.01
3,28.48514384628132,23.336365621328188,0.01
4,25.041119038978668,21.997662759883127,0.01
5,22.906130825675707,20.86850626671582,0.01
6,21.416325650545957,19.90935712148041,0.01
7,20.297475561074165,19.106686583200275,0.01
8,19.41569233557059,18.22557833100886,0.01
9,18.69730990301365,17.2833955070219,0.01
10,18.097967251084437,16.48429669368801,0.01
1,118.76002479964143,72.94832826747721,0.02
2,70.66432106002438,49.53564205545051,0.02
3,56.97028769256264,46.672731242656376,0.02
4,50.082238077957335,43.995325519766254,0.02
5,45.81226165135141,41.73701253343164,0.02
6,42.832651301091914,39.81871424296082,0.02
7,40.59495112214833,38.21337316640055,0.02
8,38.83138467114118,36.45115666201772,0.02
9,37.3946198060273,34.5667910140438,0.02
10,36.195934502168875,32.96859338737602,0.02
1,178.14003719946214,109.4224924012158,0.03
2,105.99648159003655,74.30346308317576,0.03
3,85.45543153884395,70.00909686398455,0.03
4,75.123357116936,65.99298827964938,0.03
5,68.71839247702711,62.60551880014745,0.03
6,64.24897695163787,59.72807136444122,0.03
7,60.89242668322249,57.320059749600816,0.03
8,58.24707700671177,54.676734993026585,0.03
9,56.09192970904095,51.850186521065694,0.03
10,54.29390175325331,49.45289008106403,0.03
1,237.52004959928286,145.89665653495442,0.04
2,141.32864212004876,99.07128411090102,0.04
3,113.94057538512529,93.34546248531275,0.04
4,100.16447615591467,87.99065103953251,0.04
5,91.62452330270283,83.47402506686328,0.04
6,85.66530260218383,79.63742848592165,0.04
7,81.18990224429666,76.4267463328011,0.04
8,77.66276934228236,72.90231332403545,0.04
9,74.7892396120546,69.1335820280876,0.04
10,72.39186900433775,65.93718677475204,0.04
1,296.90006199910357,182.37082066869303,0.05
2,176.66080265006093,123.83910513862628,0.05
3,142.42571923140662,116.68182810664094,0.05
4,125.20559519489335,109.98831379941564,0.05
5,114.53065412837853,104.34253133357909,0.05
6,107.08162825272979,99.54678560740206,0.05
7,101.48737780537083,95.53343291600137,0.05
8,97.07846167785296,91.12789165504432,0.05
9,93.48654951506825,86.4169775351095,0.05
10,90.48983625542219,82.42148346844004,0.05
1,356.28007439892434,218.84498480243164,0.060000000000000005
2,211.99296318007313,148.60692616635154,0.060000000000000005
3,170.91086307768794,140.01819372796913,0.060000000000000005
4,150.246714233872,131.98597655929876,0.060000000000000005
5,137.43678495405425,125.21103760029492,0.060000000000000005
6,128.49795390327574,119.45614272888247,0.060000000000000005
7,121.78485336644499,114.64011949920165,0.060000000000000005
8,116.49415401342355,109.3534699860532,0.060000000000000005
9,112.18385941808191,103.7003730421314,0.060000000000000005
10,108.58780350650663,98.90578016212807,0.060000000000000005
1,415.66008679874494,255.3191489361702,0.06999999999999999
2,247.32512371008528,173.37474719407675,0.06999999999999999
3,199.39600692396922,163.3545593492973,0.06999999999999999
4,175.28783327285066,153.98363931918186,0.06999999999999999
5,160.34291577972994,146.0795438670107,0.06999999999999999
6,149.91427955382167,139.36549985036285,0.06999999999999999
7,142.08232892751914,133.74680608240192,0.06999999999999999
