page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha,latin_name_cleaned,old_species1,cine_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa sapidissima,Alosa sapidissima,19,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,freshbrackmarine,cine
6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,offal,raw,27,NA,NA,NA,16.7,16.3,NA,NA,NA,NA,NA,NA,Alosa sapidissima,Alosa sapidissima,20,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,freshbrackmarine,cine
6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,skin,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa sapidissima,Alosa sapidissima,21,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,freshbrackmarine,cine
6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,79,47,0.3,0.8,17.4,12.5,NA,NA,NA,NA,NA,NA,Alosa sapidissima,Alosa sapidissima,22,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,freshbrackmarine,cine
6431,Fish,Saltwater Fish,Shad,Aloseinae,muscle,raw,27,NA,NA,0.57,19.4,8.3,NA,NA,0.019,NA,NA,NA,Aloseinae,Aloseinae,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6431,Fish,Saltwater Fish,Shad,Aloseinae,eggs,raw,27,NA,NA,NA,23.4,3.8,NA,NA,NA,NA,NA,NA,Aloseinae,Aloseinae,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,44,12,0.403,0.653,15.8,1.49,NA,NA,0.041,NA,NA,NA,Ameiurus nebulosus,Ameiurus nebulosus,25,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,fresh,cine
6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,56,NA,NA,NA,18.6,2.7,NA,NA,NA,NA,NA,NA,Ameiurus nebulosus,Ameiurus nebulosus,26,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,fresh,cine
6416,Fish,Freshwater Fish,Bowfin,Amia calva,muscle,raw,27,NA,NA,NA,20.1,1.4,NA,NA,NA,NA,NA,NA,Amia calva,Amia calva,27,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,fresh,cine
6416,Fish,Freshwater Fish,Bowfin,Amia calva,whole,raw,27,NA,NA,NA,15.5,1.5,NA,NA,NA,NA,NA,NA,Amia calva,Amia calva,28,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,fresh,cine
6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,55,NA,NA,NA,NA,0.59,0.2,0.12,NA,NA,0.11,0.06,Anarhichadidae,Anarhichadidae,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,23,NA,NA,NA,NA,2.4,NA,0.8,NA,NA,0.3,0.3,Anarhichadidae,Anarhichadidae,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anarhichadidae,Anarhichadidae,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,27,6,NA,NA,17.6,2.8,NA,NA,NA,NA,NA,NA,Anarhichadidae,Anarhichadidae,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,72,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Anarhichadidae,Anarhichadidae,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,skin,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,34,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,79,56,1,2.7,18.8,15.8,1.2,2.3,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,35,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,72,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,36,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,21,18,NA,0.7,15,18,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,37,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,55,NA,NA,NA,NA,NA,NA,1.23,NA,NA,0.3,0.66,Anguilla rostrata,Anguilla rostrata,38,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,15,20,1.63,0.51,18.5,11.7,NA,0.9,0.035,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,39,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,23,NA,NA,NA,NA,18.8,NA,1.4,NA,NA,0.1,0.1,Anguilla rostrata,Anguilla rostrata,40,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,41,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,55,NA,NA,NA,NA,14.2,1.13,NA,NA,NA,0.3,0.66,Anguilla rostrata,Anguilla rostrata,42,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,43,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,82,35,2,0.35,19.1,31.5,NA,5.74,0.03,15,1.3,2.1,Anguilla rostrata,Anguilla rostrata,44,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,45,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,46,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,27,56,0.615,NA,18.2,13.3,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,47,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,muscle,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,48,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
6450,Fish,Searun Fish,American Eel,Anguilla rostrata,not specified,raw,87,20,NA,0.6,19,12,NA,NA,NA,NA,NA,NA,Anguilla rostrata,Anguilla rostrata,49,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,cine
