Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,species,form_clean,search,nutrient,concentration
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,freshbrackmarine,Anguilla_rostrata,muscle,FAO,ca_mg,NA
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,marine,Anoplopoma_fimbria,muscle,FAO,ca_mg,NA
Arripis trutta,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,subtropical,fusiform / normal,pelagic-neritic,39,89,brackmarine,Arripis_trutta,muscle,FAO,ca_mg,NA
Atheresthes stomias,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,polar,short and / or deep,demersal,950,84,marine,Atheresthes_stomias,muscle,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
