genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,biblio_id
spisula solidissima,mollusc,NA,US-north atlantic,1.11,109.6,396.3,11,shucked-whole,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
squalus acanthias,finfish,NA,US-north atlantic,21.185,69.5,521.9,9.3,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
squalus acanthias,finfish,NA,US-south atlantic,15.2,81,422.5,26,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
squalus acanthias,finfish,NA,US-pacific northwest,35.34,50.8,469.6,7.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
squalus acanthias,finfish,shark-dogfish (spiny),US-Alaska,76,NA,NA,NA,NA,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,49,karimi
squatina californica,finfish,shark-Pacific angel,US,41.05055556,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,9,karimi
stenotomus chrysops,finfish,NA,US-north atlantic,1.9,111.8,167900,14.6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
stenotomus chrysops,finfish,NA,US-south atlantic,5.7,46.5,1485.5,14,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
stenotomus chrysops,finfish,porgy (scup),US,9.69,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,10,karimi
strongylocentrotus polyacanthus,mollusc,Green sea urchin,NA,0.15,NA,NA,NA,NA,burger,"Burger, Joanna, Michael Gochfeld, Christian Jeitner, Sean Burke, Tim Stamm, Ronald Snigaroff, Dan Snigaroff, Robert Patrick, and Jim Weston. Mercury levels and potential risk from subsistence foods from the Aleutians. Science of the Total Environment 384, no. 1-3 (2007): 93-105.",NA,burger
