genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,biblio_id
scomberomorus cavalla,finfish,mackerel-king,US-Atlantic,89.3,NA,NA,NA,NA,karimi,"Adams DH, McMichael RH. 2007. Mercury in king mackerel, Scomberomorus cavalla, and Spanish mackerel, S-maculatus, from waters of the south-eastern USA: regional and historical trends. Mar Freshw Res 58(2):187-193.",143,karimi
scomberomorus cavalla,finfish,mackerel-king,US-Gulf,143.45,NA,NA,NA,NA,karimi,"Adams DH, McMichael RH. 2007. Mercury in king mackerel, Scomberomorus cavalla, and Spanish mackerel, S-maculatus, from waters of the south-eastern USA: regional and historical trends. Mar Freshw Res 58(2):187-193.",136,karimi
scomberomorus cavalla,finfish,mackerel-king,US-Gulf,91.2,NA,NA,NA,NA,karimi,"Cai Y, Rooker JR, Gill GA, Turner JP. 2007. Bioaccumulation of mercury in pelagic fishes from the northern Gulf of Mexico. Can J Fish Aquat Sci 64(3):458-469.",39,karimi
scomberomorus cavalla,finfish,mackerel-king,US-Louisiana,78.249125,NA,NA,NA,NA,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,8,karimi
scomberomorus cavalla,finfish,mackerel-king,US-Louisiana,125.4331061,NA,NA,NA,NA,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,33,karimi
scomberomorus cavalla,finfish,mackerel-king,US,104.5448268,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,205,karimi
scomberomorus cavalla,finfish,NA,US-Florida,52.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
scomberomorus cavalla,finfish,NA,US-Florida,70.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
scomberomorus cavalla,finfish,NA,US-Florida,161.5,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
scomberomorus cavalla,finfish,NA,US-Florida,197.6,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
scomberomorus cavalla,finfish,NA,US-Florida,148.2,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
scomberomorus cavalla,finfish,NA,US-Florida,27.55,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
