FD,region,n_species
1.607411384557865,Abenaki,29
2.9587037655773654,Bella Coola,40
3.0172439225647065,Central Salish,42
1.647237597921246,Cree,27
2.952485422127764,global,40
2.9149478525052066,Haida,36
3.2399439935576635,Inuit-Inupiaq,52
2.9587037655773654,Kwakiutl,40
3.467402662822869,Micmac,57
1.722128172028093,Montagnais-Naskapi,25
3.6852096953838447,Nootkan,49
3.0360582070966045,Tlingit,51
2.959161671937219,Tsimshian,41
2.8276427620372564,Wampanoag,35
2.7578186283355097,Yupik,38
