common_name,latin_name,calcium,iron,zinc,epa,dha,
Abalones,Haliotididae,35,2.13,1.42,NaN,NaN,
Alaska Blackfish,Dallia pectoralis,558,4.6,NaN,NaN,NaN,
Albacore,Thunnus alalunga,NaN,NaN,NaN,0.3,1,
Alewife,Alosa pseudoharengus,NaN,NaN,NaN,NaN,NaN,
American Eel,Anguilla rostrata,36.33333333,0.525,1.3075,0.7,1.1,
American Shad,Alosa sapidissima,47,0.97,0.37,1.086,1.321,
Anchovies,Engraulidae,1150,1.53,0.88,0.5,0.9,
Arctic Char,Salvelinus alpinus,52.28571429,1.29625,2.363333333,0.626666667,0.496666667,
Arctic Cisco,Coregonus autumnalis,30,1,0.4,0.3,0.3,
Arctic Cod,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,
Arctic Grayling,Thymallus arcticus,281.5,1,0.7,0.1,0.1,
Atlantic Cod,Gadus morhua,12.75,1.8625,1.27725,1.3094,1.1242,
Atlantic Croaker,Micropogonias undulatus,66.5,0.976,0.371,0.1,0.1,
Atlantic Halibut,Hippoglossus hippoglossus,15,0.5,0.5,0.281,0.41,
Atlantic Herring,Clupea harengus,35,1.15,0.7755,0.635,1.075,
Atlantic Jackknife Clam,Ensis directus,50,11,6.32,NaN,NaN,
Atlantic Mackerel,Scomber scombrus,9.666666667,0.953333333,0.3695,1.1,2.385,
Atlantic Salmon,Salmo salar,14.65,0.7875,0.703333333,0.377,1.0844,
Atlantic Sturgeon,Acipenser oxyrhyncus,13,0.7,0.42,0.194,0.093,
Atlantic Surf Clam,Spisula solidissima,41,NaN,NaN,0.05,0.05,
Atlantic Tomcod,Microgadus tomcod,372,NaN,NaN,NaN,NaN,
Bass,Micropterus spp.,14.8,0.283,0.419,NaN,NaN,
Black Katy Chiton,Katharina turnicata,121,16,NaN,NaN,NaN,
Black Sea Bass,Centropristes striata,60.8,1.168,0.2415,0.1,0.3,
Blue Crab,Callinectes sapidus,94.5,2.32,4025,0.2,0.2,
Blue Mussel,Mytilus edulis,56.5,9.3625,2.4875,0.16125,0.17925,
Bluefin Tuna,Thunnus spp.,9,1.5,0.08,0.4,1.2,
Bluefish,Pomatomus saltatrix,65.6,2.826,0.763,0.4,0.8,
Bowfin,Amia calva,NaN,NaN,NaN,NaN,NaN,
Broad Whitefish,Coregonus nasus,NaN,4.466666667,NaN,NaN,NaN,
Brook Trout,Salvelinus fontinalis,16.575,0.4815,0.55775,0.137333333,0.240666667,
Brown Bullhead,Ameiurus nebulosus,12,0.653,0.403,NaN,NaN,
Brown Trout,Salmo trutta,20,0.85,0.45,NaN,NaN,
Burbot,Lota lota,46.25,0.966666667,1.29875,0.465555556,0.6044,
Canary Rockfish,Sebastes pinniger,NaN,NaN,NaN,0.2,0.3,
Capelin,Mallotus villosus,NaN,NaN,NaN,0.6,0.5,
Catfish,Ictaluridae,14,0.3,0.51,0.13,0.234,
Channel Catfish,Ictalurus punctatus,46,0.3,0.83,0.1,0.2,
Chinook Salmon,Oncorhynchus tshawytscha,21.81818182,1.403333333,0.62,0.676,0.572333333,
Chum Salmon,Oncorhynchus keta,11.25,0.5125,0.92,0.3165,0.497,
Cockles,Cardiidae,116,7.8,NaN,NaN,NaN,
Cod and Relatives,Gadidae,40,0.3,0.6465,NaN,0.1,
Cod and Relatives,Gadidae,48,0.34,0.88,0.093,0.131,usda
