run,species_no,rdi_micro_tot_mean,rdi_micro_tot_std.error,dataset
1,1,2.5,0.37267799624996495,AB
1,2,2.888888888888889,0.1239999275913043,AB
1,3,3.1083333333333334,0.07275667722139863,AB
1,4,3.2857142857142856,0.05070861340659112,AB
1,5,3.4404761904761907,0.04056982484941868,AB
1,6,3.566666666666667,0.03865082445082299,AB
1,7,3.691666666666667,0.04395667801920045,AB
1,8,3.8,0.06030226891555272,AB
1,9,3.9,0.09999999999999999,AB
1,10,4,NA,AB
10,1,2.2,0.24944382578492943,AB
10,2,2.5555555555555554,0.09296222517045283,AB
10,3,2.8333333333333335,0.05716619504750294,AB
10,4,2.8666666666666667,0.03766561111682013,AB
10,5,2.8333333333333335,0.027259117887410568,AB
10,6,2.8666666666666667,0.023513770327249908,AB
10,7,2.933333333333333,0.02286647801900118,AB
10,8,2.977777777777778,0.022222222222222223,AB
10,9,3,0,AB
10,10,3,NA,AB
100,1,2,0.21081851067789192,AB
100,2,2.2222222222222223,0.07712569361139827,AB
100,3,2.2916666666666665,0.04331474498966922,AB
100,4,2.4,0.0338869496834943,AB
100,5,2.5,0.031559720154890156,AB
100,6,2.6,0.0338869496834943,AB
100,7,2.7,0.042008402520840295,AB
100,8,2.8,0.06030226891555272,AB
100,9,2.9,0.09999999999999999,AB
100,10,3,NA,AB
11,1,1.8,0.29059326290271154,AB
11,2,2.1333333333333333,0.07521014330903548,AB
11,3,2.2916666666666665,0.04331474498966922,AB
11,4,2.4,0.0338869496834943,AB
11,5,2.5,0.031559720154890156,AB
11,6,2.6,0.0338869496834943,AB
11,7,2.7,0.042008402520840295,AB
11,8,2.8,0.06030226891555272,AB
11,9,2.9,0.09999999999999999,AB
11,10,3,NA,AB
12,1,2,0.2981423969999719,AB
12,2,2.533333333333333,0.11720654306553767,AB
12,3,2.7,0.05869734364739604,AB
12,4,2.738095238095238,0.04231704434220403,AB
12,5,2.8015873015873014,0.03856648493429584,AB
12,6,2.9095238095238094,0.04250124370098071,AB
12,7,3.0166666666666666,0.052903555467842825,AB
12,8,3,0.0778498944161523,AB
12,9,2.9,0.09999999999999999,AB
12,10,3,NA,AB
13,1,2.3,0.21343747458109494,AB
13,2,2.2666666666666666,0.08040302522073697,AB
13,3,2.3583333333333334,0.04703511015509145,AB
13,4,2.414285714285714,0.03407373521784959,AB
13,5,2.5,0.031559720154890156,AB
13,6,2.6,0.0338869496834943,AB
13,7,2.7,0.042008402520840295,AB
13,8,2.8,0.06030226891555272,AB
13,9,2.9,0.09999999999999999,AB
13,10,3,NA,AB
14,1,2.4,0.26666666666666666,AB
14,2,3.0444444444444443,0.1308694914542364,AB
14,3,3.3,0.06438678640299826,AB
14,4,3.342857142857143,0.04660110431677154,AB
14,5,3.5555555555555554,0.03649019775317394,AB
14,6,3.7,0.03310470694987968,AB
14,7,3.691666666666667,0.04395667801920045,AB
14,8,3.7777777777777777,0.06267511942419625,AB
14,9,3.9,0.09999999999999999,AB
14,10,4,NA,AB
15,1,2.6,0.339934634239519,AB
15,2,3.0444444444444443,0.14197579661263918,AB
15,3,3.3583333333333334,0.07080552263404924,AB
15,4,3.5952380952380953,0.0428520793950674,AB
15,5,3.7222222222222223,0.031448201360386986,AB
15,6,3.8333333333333335,0.026647863044631685,AB
15,7,3.925,0.02414504490112435,AB
15,8,3.977777777777778,0.022222222222222223,AB
15,9,4,0,AB
15,10,4,NA,AB
16,1,2.4,0.1632993161855452,AB
16,2,2.6222222222222222,0.11585818956718923,AB
16,3,2.625,0.05924655316239629,AB
16,4,2.638095238095238,0.04119850586231023,AB
16,5,2.6746031746031744,0.037154670707582986,AB
16,6,2.7333333333333334,0.03850317018211697,AB
16,7,2.725,0.04422139994262002,AB
16,8,2.8,0.06030226891555272,AB
16,9,2.9,0.09999999999999999,AB
16,10,3,NA,AB
17,1,1.8,0.3265986323710904,AB
17,2,1.9777777777777779,0.10772621905369618,AB
17,3,2.216666666666667,0.05316763475669117,AB
17,4,2.376190476190476,0.03675147683997434,AB
17,5,2.496031746031746,0.03205577565084793,AB
17,6,2.6,0.0338869496834943,AB
17,7,2.7,0.042008402520840295,AB
17,8,2.8,0.06030226891555272,AB
17,9,2.9,0.09999999999999999,AB
17,10,3,NA,AB
