culture,number_of_targets,subgroup,number_of_species,sd,se
Abenaki,2.131,all,1,1.0502104274582031,1.0502104274582031
Abenaki,2.857,all,2,0.8644641683137008,0.6112684755074067
Abenaki,3.196,all,3,0.8026382922763081,0.463403434107628
Abenaki,3.427,all,4,0.7205485342363762,0.3602742671181881
Abenaki,3.592,all,5,0.6196127176873631,0.27709923129446606
Abenaki,3.734,all,6,0.5094148638423338,0.20796774730051434
Abenaki,3.812,all,7,0.42993120477681174,0.1624987212436898
Abenaki,3.887,all,8,0.3440194025768741,0.12162922621092624
Abenaki,3.931,all,9,0.26890762598206713,0.08963587532735572
Abenaki,3.961,all,10,0.1987926520737588,0.06286375626584727
Abenaki,3.975,all,11,0.15620307103062794,0.04709699797362055
Abenaki,3.982,all,12,0.13301764429463367,0.03839888637023832
Abenaki,3.99,all,13,0.0995485304256668,0.027609794680525285
Abenaki,3.993,all,14,0.08341437500789632,0.022293429457959067
Abenaki,3.997,all,15,0.054717401199198,0.014127972239482905
Abenaki,4,all,16,0,0
Abenaki,4,all,17,0,0
Abenaki,4,all,18,0,0
Abenaki,4,all,19,0,0
Abenaki,4,all,20,0,0
Abenaki,4,all,21,0,0
Abenaki,4,all,22,0,0
Abenaki,4,all,23,0,0
Abenaki,4,all,24,0,0
Abenaki,4,all,25,0,0
Abenaki,4,all,26,0,0
Abenaki,4,all,27,0,0
Abenaki,4,all,28,0,0
Abenaki,4,all,29,0,0
Ahtna,2.396,all,1,0.8341941499914033,0.8341941499914033
Ahtna,2.962,all,2,0.705019895501576,0.49852434898059544
Ahtna,3.227,all,3,0.6291795187916298,0.3632569645429467
Ahtna,3.406,all,4,0.5634549507116621,0.28172747535583104
Ahtna,3.53,all,5,0.5247622084100334,0.23468079400554928
Ahtna,3.656,all,6,0.475278749672116,0.19403173704744367
Ahtna,3.77,all,7,0.4210430824479572,0.15913932677162274
Ahtna,3.884,all,8,0.3203851535989872,0.11327325735066873
Ahtna,4,all,9,0,0
Aleut,2.218,all,1,0.9957245941862979,0.9957245941862979
Aleut,2.875,all,2,0.9392855035915636,0.6641751490598158
Aleut,3.24,all,3,0.8827112660316392,0.5096335870600823
Aleut,3.485,all,4,0.7735459736650262,0.3867729868325131
Aleut,3.64,all,5,0.6654643813479748,0.29760471865978294
Aleut,3.743,all,6,0.5685721363857662,0.23211860268487544
Aleut,3.83,all,7,0.46831540581035697,0.17700658555921395
Aleut,3.884,all,8,0.3777389133868613,0.13355087358694376
Aleut,3.932,all,9,0.2854075287329636,0.09513584291098787
Aleut,3.961,all,10,0.20862052277406104,0.06597160186210618
