genus_species,subgroup,calcium,zinc,iron,epa,dha
Salmo salar,Finfish,11.6,0.6,0.4,0.357981614,1.6143217366666667
Salvelinus alpinus,Finfish,20,4.175,0.94,0.78,0.69
Salvelinus fontinalis,Finfish,9.85,0.5903333333333334,0.259,0.144,0.384
Salvelinus namaycush,Finfish,4.55,0.45,0.25,0.10400000000000001,0.31066666666666665
Salvelinus naresi,Finfish,137.5,1.55,2.75,0.55,0.4
Sander lucioperca,Finfish,55.5201,0.7144136666666666,0.3193035,0.02312880616666667,0.0483198204
Sarda sarda,Finfish,47.815925,0.9820833333333333,6.1847666666666665,0.32097927333333337,0.15211859533333333
Sardinella spp,Finfish,398.52,1.56702,1.8327,0.004056171,0.032681149
Scomber scombrus,Finfish,15,0.62,0.8,1.1115083333333333,1.9854
Sebastes marinus,Finfish,13,0.31,0.2,0.1911751816,0.313808162
Sepia officinalis,Mollusc,13.4,1.77,0.14,0.1165378896,0.2144767114666666
Silurus glanis,Finfish,25.5,0.855,0.6,0.129915196,0.21424307999999997
Solea solea,Finfish,63.999925,1.892725,8.595225,0.040332699,0.10421587
Tenualosa ilisha,Finfish,96.71,1.7666666666666666,1.8666666666666667,0.815,0.182
Thaleichthys pacificus,Finfish,196.95,1.3,1.6,0.12,0.18
Theragra chalcogramma,Finfish,12.366666666666667,0.3887,0.19163333333333332,0.049189983666666666,0.10641627733333334
Thunnus alalunga,Finfish,18,0.5,0.6,0.29393,0.85918
Tinca tinca,Finfish,63,1.1,0.8500000000000001,0.037115923,0.07158984
Trachurus trachurus,Finfish,272.0359916666667,2.253058333333333,7.297541666666667,0.27820487816666667,0.5692811351666667
Xiphias gladius,Finfish,39,1.3,1.2,0.243166,1.32636
