replicate,res,sample_size
1,0.6872634196046626,26
2,0.5926686010546026,35
3,0.47707598912578186,38
4,0.5387538939587935,25
5,0.6663123602153684,32
6,0.569727195176693,47
7,0.602505869367869,35
8,0.5861004272597744,48
9,0.5948650698957919,23
10,0.4876716300010579,42
11,0.6853090323413101,45
12,0.5404382611215325,35
13,0.5780774449974238,30
14,0.5598440426609165,36
15,0.4676414910117524,26
16,0.5289543652325783,35
17,0.6088521170480904,38
18,0.5662997583148132,25
19,0.621721939854325,32
20,0.5798050669032969,47
21,0.6554154589724412,35
22,0.6050967627662903,48
23,0.6224634189273215,23
24,0.6192944104493959,42
25,0.5062142884859894,45
26,0.5326732639885717,35
27,0.6473578971278484,30
28,0.5317549872464814,36
29,0.6441394376646884,26
30,0.5374036266266773,35
31,0.5512845273078599,38
32,0.6885729460712953,25
33,0.5918557783734179,32
34,0.5294994707121187,47
35,0.6617294264133968,35
36,0.5546853148482751,48
37,0.6593922388832214,23
38,0.6504376451231204,42
39,0.5161851106746728,45
40,0.5999374304756169,35
41,0.6681009021229007,30
42,0.49547385878708566,36
43,0.6173424980775621,26
44,0.4773875741671788,35
45,0.5026152276751693,38
46,0.6742295067071249,25
47,0.4552176804156019,32
48,0.6270943307759629,47
49,0.6017018061220327,35
50,0.6251104673240512,48
51,0.5497368475493161,23
52,0.6044808899995266,42
53,0.6308383374242743,45
54,0.5860423655034823,35
55,0.6210079092666237,30
56,0.6112612139960024,36
57,0.48258875722016814,26
58,0.6538697943469393,35
59,0.5944395444839192,38
60,0.5612779890003553,25
61,0.5268278766393739,32
62,0.64846353302332,47
63,0.49459763001860646,35
64,0.5716125268026987,48
65,0.5604690411311772,23
66,0.6348323865505152,42
67,0.5386052128225747,45
68,0.5993262354071008,35
69,0.6290725665405948,30
70,0.5349439717478025,36
71,0.584617416096935,26
72,0.6036942852516035,35
73,0.5193844070525804,38
74,0.7152591388359804,25
75,0.5637559907168879,32
76,0.5535197769327381,47
77,0.5230310965375782,35
78,0.5356506560336727,48
79,0.5403497632222259,23
80,0.5233315062841912,42
81,0.6176217127880272,45
82,0.5747720095739481,35
83,0.6016057079140754,30
84,0.5530129424095798,36
85,0.5652093599969705,26
86,0.6536172350844671,35
87,0.5484912159527978,38
88,0.5531937875089054,25
89,0.7191893530205994,32
90,0.5780416038987818,47
91,0.5845288932700242,35
92,0.576404128135588,48
93,0.6833233792201671,23
94,0.5743244830793169,42
95,0.5620748948135189,45
96,0.5270041556039761,35
97,0.7060208383888347,30
98,0.6488617393567696,36
99,0.7131726404820283,26
100,0.5337622395140617,35
101,0.5582077336975384,38
102,0.536168734988548,25
103,0.6528499629174285,32
104,0.532297772598904,47
105,0.6230868879509309,35
106,0.5235270274696173,48
107,0.6159714404098747,23
108,0.6667088362746236,42
109,0.4516901379902446,45
110,0.5939765590680355,35
111,0.4157996785531144,30
112,0.5573435303634202,36
113,0.48705137046125196,26
114,0.5639646662073188,35
115,0.5743666671828033,38
116,0.6399095181403919,25
117,0.6646515740461696,32
118,0.5846650534340074,47
119,0.6136876019301353,35
120,0.4981891289825675,48
121,0.5903089662153476,23
122,0.5917888336089674,42
123,0.584453526500246,45
124,0.5490557771172835,35
125,0.6266919725107056,30
126,0.5887000177696274,36
127,0.6162523536620146,26
128,0.527822687561523,35
129,0.6036427567214967,38
130,0.5909862451645161,25
131,0.5072942828514666,32
132,0.5818562110695468,47
133,0.5795939352673655,35
134,0.5899296497090498,48
135,0.5217398073899812,23
136,0.6100097480833135,42
137,0.5336556355713323,45
138,0.5860107799711145,35
139,0.6930076184766698,30
140,0.5212114462990731,36
141,0.6541505840831263,26
142,0.5173351998760799,35
143,0.6318111152333552,38
144,0.5135317567206,25
145,0.702949751513241,32
146,0.5581370782118169,47
147,0.5691609733816767,35
148,0.6132665487018898,48
149,0.6384014568320923,23
150,0.5763694977319075,42
151,0.6393571241646304,45
152,0.4922465183855541,35
153,0.5434353161845606,30
154,0.5352436066324117,36
155,0.5186181412331308,26
156,0.5568162740600122,35
157,0.5333104029893485,38
158,0.6043930997801936,25
159,0.6593513861866188,32
160,0.5253584418741557,47
161,0.6097160979229801,35
162,0.5250302024140998,48
163,0.6086710442635406,23
164,0.6158341605888105,42
165,0.5278353417097166,45
166,0.50659577092119,35
167,0.5861864063885607,30
168,0.605966309715128,36
169,0.5359737439291857,26
170,0.5953218901232843,35
171,0.672246742577114,38
172,0.6910766343334238,25
173,0.4663985082722546,32
174,0.5730983038203985,47
175,0.5500206361703449,35
176,0.5200695039591097,48
177,0.6556439297405328,23
178,0.5904332172539426,42
179,0.5830382099800381,45
180,0.5610015377880037,35
181,0.5794144589879293,30
182,0.5443667685202672,36
183,0.5278484137836442,26
184,0.6877733369383364,35
185,0.49602884781295975,38
186,0.6455907412804592,25
187,0.6211549533928039,32
188,0.5526645015320067,47
189,0.5566352505679353,35
190,0.5221424085833476,48
191,0.5673517869635414,23
192,0.6385233474073432,42
193,0.5238649190371609,45
194,0.6514277336658663,35
195,0.6590477434668546,30
196,0.5130661194865659,36
197,0.7017126289813085,26
198,0.5909799440866692,35
199,0.711808186115317,38
200,0.6923980571684019,25
201,0.5354799755061721,32
202,0.6284098989434228,47
203,0.5968221156088135,35
204,0.552718356253549,48
205,0.672276095346235,23
206,0.5676749617168547,42
207,0.5537292145906033,45
208,0.5946988655480818,35
209,0.6638030920626108,30
210,0.511395837048713,36
211,0.4886410243846264,26
212,0.6965040213906638,35
213,0.546012441146043,38
214,0.5315079428171597,25
215,0.5797814769450171,32
216,0.5115843267023161,47
217,0.48665277016220415,35
218,0.5759299698847152,48
219,0.6253573035025591,23
220,0.5397424079476565,42
221,0.5950788222099899,45
222,0.6174921105501087,35
223,0.6592601274335266,30
224,0.5993968109209342,36
225,0.5665977580792187,26
226,0.6399702354377272,35
227,0.5599970266562725,38
228,0.6525013606465281,25
229,0.6205477764541187,32
230,0.5886852145219496,47
231,0.6739546198291989,35
232,0.5649173367112014,48
233,0.5997399064091171,23
234,0.5934817799491606,42
235,0.5322848279810337,45
236,0.6507555887622847,35
237,0.6179168708518463,30
238,0.5783406059207918,36
239,0.5588002522962855,26
240,0.5294869224806833,35
241,0.5064748263739468,38
242,0.6915209855284145,25
243,0.5450254497655005,32
244,0.5583114392569479,47
245,0.5036807624037285,35
246,0.6443658776528264,48
247,0.6224943051636003,23
248,0.6201915466252447,42
249,0.5382293200023414,45
250,0.5767876500818058,35
251,0.5422283532279742,30
252,0.5628643759010656,36
253,0.5014485228975584,26
254,0.538297916676574,35
255,0.48987220598794323,38
256,0.45171562185724917,25
257,0.539471329437858,32
258,0.5284889577733691,47
259,0.6628644467016785,35
260,0.5071627736348483,48
261,0.4637226017634919,23
262,0.5685296669629448,42
263,0.6183062331206167,45
264,0.61022426180791,35
265,0.7090054504739385,30
266,0.6298037331338324,36
267,0.6301233663174662,26
268,0.510998486017472,35
269,0.6164817214995378,38
270,0.6264385545049542,25
271,0.5708999132552038,32
272,0.5363140019142383,47
273,0.5581312813362684,35
274,0.5865260472985537,48
275,0.6026969212945283,23
276,0.5225002629323655,42
277,0.575957387423733,45
278,0.5981742624234694,35
279,0.6708168775369132,30
280,0.5336880771082212,36
281,0.6424114949636572,26
282,0.673223239657572,35
283,0.5316924958874728,38
284,0.5787087244408458,25
285,0.5263450773166474,32
286,0.5359666962763501,47
287,0.6286009163647576,35
288,0.534446071368838,48
289,0.5727047287687442,23
290,0.611638475235063,42
291,0.5741008850248843,45
292,0.6016154246823687,35
293,0.6521943144079034,30
294,0.5569019168820073,36
295,0.6777975097382086,26
296,0.47581392932175826,35
297,0.5991858307275725,38
298,0.7685594176172645,25
299,0.6743780059222433,32
300,0.5594266460593562,47
301,0.5830311684237502,35
302,0.5354971301908047,48
303,0.5593711194333836,23
304,0.6026427581781789,42
305,0.5525345424003499,45
306,0.551010706170801,35
307,0.5673269156292794,30
308,0.6573273526437672,36
309,0.6255097160119099,26
310,0.5158865294045523,35
311,0.5756515854535686,38
312,0.5516407915908811,25
313,0.609528166569487,32
314,0.5174254366943345,47
315,0.5847655259710692,35
316,0.6047583899584411,48
317,0.5699581722997892,23
318,0.5416295692789834,42
319,0.543062951375842,45
320,0.4979280463289876,35
321,0.5716177518931247,30
322,0.6077073489672861,36
323,0.5455789006199215,26
324,0.4941079729416776,35
325,0.5963958148277764,38
326,0.5632572511150037,25
327,0.5309120186671349,32
328,0.5513491809250802,47
329,0.49026613346366205,35
330,0.6437300776630175,48
331,0.6677193240730264,23
332,0.6333758593646013,42
333,0.6525409713015382,45
