species_name,subgroup,calcium,zinc,iron,epa,dha,protein,fat
Abramis brama,finfish,26.848333333333333,0.5675133333333333,0.3416666666666667,0.09322,0.12087,19.5,3.18
Anabas testudineus,finfish,85,0.6,0.87,0.013686809749999999,0.09482440675,17.564999999999998,4.712
Anarhichas lupus,finfish,6.8,0.78,0.15,0.16104126866666665,0.14857718,16.2,1.47
Anguilla rostrata,finfish,34.166666666666664,1.31125,0.972,0.483427104,0.851181504,18.127027027027026,16.818181818181817
Anoplopoma fimbria,finfish,35,0.3,1.2,0.518,0.5544,13.021621621621621,12.962162162162162
Aphanopus carbo,finfish,12.95,0.385,0.1,0.045188149999999996,0.13160337500000002,16.233333333333334,4
Boreogadus saida,finfish,23.05,0.48375,0.55625,0.16066666666666668,0.312875,24.8,1
Botia dario,finfish,1300,4,2.5,0.096,0.12,14.9,10.6
Callinectes sapidus,crustacean,75.30333333333333,1813.6345,1.4224999999999999,0.2,0.2,13.921489361702127,2.5117857142857143
Cancer magister,crustacean,52,3.42,0.3825,0.2,0.1,16.2,1.075
Carassius carassius,finfish,58,0.55,0.8500000000000001,0.07539,0.05026,18,1.4333333333333333
Carcinus maenus,crustacean,91.55,4.296,0.286,154,115,NaN,NaN
Catla catla,finfish,115.4,1.55,0.865,0.0374498,0.0445158,15.45,0.9666666666666667
Catostomus catostomus,finfish,63.1,0.5,0.3,0.075,0.212,17.7,1.2
Catostomus commersonii,finfish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999,17.12503184713376,2.2366666666666664
Centropristes striata,finfish,48.1,0.29433333333333334,0.812,0.1,0.3,17.285714285714285,3.1975
Chamelea gallina,mollusc,222.8145888888889,1.21735,8.189175,0.1436040256,0.129164672,9.228461538461538,1.5653846153846154
Channa striata,finfish,89.65,0.7,0.4,0.005620824,0.08419735175000001,18.466666666666665,2.2616666666666667
Chondrostoma nasus,finfish,55,0.5,0.95,0.064194,0.096291,18,1.1
Cipangopaludina chinensis,mollusc,1200,8.1,4.3,0.00334248,0.003676728,13,0.4
Clarias batrachus,finfish,179,0.8200000000000001,0.8999999999999999,0.05312,0.03984,16.79,4.066666666666666
Clupea harengus,finfish,41.25,0.83525,1.1,0.7733333333333333,1.1466666666666667,17.866037735849055,11.277456647398843
Clupea pallasii,finfish,51,0.5,1.8800000000000001,1,0.7,14.242857142857144,6.881111111111111
