seanuts_id2,food_name_clean,species_name
311,Climbing_perch_wild_edible_portion_raw,Anabas testudineus
323,Japanese_eel_wild_dorsal_muscle_raw,Anguilla japonica
324,American_eel_wild_skinless_muscle_tissue_raw,Anguilla rostrata
342,Red_shrimp_wild_edible_flesh_raw,Aristeus antennatus
343,Red_shrimp_wild_edible_flesh_raw,Aristeus antennatus
418,Piraputanga_wild_fillet_raw,Brycon microlepis
383,Piracanjuba_wild_fillet_raw,Brycon orbignyanus
410,Spotted_snakehead_wild_edible_portion_raw,Channa punctata
432,Philippine_catfish_wild_edible_portion_raw,Clarias batrachus
522,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax
523,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax
524,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax
525,Sea_bass_wild_skinless_fillet_raw,Dicentrarchus labrax
541,Musky_octopus_wild_arm_flesh_raw,Eledone moschata
542,Musky_octopus_wild_arm_flesh_raw,Eledone moschata
543,Musky_octopus_wild_arm_flesh_raw,Eledone moschata
678,Squid_muscle_wild_raw,Loligo plei
681,European_squid_wild_mantle_flesh_raw,Loligo vulgaris
682,European_squid_wild_mantle_flesh_raw,Loligo vulgaris
683,European_squid_wild_mantle_flesh_raw,Loligo vulgaris
699,Surf_clam_wild_male_meat_raw,Mactra violacea
700,Surf_clam_wild_male_meat_raw,Mactra violacea
701,Surf_clam_wild_male_meat_raw,Mactra violacea
702,Surf_clam_wild_male_meat_raw,Mactra violacea
703,Surf_clam_wild_female_meat_raw,Mactra violacea
704,Surf_clam_wild_female_meat_raw,Mactra violacea
705,Surf_clam_wild_female_meat_raw,Mactra violacea
706,Surf_clam_wild_female_meat_raw,Mactra violacea
707,Surf_clam_wild_female_meat_raw,Mactra violacea
708,Surf_clam_wild_female_meat_raw,Mactra violacea
790,Striped_dwarf_catfish_wild_edible_portion_raw,Mystus vittatus
805,Norway_lobster_wild_edible_flesh_raw,Nephrops norvegicus
806,Norway_lobster_wild_edible_flesh_raw,Nephrops norvegicus
818,Common_octopus_wild_arm_flesh_raw,Octopus vulgaris
819,Common_octopus_wild_arm_flesh_raw,Octopus vulgaris
820,Common_octopus_wild_arm_flesh_raw,Octopus vulgaris
891,Pink_shrimp_wild_edible_flesh_raw,Parapenaeus longirostris
892,Pink_shrimp_wild_edible_flesh_raw,Parapenaeus longirostris
264,Longtail_southern_cod_wild_muscle_frozen,Patagonotothen ramsayi
896,Longtail_southern_cod_wild_muscle_frozen,Patagonotothen ramsayi
897,Longtail_southern_cod_wild_muscle_frozen,Patagonotothen ramsayi
898,Longtail_southern_cod_wild_muscle_frozen,Patagonotothen ramsayi
899,Longtail_southern_cod_wild_muscle_frozen,Patagonotothen ramsayi
937,Pacu_wild_muscle_tissue_raw,Piaractus mesopotamicus
60,Crab_wild_male_meat_raw,Portunus pelagicus
61,Crab_wild_female_meat_raw,Portunus pelagicus
976,Pintado_wild_muscle_tissue_raw,Pseudoplatystoma corruscans
68,Zander_wild_fillet_frozen,Sander lucioperca
73,Zander_wild_fillet_frozen,Sander lucioperca
1102,Common_cuttlefish_wild_mantle_flesh_raw,Sepia officinalis
1103,Common_cuttlefish_wild_mantle_flesh_raw,Sepia officinalis
1106,Common_cuttlefish_wild_mantle_flesh_raw,Sepia officinalis
1155,Eastern_Pacific_fighting_conch_wild_male_edible_muslce_raw,Strombus gracilior
1156,Eastern_Pacific_fighting_conch_wild_female_edible_muslce_raw,Strombus gracilior
1157,Eastern_Pacific_fighting_conch_wild_male_edible_muslce_raw,Strombus gracilior
1158,Eastern_Pacific_fighting_conch_wild_female_edible_muslce_raw,Strombus gracilior
290,Manduba_wild_skinless_fillet_raw,Ageneiosus brevifilis
291,Giant_grenadier_wild_fillets_raw,Albatrossia pectoralis
292,African_threadfish_wild_fillet_raw,Alectis alexandrina
295,Shad_marine_water_raw_wild_edible_part_raw,Alosa alosa
312,Climbing_perch_wild_boneless_skinless_fillet_raw,Anabas testudineus
313,Climbing_perch_wild_boneless_skinless_fillet_raw,Anabas testudineus
314,Climbing_perch_wild_boneless_skinless_fillet_raw,Anabas testudineus
1964,Koi,Anabas testudineus
317,Wolf-fish_wild_fillet_raw,Anarhichas lupus
318,Wolf-fish_wild_fillet_raw,Anarhichas lupus
319,Wolf-fish_wild_fillet_raw,Anarhichas lupus
325,Sablefish_wild_boneless_skinless_fillet_raw,Anoplopoma fimbria
218,Black_scabbardfish_wild_skinless_fillets_raw,Aphanopus carbo
234,Black_scabbardfish_wild_skinless_fillets_raw,Aphanopus carbo
327,silver_rag_wild_fillet_frozen,Ariomma bondi
328,silver_rag_wild_fillet_frozen,Ariomma bondi
329,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea
330,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea
331,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea
332,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea
333,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea
334,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea
335,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea
336,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea
337,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea
338,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea
344,Shrimp_wild_edible_flesh_raw,Aristeus antennatus
352,East_Atlantic_red_gurnard_wild_fillet_raw,Aspitrigla cuculus
353,Arrow-tooth_flounder_wild_fillets_raw,Atheresthes stomias
354,Big-scale_sand_smelt_wild_whole_raw,Atherina boyeri
356,Smelt_wild_whole_raw,Atherina lagunae
357,silverside_wild_whole_raw,Atherina lagunae
355,Smelt_wild_whole_raw,Atherina sp.
364,Catfish_A_wild_muscle_fillet_raw,Bagrus docmak
365,Semutundu_wild_skinless_boneless_dorsal_muscle_raw,Bagrus docmak
366,Semutundu_wild_skinless_boneless_dorsal_muscle_raw,Bagrus docmak
368,Grey_triggerfish_wild_fillet_raw,Balistes capriscus
370,Garfish_wild_edible_part_raw,Belone belone
