species_name,part,nutrient,concentration,reference,reksten_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
Amblygaster sirm,whole,protein,21,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten1,0.61,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.89,tropical,fusiform / normal,reef-associated,75,27,marine,reksten
Auxis thazard,whole,protein,20,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten2,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,marine,reksten
Decapterus macrosoma,whole,protein,18,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten3,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Decapterus macrosoma,whole,protein,19,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten4,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Encrasicholina devisi,whole,protein,19,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten5,0.29,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.65,tropical,elongated,reef-associated,13,8,brackmarine,reksten
Equulites elongatus,whole,protein,18,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten6,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.91,tropical,fusiform / normal,demersal,100,12,marine,reksten
Leiognathus dussumieri,whole,protein,17,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Photopectoralis bindus,whole,protein,19,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten8,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Photopectoralis bindus,whole,protein,19,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten9,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Rastrelliger kanagurta,whole,protein,19,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten10,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,marine,reksten
Sillago ingenuua,whole,protein,20,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten11,NA,NA,NA,NA,tropical,elongated,demersal,50,20,marine,reksten
