"run","species_no","sample_id","min_percentage","grams_required"
"1",1,"1",0.0411111,2432.43
"1",1,"10",0.0355556,2812.5
"1",1,"2",0.0483333,2068.97
"1",1,"3",0.0866667,1153.85
"1",1,"4",0.290909,343.75
"1",1,"5",0.0844444,1184.21
"1",1,"6",0.116667,857.143
"1",1,"7",0.0266667,3750
"1",1,"8",0.0233333,4285.71
"1",1,"9",0.0133333,7500
"1",2,"1",0.0469444,2130.18
"1",2,"10",0.0863636,1157.89
"1",2,"11",0.172727,578.947
"1",2,"12",0.115833,863.309
"1",2,"13",0.0825,1212.12
"1",2,"14",0.0936111,1068.25
"1",2,"15",0.118611,843.091
"1",2,"16",0.135278,739.22
"1",2,"17",0.0604167,1655.17
"1",2,"18",0.204545,488.889
"1",2,"19",0.0855556,1168.83
"1",2,"2",0.0638889,1565.22
"1",2,"20",0.133333,750
"1",2,"21",0.0566667,1764.71
"1",2,"22",0.055,1818.18
"1",2,"23",0.05,2000
"1",2,"24",0.0611111,1636.36
"1",2,"25",0.25,400
"1",2,"26",0.216667,461.538
"1",2,"27",0.227778,439.024
"1",2,"28",0.252778,395.604
"1",2,"29",0.269444,371.134
"1",2,"3",0.181111,552.147
"1",2,"30",0.195455,511.628
"1",2,"31",0.15,666.667
"1",2,"32",0.0555556,1800
"1",2,"33",0.0538889,1855.67
"1",2,"34",0.0488889,2045.45
"1",2,"35",0.06,1666.67
"1",2,"36",0.127778,782.609
"1",2,"37",0.152778,654.545
"1",2,"38",0.169444,590.164
"1",2,"39",0.119444,837.209
"1",2,"4",0.0627778,1592.92
"1",2,"40",0.025,4000
"1",2,"41",0.02,5000
"1",2,"42",0.0311111,3214.29
"1",2,"43",0.0183333,5454.55
"1",2,"44",0.0294444,3396.23
"1",2,"45",0.0244444,4090.91
"1",2,"5",0.0811111,1232.88
"1",2,"6",0.0338889,2950.82
"1",2,"7",0.0322222,3103.45
"1",2,"8",0.0272222,3673.47
"1",2,"9",0.0383333,2608.7
"1",3,"1",0.0812963,1230.07
"1",3,"10",0.0707407,1413.61
"1",3,"100",0.22037,453.782
"1",3,"101",0.146296,683.544
"1",3,"102",0.16037,623.557
"1",3,"103",0.157037,636.792
"1",3,"104",0.140741,710.526
"1",3,"105",0.0448148,2231.4
"1",3,"106",0.0414815,2410.71
"1",3,"107",0.0488889,2045.45
"1",3,"108",0.0403704,2477.06
"1",3,"109",0.0477778,2093.02
"1",3,"11",0.104074,960.854
"1",3,"110",0.0444444,2250
"1",3,"111",0.141111,708.661
"1",3,"112",0.137778,725.806
"1",3,"113",0.125926,794.118
"1",3,"114",0.136667,731.707
"1",3,"115",0.142593,701.299
"1",3,"116",0.140741,710.526
"1",3,"117",0.0211111,4736.84
"1",3,"118",0.0285185,3506.49
"1",3,"119",0.0251852,3970.59
"1",3,"12",0.0514815,1942.45
"1",3,"120",0.0240741,4153.85
"1",3,"13",0.0503704,1985.29
"1",3,"14",0.047037,2125.98
"1",3,"15",0.0544444,1836.73
"1",3,"16",0.181852,549.898
"1",3,"17",0.15963,626.45
"1",3,"18",0.167037,598.67
"1",3,"19",0.183704,544.355
"1",3,"2",0.136852,730.717
"1",3,"20",0.194815,513.308
"1",3,"21",0.161481,619.266
"1",3,"22",0.115185,868.167
"1",3,"23",0.0507407,1970.8
"1",3,"24",0.0496296,2014.93
"1",3,"25",0.0462963,2160
"1",3,"26",0.0537037,1862.07
"1",3,"27",0.10037,996.31
"1",3,"28",0.117037,854.43
"1",3,"29",0.128148,780.347
"1",3,"3",0.0924074,1082.16
"1",3,"30",0.0948148,1054.69
"1",3,"31",0.0303704,3292.68
"1",3,"32",0.027037,3698.63
"1",3,"33",0.0344444,2903.23
"1",3,"34",0.0259259,3857.14
"1",3,"35",0.0333333,3000
"1",3,"36",0.03,3333.33
"1",3,"37",0.154545,647.059
"1",3,"38",0.127222,786.026
"1",3,"39",0.105,952.381
"1",3,"4",0.0701852,1424.8
"1",3,"40",0.112407,889.621
"1",3,"41",0.129074,774.749
"1",3,"42",0.140185,713.342
"1",3,"43",0.0909091,1100
"1",3,"44",0.182778,547.112
"1",3,"45",0.160556,622.837
"1",3,"46",0.167963,595.369
"1",3,"47",0.18463,541.625
"1",3,"48",0.195741,510.88
"1",3,"49",0.148485,673.469
"1",3,"5",0.0775926,1288.78
"1",3,"50",0.116111,861.244
"1",3,"51",0.123519,809.595
"1",3,"52",0.140185,713.342
"1",3,"53",0.141852,704.961
"1",3,"54",0.117963,847.724
"1",3,"55",0.101296,987.203
"1",3,"56",0.117963,847.724
"1",3,"57",0.129074,774.749
"1",3,"58",0.0957407,1044.49
"1",3,"59",0.12537,797.637
"1",3,"6",0.0942593,1060.9
"1",3,"60",0.122593,815.71
"1",3,"61",0.103148,969.479
"1",3,"62",0.121481,823.171
"1",3,"63",0.119815,834.621
"1",3,"64",0.125556,796.46
"1",3,"65",0.212121,471.429
"1",3,"66",0.194444,514.286
"1",3,"67",0.201852,495.413
"1",3,"68",0.218519,457.627
"1",3,"69",0.22963,435.484
"1",3,"7",0.10537,949.033
"1",3,"70",0.169697,589.286
"1",3,"71",0.15,666.667
"1",3,"72",0.0659259,1516.85
"1",3,"73",0.0648148,1542.86
"1",3,"74",0.0614815,1626.51
"1",3,"75",0.0688889,1451.61
"1",3,"76",0.135185,739.726
"1",3,"77",0.151852,658.537
"1",3,"78",0.157778,633.803
"1",3,"79",0.12963,771.429
"1",3,"8",0.0708333,1411.76
"1",3,"80",0.0455556,2195.12
"1",3,"81",0.0422222,2368.42
"1",3,"82",0.0496296,2014.93
"1",3,"83",0.0411111,2432.43
"1",3,"84",0.0485185,2061.07
"1",3,"85",0.0451852,2213.11
"1",3,"86",0.205556,486.486
"1",3,"87",0.212963,469.565
"1",3,"88",0.22963,435.484
"1",3,"89",0.240741,415.385
"1",3,"9",0.170741,585.683
"1",3,"90",0.206061,485.294
"1",3,"91",0.190741,524.272
"1",3,"92",0.207407,482.143
"1",3,"93",0.218519,457.627
"1",3,"94",0.185185,540
"1",3,"95",0.214815,465.517
"1",3,"96",0.225926,442.623
"1",3,"97",0.192593,519.231
"1",3,"98",0.242593,412.214
"1",3,"99",0.209259,477.876
"1",4,"1",0.140139,713.578
"1",4,"10",0.137361,728.008
"1",4,"100",0.116111,861.244
"1",4,"101",0.113611,880.196
"1",4,"102",0.114861,870.617
"1",4,"103",0.112778,886.7
"1",4,"104",0.118333,845.07
"1",4,"105",0.115833,863.309
"1",4,"106",0.16625,601.504
"1",4,"107",0.171806,582.053
"1",4,"108",0.184306,542.577
"1",4,"109",0.192639,519.106
"1",4,"11",0.149861,667.285
"1",4,"110",0.167639,596.52
"1",4,"111",0.155139,644.584
"1",4,"112",0.167639,596.52
"1",4,"113",0.175972,568.272
"1",4,"114",0.150972,662.374
"1",4,"115",0.173194,577.386
"1",4,"116",0.181528,550.88
"1",4,"117",0.156528,638.864
"1",4,"118",0.194028,515.39
"1",4,"119",0.169028,591.619
"1",4,"12",0.158194,632.133
"1",4,"120",0.177361,563.821
"1",4,"121",0.121806,820.981
"1",4,"122",0.134306,744.571
"1",4,"123",0.142639,701.071
"1",4,"124",0.117639,850.059
"1",4,"125",0.115556,865.385
"1",4,"126",0.113056,884.521
"1",4,"127",0.118611,843.091
"1",4,"128",0.112222,891.089
"1",4,"129",0.117778,849.057
"1",4,"13",0.133194,750.782
"1",4,"130",0.115278,867.47
"1",4,"131",0.123194,811.725
"1",4,"132",0.131528,760.296
"1",4,"133",0.106528,938.722
"1",4,"134",0.144028,694.311
"1",4,"135",0.119028,840.14
"1",4,"136",0.127361,785.169
"1",4,"137",0.0977778,1022.73
"1",4,"138",0.103333,967.742
"1",4,"139",0.100833,991.736
"1",4,"14",0.0984722,1015.51
"1",4,"140",0.1,1000
"1",4,"141",0.191667,521.739
"1",4,"142",0.197222,507.042
"1",4,"143",0.209722,476.821
"1",4,"144",0.218056,458.599
"1",4,"145",0.184091,543.21
"1",4,"146",0.180556,553.846
"1",4,"147",0.193056,517.986
"1",4,"148",0.201389,496.552
"1",4,"149",0.176389,566.929
"1",4,"15",0.104028,961.282
"1",4,"150",0.198611,503.497
"1",4,"151",0.206944,483.221
"1",4,"152",0.181944,549.618
"1",4,"153",0.219444,455.696
"1",4,"154",0.194444,514.286
"1",4,"155",0.197727,505.747
"1",4,"156",0.142778,700.389
"1",4,"157",0.141944,704.501
"1",4,"158",0.139444,717.131
"1",4,"159",0.143056,699.029
"1",4,"16",0.116528,858.164
"1",4,"160",0.0552778,1809.05
"1",4,"161",0.0527778,1894.74
"1",4,"162",0.0583333,1714.29
"1",4,"163",0.0519444,1925.13
"1",4,"164",0.0575,1739.13
"1",4,"165",0.055,1818.18
"1",4,"166",0.1275,784.314
"1",4,"167",0.125,800
"1",4,"168",0.130556,765.957
"1",4,"169",0.124167,805.369
"1",4,"17",0.116667,857.143
"1",4,"170",0.129722,770.878
"1",4,"171",0.127222,786.026
"1",4,"172",0.0375,2666.67
"1",4,"173",0.0430556,2322.58
"1",4,"174",0.0405556,2465.75
"1",4,"175",0.0397222,2517.48
"1",4,"176",0.188889,529.412
"1",4,"177",0.201389,496.552
"1",4,"178",0.209722,476.821
"1",4,"179",0.184722,541.353
"1",4,"18",0.0998611,1001.39
"1",4,"180",0.206944,483.221
"1",4,"181",0.215278,464.516
"1",4,"182",0.190278,525.547
"1",4,"183",0.227778,439.024
"1",4,"184",0.202778,493.151
"1",4,"185",0.211111,473.684
"1",4,"186",0.190278,525.547
"1",4,"187",0.198611,503.497
"1",4,"188",0.173611,576
"1",4,"189",0.211111,473.684
"1",4,"19",0.0873611,1144.67
"1",4,"190",0.186111,537.313
"1",4,"191",0.194444,514.286
"1",4,"192",0.216667,461.538
"1",4,"193",0.191667,521.739
"1",4,"194",0.2,500
"1",4,"195",0.2125,470.588
"1",4,"196",0.126944,787.746
"1",4,"197",0.124444,803.571
"1",4,"198",0.13,769.231
"1",4,"199",0.123611,808.989
"1",4,"2",0.106806,936.281
"1",4,"20",0.0998611,1001.39
"1",4,"200",0.129167,774.194
"1",4,"201",0.126667,789.474
"1",4,"202",0.0369444,2706.77
"1",4,"203",0.0425,2352.94
"1",4,"204",0.04,2500
"1",4,"205",0.0391667,2553.19
"1",4,"206",0.109167,916.031
"1",4,"207",0.114722,871.671
"1",4,"208",0.112222,891.089
"1",4,"209",0.111389,897.756
"1",4,"21",0.108194,924.262
"1",4,"210",0.0247222,4044.94
"1",4,"22",0.0831944,1202
"1",4,"23",0.104722,954.907
"1",4,"24",0.102222,978.261
"1",4,"25",0.08875,1126.76
"1",4,"26",0.101389,986.301
"1",4,"27",0.10125,987.654
"1",4,"28",0.104444,957.447
"1",4,"29",0.173889,575.08
"1",4,"3",0.0901389,1109.4
"1",4,"30",0.157222,636.042
"1",4,"31",0.162778,614.334
"1",4,"32",0.175278,570.523
"1",4,"33",0.183611,544.629
"1",4,"34",0.154545,647.059
"1",4,"35",0.123889,807.175
"1",4,"36",0.0597222,1674.42
"1",4,"37",0.0588889,1698.11
"1",4,"38",0.0563889,1773.4
"1",4,"39",0.0619444,1614.35
"1",4,"4",0.0956944,1044.99
"1",4,"40",0.112778,886.7
"1",4,"41",0.125278,798.226
"1",4,"42",0.128611,777.538
"1",4,"43",0.108611,920.716
