latin_name,calcium,zinc,iron,epa,dha,culture
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Inuit-Inupiaq
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Yupik
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Bella Coola
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Central Salish
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Tsimshian
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Haida
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Tlingit
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Kwakiutl
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Nootkan
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Cree
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Montagnais-Naskapi
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Abenaki
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Micmac
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Wampanoag
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Yupik
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Bella Coola
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Tsimshian
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Tlingit
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Heiltsuk
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Kwakiutl
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Nootkan
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Micmac
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Wampanoag
Cancer magister,52,3.23,0.365,0.2,0.1,Yupik
Cancer magister,52,3.23,0.365,0.2,0.1,Bella Coola
Cancer magister,52,3.23,0.365,0.2,0.1,Tsimshian
Cancer magister,52,3.23,0.365,0.2,0.1,Tlingit
Cancer magister,52,3.23,0.365,0.2,0.1,Heiltsuk
Cancer magister,52,3.23,0.365,0.2,0.1,Kwakiutl
Cancer magister,52,3.23,0.365,0.2,0.1,Nootkan
Cancer magister,52,3.23,0.365,0.2,0.1,Micmac
Cancer magister,52,3.23,0.365,0.2,0.1,Wampanoag
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Inuit-Inupiaq
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Central Salish
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Interior Salish
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Tlingit
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Cree
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Montagnais-Naskapi
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Ojibwa-Algonquin
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Ahtna
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Chilcotin
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Chipewyan
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Dogrib
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Gwich'in
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Han
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Ingalik
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Koyukon
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Sekani
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Slavey-Hare
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Tahltan-Kaska-Tagish
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Tanana
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Tutchone
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Metis
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Micmac
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Powhatan
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Huron
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212,Onondaga
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Inuit-Inupiaq
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Central Salish
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Interior Salish
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Tlingit
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Cree
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Montagnais-Naskapi
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Ojibwa-Algonquin
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Ahtna
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Chilcotin
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Chipewyan
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Dogrib
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Gwich'in
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Han
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Ingalik
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Koyukon
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Sekani
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Slavey-Hare
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Tahltan-Kaska-Tagish
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Tanana
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Tutchone
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Metis
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Micmac
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Powhatan
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Huron
Catostomus commersonii,19.6,0.3,0.2,0.083,0.179,Onondaga
Centropristes striata,25.7,0.2415,0.136,0.1,0.3,Inuit-Inupiaq
Centropristes striata,25.7,0.2415,0.136,0.1,0.3,Yupik
Centropristes striata,25.7,0.2415,0.136,0.1,0.3,Bella Coola
Centropristes striata,25.7,0.2415,0.136,0.1,0.3,Central Salish
Centropristes striata,25.7,0.2415,0.136,0.1,0.3,Tsimshian
Centropristes striata,25.7,0.2415,0.136,0.1,0.3,Haida
