fdis,targets,replicate
2.6023759093789303,3,1
2.629930105214962,5,2
2.6691924282880315,5,3
2.80578395767788,5,4
2.6702694480565645,5,5
2.612791766091087,5,6
2.6672737207219606,4,7
2.68888182944088,5,8
2.636858485867301,4,9
2.69090539886662,5,10
2.6458206155656674,5,11
2.7525624891647347,4,12
2.6659751123267,3,13
2.6828852989646412,3,14
2.5230767171919806,5,15
2.6595739928962905,5,16
2.712540547310004,5,17
2.665946908910399,4,18
2.513551733627184,5,19
2.7377887440689497,3,20
2.642773024319861,4,21
2.6278627291515564,5,22
2.71829159804472,2,23
2.59331896714056,2,24
2.603061766335041,5,25
2.44716148504834,5,26
2.6529350334626964,4,27
2.7617291262616575,5,28
2.6393200291934162,5,29
2.726029604570292,5,30
2.6519171008564095,3,31
2.7509949751771448,4,32
2.7184845596473517,5,33
2.611670609614397,5,34
2.5242037252444907,5,35
2.628848638733067,4,36
2.63064253177201,5,37
2.6486346162152636,2,38
2.751885336604344,4,39
2.7329612437479405,5,40
2.7437739678775457,4,41
2.68646180360673,3,42
2.6477349571138222,5,43
2.6176285499745053,5,44
2.7159423874694406,4,45
2.6880015464358404,4,46
2.634565765542566,5,47
2.6004616485524554,5,48
2.613205386173119,4,49
2.710332479778748,4,50
2.7566232317120476,4,51
2.7039260688879514,4,52
2.6790326075867776,5,53
2.7178052033377584,5,54
2.5822634035236796,5,55
2.7027705356835456,3,56
2.6927814834094574,4,57
2.7372793169759264,3,58
2.6621661867841433,5,59
2.6857738733320837,3,60
2.5102449180406348,5,61
2.628845840283733,5,62
2.6285161581848246,5,63
2.663404991958656,3,64
2.5684767523186465,4,65
2.549236003597849,3,66
2.7539378466856,3,67
2.7172289523602227,5,68
2.528566435531725,5,69
2.6584026709151094,5,70
2.5516240333180944,5,71
2.73147123909514,5,72
2.45083518735819,5,73
2.6442905862172834,4,74
2.7350099420094582,4,75
2.6528664918336666,4,76
2.624874367861718,5,77
2.6690686649074333,3,78
2.6383280291313587,5,79
2.557467383162323,5,80
2.7412173605005377,4,81
2.6492333034960205,4,82
2.7831490376789114,3,83
2.7256635202828527,3,84
2.67574041810298,5,85
2.646513111405488,5,86
2.6545168754420008,5,87
2.741024893444812,5,88
2.7176094064604217,5,89
2.645488662044289,4,90
2.532113170903526,4,91
2.730846409403112,5,92
2.629281986598738,4,93
2.685570409499497,5,94
2.596708059074861,5,95
2.65910231707739,4,96
2.7021642635920573,3,97
2.7099448081964375,4,98
2.6125214095053604,4,99
2.6752300361611985,5,100
2.6040376638950926,4,101
2.7710301340331585,3,102
2.6785900639154203,5,103
2.652506104785817,4,104
2.6826708316337156,4,105
2.614872615170143,5,106
2.683605853447566,2,107
2.731290074755452,4,108
2.562134933813878,2,109
2.7056174527877728,4,110
2.47937034586849,4,111
2.6808654683859077,4,112
2.5701195832477852,4,113
2.757723106417088,5,114
2.572698112797746,5,115
2.551021577613684,4,116
2.761625226153601,3,117
2.73445213918718,5,118
2.697361239564759,5,119
2.749792529850755,5,120
2.7784987401400887,4,121
2.66148471432523,3,122
2.811615060064233,5,123
2.559361262231776,5,124
2.666671899361846,5,125
2.7721108727801584,5,126
2.8001027991304666,4,127
2.7511717846786725,5,128
2.767002086828234,3,129
2.7083798747308565,4,130
2.780260064876747,5,131
2.5767209298152363,3,132
2.724528301754428,5,133
2.6693149153815563,5,134
2.612706953007848,4,135
2.729315870819437,3,136
2.697944138814761,4,137
2.68571213140966,3,138
2.6723632557351893,5,139
2.5884391578345363,5,140
2.634275076438464,3,141
2.6548128248387797,3,142
2.704801574544704,3,143
2.636344152523976,3,144
2.6846655587764636,4,145
2.737402392187954,5,146
2.693210520701963,5,147
2.6547526140469473,5,148
2.754027749123696,5,149
2.7273380990805842,4,150
2.7172484866808295,4,151
2.670640102495333,3,152
2.6592314455413746,3,153
2.682725613360486,5,154
2.73374721211508,2,155
2.668803323911099,3,156
2.5704483863282053,5,157
2.6003160599813193,5,158
2.6741140605394857,4,159
2.669336526820582,4,160
2.726781560423784,2,161
2.6384434959109946,5,162
2.701309761947344,4,163
2.643766018370459,4,164
2.6098711702620916,4,165
2.6397074425809093,4,166
2.6388648664234102,4,167
2.694129300812737,3,168
2.700822588324363,5,169
2.722214335365338,4,170
2.7240428925438294,5,171
2.6260370365844965,5,172
2.591000598518303,5,173
2.6425768749746736,5,174
2.6843850654382013,3,175
