species_no,q2.5,q97.5,mean,dataset
1,2.454524138208867,2.541596347283074,2.5030596576397453,WA
1.5,2.628859927765614,2.7022709927105844,2.670348142505813,WA
2,2.760123443447058,2.8235240800365817,2.795786943606296,WA
2.5,2.8649880362345326,2.9214071117964537,2.8971334975414074,WA
3,2.952870662246085,3.0049127576932557,2.9826640730272747,WA
3.5,3.0301598731012853,3.077744884051794,3.056948490127671,WA
4,3.097507660260274,3.1426125662942748,3.1227921252974675,WA
4.5,3.1582467049914014,3.201397057320542,3.182047902242002,WA
5,3.2113491575703694,3.2553681206200054,3.2360072513673974,WA
5.5,3.261418227297433,3.305321333504252,3.285608172053374,WA
6,3.306054651514475,3.3516785510519895,3.33155460702752,WA
6.5,3.3480257302157166,3.395215459539927,3.3743890769819465,WA
7,3.386837763107113,3.4363816097492617,3.414539015091121,WA
7.5,3.423259197710921,3.4753331542737604,3.4523474970071533,WA
8,3.4564873547812702,3.5127509781821336,3.4880942972576165,WA
8.5,3.4879760978928913,3.548995419109568,3.5220107232247395,WA
9,3.5179250823853696,3.5828597413919336,3.55429031840222,WA
9.5,3.5465024087834798,3.6152733336782967,3.585096747698385,WA
10,3.573833539825579,3.646206661468072,3.6145697140121027,WA
1,2.2710876156563513,2.364961818793535,2.320811798128773,YU
1.5,2.4038425970790955,2.481894177986733,2.444971725219063,YU
2,2.5020375255800023,2.569172291851949,2.5370820759951047,YU
2.5,2.580156752546117,2.639045665743535,2.610917158361411,YU
3,2.6438937908231335,2.698794169603562,2.6728408732712516,YU
3.5,2.6983156126251617,2.750091470051672,2.7263437472494796,YU
4,2.7482755625161914,2.7964103517530776,2.7735569948717846,YU
4.5,2.790446852491209,2.8384002437755953,2.8158818247425983,YU
5,2.82960686499851,2.8766966380404466,2.85429096167101,YU
5.5,2.864166673589805,2.9120837560345247,2.8894884441608664,YU
6,2.895935800759068,2.9446655474412426,2.922000973649643,YU
6.5,2.924549629527442,2.9762338590760096,2.952233317041999,YU
7,2.952468888613524,3.0060612018771704,2.9805035455546975,YU
7.5,2.9781178765775547,3.034213447354459,3.007066343722157,YU
8,3.001945307027944,3.061372710497787,3.032128941889598,YU
8.5,3.0231023356431783,3.0866542681562703,3.0558623151140862,YU
9,3.0436515454164823,3.111005789806723,3.078409246599591,YU
9.5,3.0634003766532976,3.1336307162237853,3.0998902565165025,YU
10,3.082923694777462,3.155683753761189,3.120408042358862,YU
1,2.351432617206001,2.399758292761144,2.3773618914105357,TL
1.5,2.5144292618074062,2.555669965319094,2.5368769507134323,TL
2,2.637198811691725,2.6720719817704035,2.656506665932948,TL
