latin_name,calcium,zinc,iron,epa,dha,culture,common_name
Anguilla rostrata,45.5,1.3075,0.35,0.33140656,0.5357228,Montagnais-Naskapi,American Eel
Anguilla rostrata,45.5,1.3075,0.35,0.33140656,0.5357228,Abenaki,American Eel
Anguilla rostrata,45.5,1.3075,0.35,0.33140656,0.5357228,Micmac,American Eel
Anguilla rostrata,45.5,1.3075,0.35,0.33140656,0.5357228,Powhatan,American Eel
Anguilla rostrata,45.5,1.3075,0.35,0.33140656,0.5357228,Wampanoag,American Eel
Anguilla rostrata,45.5,1.3075,0.35,0.33140656,0.5357228,Onondaga,American Eel
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Inuit-Inupiaq,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Yupik,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Bella Coola,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Central Salish,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Tsimshian,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Haida,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Tlingit,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Kwakiutl,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Nootkan,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Cree,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Montagnais-Naskapi,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Abenaki,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Micmac,Arctic Cod
Boreogadus saida,31.6,0.435,0.425,0.1325,0.2645,Wampanoag,Arctic Cod
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Yupik,Blue Crab
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Bella Coola,Blue Crab
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Tsimshian,Blue Crab
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Tlingit,Blue Crab
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Heiltsuk,Blue Crab
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Kwakiutl,Blue Crab
Callinectes sapidus,87.5,1345.5633333333333,1.4966666666666666,0.2,0.2,Nootkan,Blue Crab
