"species_name","seanuts_id2","subgroup","nutrient","concentration","dri_per"
"Aequipecten opercularis",1574,"mollusc","protein",10.6,21.2
"Alosa sapidissima",1534,"finfish","protein",18.8,37.6
"Anabas testudineus",311,"finfish","protein",19.63,39.26
"Anguilla japonica",323,"finfish","protein",19,38
"Anguilla rostrata",324,"finfish","protein",19.1,38.2
"Anoplopoma fimbria",1528,"finfish","protein",13.8,27.6
"Apostichopus californicus",1635,"mollusc","protein",10.6,21.2
"Argopecten irradians",1575,"mollusc","protein",15.9,31.8
"Aristeus antennatus",342,"crustacean","protein",21.4,42.8
"Aristeus antennatus",343,"crustacean","protein",22,44
"Atheresthes stomias",1503,"finfish","protein",17.7,35.4
"Barbus grypus",1302,"finfish","protein",19.5,39
"Barbus grypus",1303,"finfish","protein",18.7,37.4
"Brycon cephalus",1360,"finfish","protein",20.07,40.14
"Brycon microlepis",418,"finfish","protein",19.83,39.66
"Brycon orbignyanus",383,"finfish","protein",18.94,37.88
"Chamelea gallina",1667,"mollusc","protein",8.99,17.98
"Chamelea gallina",1668,"mollusc","protein",7.45,14.9
"Chamelea gallina",1669,"mollusc","protein",6.86,13.72
"Chamelea gallina",1670,"mollusc","protein",7.36,14.72
"Channa punctata",410,"finfish","protein",19.13,38.26
"Clarias batrachus",432,"finfish","protein",14.87,29.74
"Clinocardium nuttallii",1492,"mollusc","protein",11.8,23.6
"Clupea harengus",1509,"finfish","protein",16.4,32.8
"Clupea pallasii pallasii",1508,"finfish","protein",16,32
"Crassostrea gigas",1510,"mollusc","protein",10.4,20.8
"Cyprinus carpio",1304,"finfish","protein",17.4,34.8
"Dicentrarchus labrax",522,"finfish","protein",19.75,39.5
"Dicentrarchus labrax",523,"finfish","protein",21.79,43.58
"Dicentrarchus labrax",524,"finfish","protein",18.74,37.48
"Dicentrarchus labrax",525,"finfish","protein",21.38,42.76
"Donax trunculus",31,"mollusc","protein",8.12,16.24
"Donax trunculus",37,"mollusc","protein",8.4,16.8
"Donax trunculus",46,"mollusc","protein",8.21,16.42
"Donax trunculus",47,"mollusc","protein",10.61,21.22
"Doryteuthis opalescens",1573,"mollusc","protein",15.3,30.6
"Eledone moschata",541,"mollusc","protein",14.5,29
"Eledone moschata",542,"mollusc","protein",12.21,24.42
"Eledone moschata",543,"mollusc","protein",14.32,28.64
"Eopsetta jordani",1540,"finfish","protein",17.6,35.2
