Food Item ID	Code	Subgroup	"Country, region"	Type	ISSCAAP	3_alpha	Food name in own language	Food name in English	Processing	Scientific name	ASFIS English name	ASFIS Scientific name	Season	Other	n	Comments on data processing/methods	Publication year	BiblioID	PROTCNT(g)	PROTCNP(g)	PROT-(g)	FAT(g)	FATCE(g)	FAT-(g)	CA(mg)	FE(mg)	F20D5N3(g)	F22D6N3(g)	ZN(mg)	AS(mcg)	CD(mcg)	HG(mcg)	PB(mcg)
900058	900058	Finfish	"Canada, James Bay, Vermeulle"	W	23	WHL		"Whitefish, wild, female, flesh, raw"	r	Coregonus clupeaformis	Lake Whitefish	Coregonus clupeaformis	Aug-Sep 1993	adult female fish		trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW)	1996	fi4	14				[0.8]		5	0.2	[0.07]	[0.2]	0.4	tr	0.6	15	5
900059	900059	Finfish	"Canada, James Bay, Lac Temoin"	W	23	LAT		"Lake trout, wild, female, flesh, raw"	r	Salvelinus namaycush	Lake trout	Salvelinus namaycush	Aug-Sep 1993	adult female fish		trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW)	1996	fi4	15				[0.4]		3	0.2	[0.140]	[0.3]	0.5	0.6	1	40	tr
900060	900060	Finfish	"Canada, James Bay, Lac Serigny"	W	23	SVF		"Brook trout, wild, female, flesh, raw"	r	Salvelinus fontinalis	Brook trout	Salvelinus fontinalis	Aug-Sep 1993	adult female fish		trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW)	1996	fi4	17.3				[0.92]		12.7	0.33	[0.240]	[0.46]	0.8	0.3	tr	9.8	tr
900061	900061	Finfish	"Canada, James Bay, Wemindji"	W	23	SVF		"Brook trout, wild, female, flesh, raw"	r	Salvelinus fontinalis	Brook trout	Salvelinus fontinalis	Aug-Sep 1993	adult female fish	1	trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW)	1996	fi4	16.4				[1.6]		3.1	0.18	[0.08]	[0.37]	0.8	0.8	0.6	5.2	tr
900062	900062	Finfish	"Myanmar (samples obtained from four different local seafood stores, Central Coast, New South Wales, Australia)"	W	25	GIP		"Asian seabass, wild, skinless fillet, frozen"	r	Lates calcarifer	Giant seaperch	Lates calcarifer				FA converted using XFA	2009	fi5				0.67					0.014318667	0.090058148					
900063	900063	Finfish	"Italy, Bolsena lake"	W	13	FPE		"European perch, wild, skinless fillet, raw"	r	Perca fluviatilis	European perch	Perca fluviatilis	"Dec 2001, Feb, Jun, Sep 2002"	"mean length and weight of fish: 21.53cm, 114.15g"		FA converted using XFA	2007	fi6	17.89			0.9			85.4	0.16	0.04723626	0.13118861	0.584			13.6	
900064	900064	Finfish	"Italy, Bracciano Lake"	W	13	FPE		"European perch, wild, skinless fillet, raw"	r	Perca fluviatilis	European perch	Perca fluviatilis	"Dec 2001, Feb, Jun, Sep 2003"	"mean length and weight of fish: 21.70cm, 126.23g"		FA converted using XFA	2007	fi6	18.43			0.86			46.3	0.235	0.042595948	0.118886214	0.737			14.7	
900065	900065	Finfish	"Italy, salto Lake"	W	13	FPE		"European perch, wild, skinless fillet, raw"	r	Perca fluviatilis	European perch	Perca fluviatilis	"Dec 2001, Feb, Jun, Sep 2004"	"mean length and weight of fish: 21.19cm, 115.77g"		FA converted using XFA	2007	fi6	18.1			0.99			62.4	0.195	0.033646877	0.1795541	0.693			6.8	
900066	900066	Finfish	"Poland, Talty-Ryńskie Lake"	W	13	FPP		"Pike perch, wild, skinless fillet, raw"	r	Sander lucioperca	Pike-perch	Sander lucioperca	Nov	EDIBLE = fillet yield (vs fish weight)	6		2003	fi7	18.01				0.95				0.033573	0.109269					
900067	900067	Finfish	"Brazil, Miranda River"	W	13	MDI	Barbado	"Flatwhiskered catfish, wild, skinless fillet, raw"	r	Pinirampus pinirampu	Flatwhiskered catfish	Pinirampus pinirampu		"mean length and weight of fish: 63cm, 2700g"	1	FA converted using XFA	2008	fi8	16.39			7.3					0.02333765	0.07001295					
900068	900068	Finfish	"Brazil, Miranda River"	W	13	PLK	Jaú	"Jaú, wild, skinless fillet, raw"	r	Paulicea luetkeni	Jaú	Paulicea luetkeni		"mean length and weight of fish: 95cm, 5950g"	1	FA converted using XFA	2008	fi8	16.92			10.44					0.044148592	0.075820408					
900069	900069	Finfish	"Brazil, Miranda River"	W	13	SBM	Jurupensém	"Duckbill catfish, wild, skinless fillet, raw"	r	Surubim lima	Duckbill catfish	Sorubim lima		"mean length and weight of fish: 53cm, 860g"	1	FA converted using XFA	2008	fi8	16.07			11.19					0.02059454	0.077229525					
900070	900070	Finfish	"Brazil, Miranda River"	W	13	HBY	Jurupoca	"Jurupoca, wild, skinless fillet, raw"	r	Hemisorubim platyrhynchos		Hemisorubim platyrhynchos		"mean length and weight of fish: 55cm, 935g"	1	FA converted using XFA	2008	fi8	18.1			6.35					0.01850096	0.04047085					
900071	900071	Finfish	"Brazil, Miranda River"	W	13	MDM	Mandi-amarelo	"Mandi-amarelo, wild, skinless fillet, raw"	r	Pimelodus maculatus		Pimelodus maculatus		"mean length and weight of fish: 18cm, 205g"	1	FA converted using XFA	2008	fi8	17.7			5.55					0.02215466	0.09466082					
900072	900072	Finfish	"Brazil, Miranda River"	W	13	FSI	Mandi-prateado	"Mandi-prateado, wild, skinless fillet, raw"	r	Pimelodus argenteus	Pimelodidae	Siluroidei		"mean length and weight of fish: 16cm, 120g"	1	FA converted using XFA	2008	fi8	16.73			0.35					0.00301504	0.019291545					
