taxize_name,subgroup,calcium,zinc,iron,epa,dha
Mugil cephalus,Finfish,87.23333333333333,1.2990000000000002,1.25,0.1803487665,0.112726597
Mya,Mollusc,172,3.9,2.5,0.2,0.1
Mytilidae,Mollusc,101,3.63,17,0.13,0.17
Mytilus coruscus,Mollusc,41.895375,1.3517015,2.255988,0.26152131306,0.356532195831
Mytilus edulis,Mollusc,85,2.475,12.9,0.115,0.135
Mytilus galloprovincialis,Mollusc,59.96666666666667,2.700833333333333,4.5725,0.22428408266666666,0.18824771466666665
Nephropidae,Crustacean,39,1.51,1.57,0.24,0.12
Nephrops norvegicus,Crustacean,85.9,1.51,2.9629375,0.040662279098486,0.04659296805311353
Octopus vulgaris,Mollusc,32.75,1.77,3.9282,0.053953644955999996,0.09888733783600001
Ompok pabda,Finfish,91,0.9,0.46,0.068,0.053
Oncorhynchus mykiss,Finfish,31.666666666666668,6.54,2.8810000000000002,0.41800000000000004,1.245
Oncorhynchus tshawytscha,Finfish,22.8,0.8,1.75,0.44,0.55
Oreochromis,Finfish,621.6,1.3209,0.82621,0.039166696,0.1331667664
Oreochromis niloticus,Finfish,883,7,3,0.03779464692990096,0.12929303466540207
Osmerus mordax,Finfish,74,1.825,0.75,0.12,0.18
Pagellus bogaraveo,Finfish,57.333333333333336,0.2916666666666667,0.158,0.018,0.21150000000000002
Pecten maximus,Mollusc,93.95,2.25,0.8899999999999999,0.105,0.105
Pectinidae,Mollusc,27.6,1.22,0.6035,0.1397876,0.131549112
Perca flavescens,Finfish,31.381,0.6271293333333333,0.28531833333333334,3.84852358e-4,0.05650332347
Perca fluviatilis,Finfish,32.47030375,0.52003575,0.14150375,0.11807202038461538,0.3217574818461538
Pleuronectes platessa,Finfish,28,0.48,0.19,0.174054111737828,0.158101627257958
Pollachius virens,Finfish,10,0.38,0.25,0.0718835790676205,0.254163203951155
Pomatomus saltatrix,Finfish,32.9,0.763,2.826,0.748,2.5058
Portunus pelagicus,Crustacean,116.375,3.325,0.47000000000000003,0.15424486499999998,0.23469927499999998
Psetta maxima,Finfish,30.5,0.12,3.485,0.0941512,0.2685449
Pseudopleuronectes americanus,Finfish,13.2,0.394,0.103,0.07,0.12
Puntius sophore,Finfish,1042,2.9,2.2,0.04,0.024
Reinhardtius hippoglossoides,Finfish,5.7,0.31,0.095,0.33,0.36
Salmo,Finfish,38,0.4,0.4,0.14902534270229265,0.6458603310126615
Salmo salar,Finfish,13.3,0.5349999999999999,0.7749999999999999,0.3579816139827953,1.6143217365806433
Salvelinus,Finfish,96.33333333333333,1.2333333333333334,2.033333333333333,0.55,0.4
Salvelinus alpinus,Finfish,17.75,3.42,0.78,0.78,0.69
Salvelinus fontinalis,Finfish,15.48,0.55775,0.4472,0.112,0.322
Salvelinus namaycush,Finfish,5.366666666666666,0.3775,0.3695,0.086,0.316
Sander lucioperca,Finfish,65.86,0.7144136666666666,0.39466666666666667,0.02312880616666667,0.0483198204
Sardinella,Finfish,398.52,1.56702,1.8327,0.004056171,0.0326811492
Scomber,Finfish,22,0.538,1.409,0.742945,1.15178
Scomber scombrus,Finfish,11.5,0.6295,0.905,1.605,2.48
Sebastes marinus,Finfish,13,0.31,0.2,0.191175181716074,0.3138081623688338
Sebastes norvegicus,Finfish,141,0.683,0.633,0.14,0.07
Sepia officinalis,Mollusc,24.7,1.77,3.71025,0.103285276,0.202325938
Silurus glanis,Finfish,25.5,0.855,0.6,0.129915196,0.21424307999999997
Solea solea,Finfish,63.999925,1.892725,8.595225,0.042096598,0.10236754
Sparidae,Finfish,41,1.92,0.9575,0.199,0.273
Stenodus leucichthys,Finfish,10,0.3,0.4,0.2,0.2
Tenualosa ilisha,Finfish,96.71,1.7666666666666666,1.8666666666666667,0.815,0.182
Thaleichthys pacificus,Finfish,196.95,1.3,1.6,0.12,0.18
Theragra chalcogramma,Finfish,12.366666666666667,0.3887,0.19163333333333332,0.04918998368691283,0.10641627744612027
Thunnus alalunga,Finfish,18,0.5,0.6,0.29393,0.85918
Thymallus arcticus,Finfish,281.5,0.7,1,0.11256000000000001,0.2643333333333333
Tinca tinca,Finfish,63,1.1,0.8500000000000001,0.037115923,0.07158984
Xiphias gladius,Finfish,39,1.3,1.2,0.243166,1.32636
