genus_species,subgroup,calcium,zinc,protein,fat,iron,epa,dha
Lates calcarifer,Finfish,8.8,1.1,19.22,1.8125,0.7,0.014318667,0.090058148
Leuciscus cephalus,Finfish,61.5,0.5,19.5,1.4666666666666666,0.6,0.074893,0.064194
Leuciscus idus,Finfish,60,0.55,19,1.5666666666666667,0.55,0.128231,0.06749
Liza aurata,Finfish,6.9048,0.193032,21.3,4.04,0.155232,0.2674728785,0.065987167
Liza parsia,Finfish,66,0.84,16.1,14.3,1.3,0.4,0.12
Loligo vulgaris,Mollusc,14.533333333333333,1.1800000000000002,16.645714285714288,1.541111111111111,3.6996333333333333,0.16027233533333332,0.38646646133333334
Lota lota,Finfish,111.79735,1.464506,19.599999999999998,6.65,0.515556,0.42400000000000004,0.508
Melanogrammus aeglefinus,Finfish,7.8,0.29,17.7,0.5583333333333333,0.11,0.05811886625,0.12775789875000002
Merlangius merlangus,Finfish,59.131699999999995,1.35225,16.101666666666667,3.31375,5.2246749999999995,0.723700665,2.04402083
Merluccius productus,Finfish,9.8,0.35105,16.87,1.67,0.2508,0.069467419,0.118810272
Microstomus pacificus,Finfish,14.533333333333333,0.3887666666666667,16.805,0.8125,0.2113,0.08,0.09
Mugil cephalus,Finfish,15.7,2.2,18.575,1.7916666666666667,0.8,0.14950957766666667,0.10808776466666667
Mytilus galloprovincialis,Mollusc,59.96666666666667,2.700833333333333,9.565,1.79,4.5725,0.216982562,0.17044748599999998
Nephrops norvegicus,Crustacean,85.9,1.51,19.251666666666665,0.4863636363636364,2.9629375,0.037217193428571424,0.044664452714285714
Octopus vulgaris,Mollusc,32.75,1.77,13.397499999999999,0.623,3.9282,0.05122852083333333,0.08971778983333334
Ompok pabda,Finfish,91,0.9,16.2,9.5,0.46,0.068,0.053
Oreochromis niloticus,Finfish,752.3,4.16045,16.946075,2.3421333333333334,1.913105,0.03794709682657863,0.12972344925813517
Osmerus mordax,Finfish,74,1.65,16.7,5.1,0.75,0.12,0.18
Pagellus bogaraveo,Finfish,57.333333333333336,0.2916666666666667,21,0.9225,0.158,0.018,0.21733333333333335
Perca flavescens,Finfish,31.381,0.34069400000000005,17.5147,0.634965,0.14797749999999998,3.84852e-4,0.056503323
Perca fluviatilis,Finfish,32.47030375,0.52003575,18.14,0.946,0.14150375,0.041159695,0.14320964133333333
Pleuronectes platessa,Finfish,28,0.48,15.9,1.4000000000000001,0.19,0.174054112,0.158101627
Pollachius virens,Finfish,10,0.38,18.5,0.9125,0.25,0.071883579,0.254163204
Pomatomus saltatrix,Finfish,6.8,0.763,19.6,10.35,0.452,0.748,2.5058
Portunus pelagicus,Crustacean,116.375,3.325,20.935,1.887,0.47000000000000003,0.15424486499999998,0.23469927499999998
Psetta maxima,Finfish,30.5,0.12,17.95,1.324,3.485,0.0941512,0.2685449
Pseudopleuronectes americanus,Finfish,13.2,0.394,21.2,0.82,0.103,0.07,0.12
Puntius sophore,Finfish,1042,2.9,15.7,7.2,2.2,0.04,0.024
Rastrelliger kanagurta,Finfish,260.15,1.7999999999999998,18.53666666666667,2.2,2.25,0.25,0.416
Reinhardtius hippoglossoides,Finfish,5.7,0.31,14.15,10.2,0.095,0.33,0.36
Salmo salar,Finfish,11.6,0.6,21.35,12.575,0.4,0.357981614,1.6143217366666667
Salvelinus alpinus,Finfish,20,4.175,21.3,7.133333333333334,0.94,0.78,0.69
Salvelinus fontinalis,Finfish,9.85,0.5903333333333334,18.95,1.9325,0.259,0.144,0.384
Salvelinus namaycush,Finfish,4.55,0.45,17.95,1.9,0.25,0.10400000000000001,0.31066666666666665
Salvelinus naresi,Finfish,137.5,1.55,28.333333333333332,11.225,2.75,0.55,0.4
Sander lucioperca,Finfish,55.5201,0.7144136666666666,18.927777777777777,0.8723076923076923,0.3193035,0.02312880616666667,0.0483198204
Sarda sarda,Finfish,47.815925,0.9820833333333333,21.224285714285713,7.047058823529412,6.1847666666666665,0.32097927333333337,0.15211859533333333
Sardinella sp.,Finfish,398.52,1.56702,20.6886,0.1722,1.8327,0.004056171,0.032681149
Scomber scombrus,Finfish,15,0.62,17.7,14.266666666666667,0.8,1.1115083333333333,1.9854
Sepia officinalis,Mollusc,24.7,1.77,16.588333333333335,1.0427272727272727,3.71025,0.1165378896,0.2144767114666666
Silurus glanis,Finfish,25.5,0.855,17.585,2.432,0.6,0.129915196,0.21424307999999997
Solea solea,Finfish,63.999925,1.892725,17.96,1.175,8.595225,0.040332699,0.10421587
Tenualosa ilisha,Finfish,96.71,1.7666666666666666,16.501428571428573,11.864666666666666,1.8666666666666667,0.815,0.182
Thaleichthys pacificus,Finfish,196.95,1.3,17.1,21.691666666666666,1.6,0.12,0.18
Theragra chalcogramma,Finfish,12.366666666666667,0.3887,15.549999999999999,0.615,0.19163333333333332,0.049189983666666666,0.10641627733333334
Thunnus alalunga,Finfish,18,0.5,24.472,6.61,0.6,0.29393,0.85918
Tinca tinca,Finfish,63,1.1,19,1.17,0.8500000000000001,0.037115923,0.07158984
Trachurus trachurus,Finfish,272.0359916666667,2.253058333333333,18.713529411764707,5.226176470588236,7.297541666666667,0.27820487816666667,0.5692811351666667
Xiphias gladius,Finfish,39,1.3,17.7,12,1.2,0.243166,1.32636
