species_no,q2.5,q97.5,mean,dataset
1,1.6573776162974798,2.0016769814482185,1.8439935139850603,WA
1.5,1.7612163825109604,2.045524886428552,1.9168294649742348,WA
2,1.8337753758428141,2.0761050322961294,1.9704172127553075,WA
2.5,1.8956099805945774,2.107245381953798,2.013113134541263,WA
3,1.9434134272896875,2.132528263239318,2.0487505428296653,WA
3.5,1.9818452319111244,2.15516971120697,2.07942066460541,WA
4,2.015647238489199,2.1802122093415424,2.1063947959179905,WA
4.5,2.0460271462936874,2.2038717016560057,2.1305057225209674,WA
5,2.0691469436171848,2.226548518857382,2.1523297449022634,WA
5.5,2.0897172101145918,2.248268656417944,2.1722828202625113,WA
6,2.106295401554771,2.268552804568979,2.190675361145855,WA
6.5,2.1166391543895933,2.289224322861282,2.2077453837630636,WA
7,2.1277700067306893,2.310565435977461,2.2236795426709146,WA
7.5,2.137662087091288,2.3306522846199083,2.23862701474738,WA
8,2.148984977886162,2.3532415594424263,2.252708970877862,WA
8.5,2.155102110315238,2.373513605228292,2.2660252216126824,WA
9,2.1608790192282545,2.391396854036588,2.278658994193879,WA
9.5,2.166227181841972,2.4091446982283777,2.2906804395036353,WA
10,2.1733732922390625,2.4270712738820968,2.302149254742842,WA
1,2.036513285745389,2.1954622410639724,2.120335712118028,YU
1.5,2.158184082489211,2.2923964019019425,2.2290099808268162,YU
2,2.2501770419366975,2.365975893808695,2.3095063331824663,YU
2.5,2.3193222464665824,2.4234647252949886,2.3739579249915352,YU
3,2.380222271692658,2.4733243766840842,2.427963063896935,YU
3.5,2.430419623022887,2.51759651577623,2.4745892991593115,YU
4,2.4736444130225936,2.55743255014192,2.515708076529345,YU
4.5,2.5130582944124114,2.5920811818352387,2.5525489782428883,YU
5,2.547898389832799,2.6235380440771787,2.5859650836320647,YU
5.5,2.578123776457969,2.6546304588761696,2.616573514325593,YU
6,2.6049889890182767,2.6834546338186493,2.644835734074924,YU
6.5,2.627992896298888,2.7118527186923718,2.6711062263910925,YU
7,2.6500258556301444,2.7376211108810176,2.6956634425582107,YU
7.5,2.669133567818241,2.7629462179978637,2.7187302643480744,YU
8,2.688546707394079,2.7860533656387787,2.7404879859096543,YU
8.5,2.707047427626822,2.809061234121988,2.7610861383080505,YU
9,2.7229708326766033,2.8314273059152684,2.7806495611916184,YU
9.5,2.737767587233502,2.8532892637431644,2.799283600882214,YU
10,2.7538428971631204,2.874205339859304,2.8170780023962028,YU
1,1.9699084245098448,2.1086035932215847,2.0437099085534856,TL
1.5,2.0766458431643864,2.188321221016267,2.1362762015603467,TL
2,2.152648845241954,2.249709344576687,2.204507303928532,TL
2.5,2.2157882812937006,2.298212305126079,2.2589419069134937,TL
3,2.265611845256408,2.3397344768289163,2.3044232628965347,TL
3.5,2.307849929302936,2.37653157880716,2.343597136043175,TL
4,2.3450139423970913,2.409579714331244,2.378073662429746,TL
4.5,2.3760908441356263,2.438744686653611,2.4089085284787366,TL
5,2.406097480967899,2.4659074372683825,2.4368328383698308,TL
5.5,2.4310439903657572,2.4920792482532645,2.4623746295596307,TL
6,2.4538754984484856,2.5167915049085536,2.4859281848658283,TL
6.5,2.4738658615742217,2.5415773639142656,2.5077959873091955,TL
7,2.4918373048314906,2.564085737485653,2.528215358434787,TL
7.5,2.5092174799449602,2.584791384783954,2.54737605011359,TL
8,2.523709764036602,2.6045570611737188,2.5654322513849386,TL
8.5,2.539003955009087,2.622734978383897,2.5825110165097285,TL
9,2.5528651697686753,2.641011178059017,2.598718325633696,TL
9.5,2.5655859934260534,2.6595106258418446,2.614143535734325,TL
10,2.5786168155374707,2.6767419726101584,2.628862710417288,TL
1,2.043941502108091,2.2086348624325507,2.1350651892107653,TS
1.5,2.1752892056268123,2.3132992426034713,2.2518566928372756,TS
2,2.2742436145982436,2.392121294346128,2.338605421640672,TS
2.5,2.3524436035335614,2.4531882496700894,2.4082051824040716,TS
3,2.4170265923081815,2.5079139979695464,2.4666187548603395,TS
3.5,2.472530277621468,2.556223884503336,2.517119048218815,TS
4,2.521930943062256,2.5987691831367115,2.56170560139255,TS
4.5,2.5632873067508504,2.637820093404303,2.6016937175063957,TS
5,2.5999978954835816,2.6737413290359133,2.6379968887590284,TS
5.5,2.633090569916378,2.7078606348835557,2.671276541128446,TS
6,2.662923277514484,2.7372767587648252,2.70202767108119,TS
6.5,2.6898156333454533,2.767687956548504,2.730630802020893,TS
7,2.715330451265515,2.796242586745274,2.7573850418936052,TS
7.5,2.7378683701674533,2.8243689455740912,2.782529955827123,TS
8,2.7590496722941706,2.8504402824228783,2.806260520867175,TS
8.5,2.7790414916398625,2.8752505791107428,2.8287376402537983,TS
9,2.7973946424353913,2.899225938154699,2.850095715683579,TS
9.5,2.815227655664095,2.922023227024959,2.870448216203362,TS
10,2.8323797399878208,2.94436959740153,2.8898918498626665,TS
1,1.9145324350801631,2.009448916468835,1.9618920399874122,CS
1.5,2.032841847743714,2.1121641423689774,2.0721488902919165,CS
2,2.1197024835236697,2.189250660115009,2.154126221727681,CS
2.5,2.1898827863564554,2.250854447431643,2.219946202634279,CS
3,2.2486186767649126,2.3024617496207167,2.275219557806318,CS
3.5,2.2986151328143793,2.3467269393613868,2.323027950081905,CS
4,2.3420519268847495,2.3870245076361,2.36525506470819,CS
4.5,2.381450173248791,2.4235308497787655,2.4031405417719296,CS
5,2.4158122536102593,2.4573438677298363,2.4375456523783177,CS
5.5,2.445942986595419,2.489418231252842,2.4690942201857595,CS
6,2.474503166577405,2.5197691731823744,2.498253240768275,CS
6.5,2.5003157850148168,2.5484141843219072,2.5253818093369,CS
7,2.524631072834347,2.5754043586610478,2.5507622600739537,CS
7.5,2.5473670388630394,2.600267860216321,2.5746207748212053,CS
8,2.5681266051082416,2.6246093726837443,2.5971414769367254,CS
8.5,2.5881049093455157,2.6478933470686616,2.6184763424574036,CS
9,2.6066049518114256,2.669839915146485,2.638752339442091,CS
9.5,2.6244499453981223,2.6906382509515625,2.6580766794687083,CS
10,2.6416945522353226,2.7107882997313455,2.6765407522182816,CS
1,1.9142453919137588,1.9927354623382594,1.957276569696005,CR
1.5,2.0573521266375994,2.1228044913204567,2.0934583559295183,CR
2,2.1650919054184357,2.2201944351338594,2.195796492311901,CR
2.5,2.2515587943254696,2.3002672407227966,2.2786131670414393,CR
3,2.3240873233989614,2.368281795039307,2.3485955592669088,CR
3.5,2.3872744089617948,2.427729960408263,2.409441114224967,CR
4,2.442767499504587,2.4810328141666087,2.4634221922834105,CR
4.5,2.491006506851465,2.5294463934477847,2.5120410779441866,CR
5,2.5353564031500175,2.574048422897577,2.5563456716423727,CR
5.5,2.5752461280822736,2.6155039596889536,2.597097639571242,CR
6,2.6131234606248794,2.653395714523345,2.634868960717315,CR
6.5,2.6470040782066366,2.689210516461329,2.6701007110288013,CR
7,2.678872572281389,2.7232746241897043,2.7031405850549666,CR
7.5,2.7088701202197862,2.7556935207851816,2.7342677946574607,CR
8,2.7374588833372204,2.7867110874161316,2.76371013833591,CR
8.5,2.764230072080051,2.8158959604749083,2.79165603194524,CR
9,2.7892786377206584,2.8441573889473863,2.8182631930465503,CR
9.5,2.8131689018444477,2.8708137005298555,2.8436650414263944,CR
10,2.836006191719851,2.89696193770253,2.8679755034175938,CR
1,2.0696434604251577,2.275276364154291,2.1762383458193493,HA
1.5,2.1965292459658086,2.368997409739877,2.284887845679186,HA
2,2.2918304679327015,2.4350150853553143,2.3652976490087485,HA
2.5,2.3641262628907054,2.4911280033097487,2.429640060361121,HA
3,2.425273158714399,2.5396074812980376,2.483527380616163,HA
3.5,2.475658768632143,2.580601351367097,2.5300331408443997,HA
4,2.5186259196104577,2.620389554382358,2.571031605300124,HA
4.5,2.5573325518363634,2.655997120949124,2.607753749182144,HA
5,2.591728719814059,2.68845782631313,2.6410533434501002,HA
5.5,2.622622720484121,2.720126114830602,2.6715478351240276,HA
6,2.6488244650298136,2.749750288739366,2.699698814464277,HA
6.5,2.672146368154538,2.7765382293465937,2.7258607811084405,HA
7,2.693512779237716,2.8044495285619853,2.7503121409541773,HA
7.5,2.7125416151902706,2.82978138322217,2.773275696744638,HA
8,2.7320518568459304,2.855465506719078,2.7949326462216866,HA
8.5,2.7505328561200777,2.8795255754428415,2.815432416290405,HA
9,2.7652339949507665,2.902170307294281,2.834899740410372,HA
9.5,2.779573059699191,2.9234011065832384,2.853439860067484,HA
10,2.7933006147511503,2.9444792499198895,2.871142418747194,HA
1,2.0366888336554108,2.196338541858357,2.1262386248413896,BC
