number_of_species,mean_targets,low,high
1,2.0188018,1.682975,2.351
2,2.9586167,2.535975,3.362
3,3.4827707,3.0109500000000002,3.9
4,3.817109,3.323,4.231
5,4.0500851,3.547,4.455
6,4.2212999,3.716975,4.605025
7,4.3524534,3.851975,4.713024999999999
8,4.4551614,3.963,4.79
9,4.5375577,4.051,4.845
10,4.604769,4.12695,4.887
