culture,latin_name,subgroup,common_name,calcium,zinc,iron,epa,dha
Abenaki,Anguilla rostrata,Fish,American Eel,36.333333333333336,1.3075,0.5249999999999999,0.7000000000000001,1.1
Abenaki,Boreogadus saida,Fish,Arctic Cod,20.2,0.5,0.6,0.165,0.329
Abenaki,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Abenaki,Gadiformes,Fish,Cod and Relatives,29,0.71,0.364,0.1,0.2
Abenaki,Gadus morhua,Fish,Atlantic Cod,12.75,1.27725,1.8625,1.3094,1.1242
Abenaki,Hippoglossus hippoglossus,Fish,Atlantic Halibut,15,0.5,0.5,0.281,0.41
Abenaki,Hippoglossus stenolepis,Fish,Pacific Halibut,22,0.08,0.09,0.1,0.3
Abenaki,Melanogrammus aeglefinus,Fish,Haddock,22.5,0.544,0.6395,0.086,0.1865
Abenaki,Mya arenaria,Marine Invertebrates,Softshell Clam,53,1.7,40.5,0.2,0.2
Abenaki,Nephropidae,Marine Invertebrates,Lobsters,34,2.54,0.935,0.161,0.10200000000000001
Abenaki,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Abenaki,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Abenaki,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Abenaki,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Abenaki,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Abenaki,Ostreidae,Marine Invertebrates,Oysters,84.66666666666667,53.6,2731.4666666666667,0.22349999999999998,0.183
Abenaki,Pleuronectinae,Fish,Flounders and Soles,23.5,0.78,0.55,0.192,0.1165
Abenaki,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Abenaki,Scomber scombrus,Fish,Atlantic Mackerel,9.666666666666666,0.3695,0.9533333333333334,1.1,2.385
Abenaki,Thunnus spp.,Fish,Bluefin Tuna,9,0.08,1.5,0.4,1.2
Ahtna,Catostomus catostomus,Fish,Longnose Sucker,63.1,0.5,0.3,0.075,0.212
Ahtna,Catostomus commersonii,Fish,White Sucker,44.8,0.525,0.75,0.1365,0.23399999999999999
Ahtna,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Ahtna,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Ahtna,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Ahtna,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Ahtna,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Ahtna,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Ahtna,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Aleut,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Aleut,Hippoglossus hippoglossus,Fish,Atlantic Halibut,15,0.5,0.5,0.281,0.41
Aleut,Hippoglossus stenolepis,Fish,Pacific Halibut,22,0.08,0.09,0.1,0.3
Aleut,Mya arenaria,Marine Invertebrates,Softshell Clam,53,1.7,40.5,0.2,0.2
Aleut,Mytilus edulis,Marine Invertebrates,Blue Mussel,56.5,2.4875,9.3625,0.16125,0.17925
Aleut,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Aleut,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Aleut,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Aleut,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Aleut,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Aleut,Pectinidae,Marine Invertebrates,Scallops,27.6,1.22,0.6035,0.1,0.1
Aleut,Pleuronectinae,Fish,Flounders and Soles,23.5,0.78,0.55,0.192,0.1165
Aleut,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Bella Coola,Boreogadus saida,Fish,Arctic Cod,20.2,0.5,0.6,0.165,0.329
Bella Coola,Callinectes sapidus,Marine Invertebrates,Blue Crab,94.5,4025,2.32,0.2,0.2
Bella Coola,Cancer magister,Marine Invertebrates,Dungeness Crab,52,3.23,0.365,0.2,0.1
Bella Coola,Centropristes striata,Fish,Black Sea Bass,60.8,0.2415,1.1680000000000001,0.1,0.3
Bella Coola,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Bella Coola,Gadiformes,Fish,Cod and Relatives,29,0.71,0.364,0.1,0.2
Bella Coola,Gadus morhua,Fish,Atlantic Cod,12.75,1.27725,1.8625,1.3094,1.1242
Bella Coola,Hippoglossus hippoglossus,Fish,Atlantic Halibut,15,0.5,0.5,0.281,0.41
Bella Coola,Hippoglossus stenolepis,Fish,Pacific Halibut,22,0.08,0.09,0.1,0.3
Bella Coola,Melanogrammus aeglefinus,Fish,Haddock,22.5,0.544,0.6395,0.086,0.1865
Bella Coola,Micropogonias undulatus,Fish,Atlantic Croaker,66.5,0.371,0.976,0.1,0.1
Bella Coola,Mugil cephalus,Fish,Flathead Gray Mullet,123,0.398,1.7,0.4,0.4
Bella Coola,Mya arenaria,Marine Invertebrates,Softshell Clam,53,1.7,40.5,0.2,0.2
Bella Coola,Mytilus edulis,Marine Invertebrates,Blue Mussel,56.5,2.4875,9.3625,0.16125,0.17925
Bella Coola,Octopoda,Marine Invertebrates,Octopus,22.75,1.675,1.5175,0.1,0.1
Bella Coola,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
