species_no,q2.5,q97.5,mean,dataset
1,2.537400814235545,2.679099384136666,2.600880565383825,WA
1.5,2.695070382078026,2.8140620418137177,2.7490900138962675,WA
2,2.8121103788454445,2.9133884487472983,2.859359535017146,WA
2.5,2.9069162000798405,2.9948406904747937,2.947939389543679,WA
3,2.9857227757999314,3.0636735105803092,3.0223550727257007,WA
3.5,3.0538501907190274,3.125883869408788,3.0867416419302565,WA
4,3.1120469330815137,3.1801491301967975,3.1436275309872936,WA
4.5,3.1625430373817878,3.2292983710374155,3.194677160594058,WA
5,3.208396135899242,3.274807200885617,3.2410472160638104,WA
5.5,3.250232833184618,3.319139347086065,3.2835756752783944,WA
6,3.288021262561398,3.3587467887988134,3.32288997363007,WA
6.5,3.3227326674267763,3.399183569442237,3.3594726623523354,WA
7,3.355342369490816,3.435996601923102,3.393703203417611,WA
7.5,3.3856995640683194,3.4698190541074787,3.4258856349007663,WA
8,3.4138317018805036,3.503012225644717,3.456267493637479,WA
8.5,3.4406242815414534,3.535662827674601,3.4850531240031986,WA
9,3.465404891679819,3.565596253675367,3.5124132659337333,WA
9.5,3.4890582681215436,3.5948514416994395,3.5384921084670005,WA
10,3.5111676913102805,3.622800392431666,3.56341257508537,WA
1,2.398078113965178,2.4597946594491713,2.4275662579784765,YU
1.5,2.531629704129474,2.5830224790670937,2.5564635051684865,YU
2,2.631526582107372,2.6746588571036485,2.6520509807319335,YU
2.5,2.7105465009970686,2.74891130057092,2.7286510797290986,YU
3,2.7764033825410253,2.8107707872312244,2.79287887541867,YU
3.5,2.8328404570697954,2.8643507632706755,2.8483617975381814,YU
4,2.8830885550335763,2.9118977473956402,2.8973142200793345,YU
4.5,2.9270518393993417,2.955120836348985,2.94119178685434,YU
5,2.967264060932908,2.9945069417440346,2.981004867180522,YU
5.5,3.0035672038694172,3.0315944429391433,3.0174846531693946,YU
6,3.037168896132325,3.0659163877550757,3.0511780979638705,YU
6.5,3.0677892032903347,3.0979655855782884,3.0825054883060603,YU
7,3.096362438098933,3.1277712167027674,3.1117970598071603,YU
7.5,3.1231307614132042,3.1564366019394807,3.139317214089414,YU
8,3.1479959459401603,3.1830231143647256,3.1652810705680277,YU
8.5,3.1716999092273888,3.2086602165524054,3.1898660997021193,YU
9,3.1940786965434964,3.2330411134000094,3.2132204985356063,YU
9.5,3.2154225495428856,3.2562523711660543,3.2354693485623174,YU
10,3.2356768011407846,3.2791009769859456,3.2567192273178147,YU
1,2.4081590936085826,2.449314333772889,2.428018582814666,TL
1.5,2.56002316837439,2.5941596332075885,2.57650399465726,TL
2,2.6731946887564817,2.7026908987550256,2.6873328584316054,TL
2.5,2.7636661280320016,2.7897413301197043,2.776572054299983,TL
3,2.8399961416988537,2.863235614362421,2.851681860331896,TL
3.5,2.9061507110335074,2.9271271485403596,2.9167697582965233,TL
4,2.9643206805264715,2.9841087204188703,2.9743514299241696,TL
4.5,3.016331532468756,3.0354970935317747,3.0260851885207094,TL
5,3.0632823566333474,3.0826001119367206,3.0731248538977347,TL
5.5,3.1064627458866942,3.1258829896634155,3.1163072108225442,TL
6,3.145908747445691,3.1661177448859505,3.1562593938954677,TL
6.5,3.182432330852966,3.203578454728402,3.1934641361158977,TL
7,3.2168846970071785,3.239054820667877,3.228301339532022,TL
7.5,3.2491365089025668,3.2722104382274377,3.2610756142323596,TL
8,3.279363622289337,3.3040406396789175,3.292035128433548,TL
8.5,3.307553707870855,3.3337791460121373,3.321384875241079,TL
9,3.3351951208728527,3.3625333499501044,3.349296236447846,TL
9.5,3.3610498456023232,3.3896945078035583,3.375914022418839,TL
10,3.3855381007098426,3.4158658902355685,3.401361750129725,TL
1,2.4165924425165883,2.4939341441672296,2.4530897544754353,TS
1.5,2.5649943029291893,2.6293281955956043,2.5953491305654715,TS
2,2.675356021578718,2.7305307739081184,2.7012652200233913,TS
2.5,2.763663880553778,2.812000777355325,2.7863912415894947,TS
3,2.8378082175852475,2.8809352159769195,2.857934118433072,TS
3.5,2.9013025363958844,2.940452924807916,2.91985562304396,TS
4,2.9575775898641017,2.993435303784069,2.9745791046762755,TS
4.5,3.007217913543776,3.0414619790981163,3.0237002927162524,TS
5,3.051802772517006,3.086549817200925,3.068328426417302,TS
