species,contaminant,dataset,concentration
mycteroperca microlepis,mercury,adams,255.20833333333334
mycteroperca microlepis,mercury,karimi,213.45982142857144
mycteroperca microlepsis,arsenic,hall,262.3333333333333
mycteroperca microlepsis,cadmium,hall,8.357142857142856
mycteroperca microlepsis,lead,hall,11.819999999999999
mycteroperca microlepsis,mercury,hall,330.125
mycteroperca phenax,arsenic,hall,217.79999999999998
mycteroperca phenax,cadmium,hall,7.285714285714286
mycteroperca phenax,lead,hall,13.440000000000001
mycteroperca phenax,mercury,adams,228.125
mycteroperca phenax,mercury,hall,206.03124999999997
mycteroperca phenax,mercury,karimi,228.83124999999995
myliobatis freminvillei,mercury,adams,75
myoxocephalus octodecemspinosus,arsenic,hall,166.66666666666669
myoxocephalus octodecemspinosus,cadmium,hall,8.571428571428571
myoxocephalus octodecemspinosus,lead,hall,10
myoxocephalus octodecemspinosus,mercury,hall,195.9375
myoxocephalus polyacanthocephalus,mercury,burger,228.75
myriprpistis argyromus,arsenic,hall,576.2666666666667
myriprpistis argyromus,cadmium,hall,15.714285714285714
myriprpistis argyromus,lead,hall,19.04
myriprpistis argyromus,mercury,hall,73.625
mytilus californianus,mercury,karimi,23.296370967741932
mytilus edulis,mercury,karimi,18.780691512155194
mytilus trossulus,mercury,burger,10
negaprion brevirostris,mercury,adams,318.75
nototodarus gouldi,mercury,karimi,6.25
octopus dofleini,mercury,burger,23.75
ocyurus chrysurus,arsenic,hall,153.4666666666667
ocyurus chrysurus,cadmium,hall,9.857142857142858
ocyurus chrysurus,lead,hall,13.8
ocyurus chrysurus,mercury,adams,84.375
ocyurus chrysurus,mercury,hall,80.74999999999999
ocyurus chrysurus,mercury,karimi,89.06250000000001
odontaspis taurus,mercury,adams,187.5
oligoplites saurus,mercury,adams,518.75
oncorhynchus gorbuscha,arsenic,hall,148.00000000000003
oncorhynchus gorbuscha,cadmium,hall,10.857142857142858
oncorhynchus gorbuscha,lead,hall,19.279999999999998
oncorhynchus gorbuscha,mercury,hall,13.656249999999998
oncorhynchus gorbuscha,mercury,karimi,25
oncorhynchus keta,mercury,karimi,39.583333333333336
oncorhynchus kisutch,mercury,karimi,27.507485029940128
oncorhynchus nerka,mercury,burger,26.25
oncorhynchus nerka,mercury,karimi,25.624999999999996
oncorhynchus tshawytscha,mercury,karimi,43.70977011494253
oncorhyncus keta,arsenic,hall,155.00000000000003
oncorhyncus keta,cadmium,hall,8.142857142857144
oncorhyncus keta,lead,hall,21.04
oncorhyncus keta,mercury,hall,17.812499999999996
oncorhyncus kisutch,arsenic,hall,171.5
oncorhyncus kisutch,cadmium,hall,11.071428571428571
oncorhyncus kisutch,lead,hall,18.5
oncorhyncus kisutch,mercury,hall,40.96875
oncorhyncus nerka,arsenic,hall,123.56666666666666
oncorhyncus nerka,cadmium,hall,10.714285714285714
oncorhyncus nerka,lead,hall,15.880000000000003
oncorhyncus nerka,mercury,hall,26.125000000000004
oncorhyncus tsawytschs,arsenic,hall,155.44444444444443
oncorhyncus tsawytschs,cadmium,hall,11.666666666666666
oncorhyncus tsawytschs,lead,hall,18.986666666666668
oncorhyncus tsawytschs,mercury,hall,36.614583333333336
ophiodon elongatus,arsenic,hall,134.16666666666669
ophiodon elongatus,cadmium,hall,9.928571428571429
ophiodon elongatus,lead,hall,14.24
ophiodon elongatus,mercury,hall,54.92187500000001
ophiodon elongatus,mercury,karimi,191.9958333333333
opisthonema oglinum,mercury,adams,93.75
opsanus beta,mercury,adams,106.25
orthopristis chrysoptera,arsenic,hall,194.66666666666669
orthopristis chrysoptera,cadmium,hall,7.857142857142857
orthopristis chrysoptera,lead,hall,39.68
orthopristis chrysoptera,mercury,adams,102.08333333333334
orthopristis chrysoptera,mercury,hall,97.96875
osmerus mordax,mercury,karimi,18.010357142857146
panaeus aztecus,arsenic,hall,220.5333333333333
panaeus aztecus,cadmium,hall,8.714285714285714
panaeus aztecus,lead,hall,22.96
panaeus aztecus,mercury,hall,45.71875
panaeus setiferus,arsenic,hall,277.49999999999994
panaeus setiferus,cadmium,hall,9.714285714285715
panaeus setiferus,lead,hall,27.18
panaeus setiferus,mercury,hall,37.109375
panaulirus interruptus,arsenic,hall,1690.4000000000003
panaulirus interruptus,cadmium,hall,35
panaulirus interruptus,lead,hall,21.880000000000003
panaulirus interruptus,mercury,hall,38
pandalopsis dispar,arsenic,hall,279.8
pandalopsis dispar,cadmium,hall,20.857142857142858
pandalopsis dispar,lead,hall,29.360000000000003
pandalopsis dispar,mercury,hall,99.75
pandalus borealis,arsenic,hall,900
pandalus borealis,cadmium,hall,15.714285714285714
pandalus borealis,lead,hall,15.2
pandalus borealis,mercury,hall,0
pandalus borealis,mercury,karimi,18.75
pandalus jordani,arsenic,hall,255.66666666666666
pandalus jordani,cadmium,hall,22.428571428571427
pandalus jordani,lead,hall,26.32
pandalus jordani,mercury,hall,80.75000000000001
panopea generosa,mercury,karimi,25.625000000000004
panulirus argus,arsenic,hall,1105.3666666666668
panulirus argus,cadmium,hall,16.571428571428573
panulirus argus,lead,hall,27.62
panulirus argus,mercury,hall,81.34374999999999
paralichthys albigutta,mercury,adams,110.41666666666667
paralichthys albiguttata,mercury,karimi,81.25
paralichthys californicus,mercury,karimi,151.04593323863637
paralichthys dentatus,mercury,adams,25
paralichthys dentatus,mercury,karimi,46.764329318105545
paralichthys lethostigma,mercury,karimi,47.84747023809523
paralicthys albugutta,arsenic,hall,194
paralicthys albugutta,cadmium,hall,9
paralicthys albugutta,lead,hall,18.72
paralicthys albugutta,mercury,hall,59.96875000000001
paralicthys dentatus,arsenic,hall,688.8
paralicthys dentatus,cadmium,hall,8.285714285714286
paralicthys dentatus,lead,hall,18.080000000000002
paralicthys dentatus,mercury,hall,123.49999999999999
paralicthys lethostigma,arsenic,hall,284.43333333333334
paralicthys lethostigma,cadmium,hall,10.428571428571429
paralicthys lethostigma,lead,hall,20.880000000000003
paralicthys lethostigma,mercury,hall,47.20312499999999
paralicthys oblongus,arsenic,hall,149
paralicthys oblongus,cadmium,hall,7.142857142857142
paralicthys oblongus,lead,hall,7.6
paralicthys oblongus,mercury,hall,32.65625
paralithodes camschatica,arsenic,hall,336.69999999999993
paralithodes camschatica,cadmium,hall,33.42857142857142
paralithodes camschatica,lead,hall,25.72
paralithodes camschatica,mercury,hall,49.28125000000001
paralithodes camtschaticus,mercury,burger,63.12500000000001
paralithodes camtschaticus,mercury,karimi,6.25
pargrus sedecim,arsenic,hall,1273.6666666666667
pargrus sedecim,cadmium,hall,12.57142857142857
pargrus sedecim,lead,hall,23.599999999999998
pargrus sedecim,mercury,hall,293.3125
parophrys vetulus,arsenic,hall,377.79999999999995
parophrys vetulus,cadmium,hall,5.357142857142857
parophrys vetulus,lead,hall,23.179999999999996
parophrys vetulus,mercury,hall,55.21874999999999
parophrys vetulus,mercury,karimi,20.123863527080495
patinopecten caurinus,mercury,karimi,22.43125
penaeus duorarum,arsenic,hall,499.4
penaeus duorarum,cadmium,hall,17.21428571428571
penaeus duorarum,lead,hall,20.86
penaeus duorarum,mercury,hall,49.57812499999999
peprilus alepidotus,arsenic,hall,37.66666666666666
peprilus alepidotus,cadmium,hall,10.000000000000002
peprilus alepidotus,lead,hall,7.6
peprilus alepidotus,mercury,hall,23.75
peprilus triacantus,arsenic,hall,224.46666666666667
peprilus triacantus,cadmium,hall,9.428571428571429
peprilus triacantus,lead,hall,13.28
peprilus triacantus,mercury,hall,23.15625
perca flavescens,mercury,karimi,86.8670696292471
platichthys stellatus,mercury,karimi,28.063671875
pleoticus robustus,arsenic,hall,3222.6666666666665
pleoticus robustus,cadmium,hall,16.857142857142858
pleoticus robustus,lead,hall,26.400000000000002
pleoticus robustus,mercury,hall,43.93749999999999
pleurogrammus monopterygius,mercury,burger,28.749999999999996
pleuronichthys ritteri,mercury,karimi,22.656250000000004
pododesmus macroschisma,mercury,burger,11.249999999999998
pogonias cromis,arsenic,hall,193.33333333333334
pogonias cromis,cadmium,hall,15.714285714285714
pogonias cromis,lead,hall,20
pogonias cromis,mercury,adams,90.625
pogonias cromis,mercury,hall,11.875
pollachius virens,arsenic,hall,461.4
pollachius virens,cadmium,hall,8
pollachius virens,lead,hall,18.64
pollachius virens,mercury,hall,103.31249999999999
pollachius virens,mercury,karimi,18.75
polypus marmuratus,arsenic,hall,1125.2666666666667
polypus marmuratus,cadmium,hall,71.14285714285714
polypus marmuratus,lead,hall,24.980000000000004
polypus marmuratus,mercury,hall,7.593749999999999
pomatomus saltatrix,arsenic,hall,180.31111111111113
pomatomus saltatrix,cadmium,hall,10.095238095238097
pomatomus saltatrix,lead,hall,17.533333333333335
pomatomus saltatrix,mercury,adams,400
pomatomus saltatrix,mercury,hall,201.08333333333331
pomatomus saltatrix,mercury,karimi,136.396966486151
poronotus triacanthus,mercury,karimi,50
prionace glauca,arsenic,hall,971.9333333333333
prionace glauca,cadmium,hall,14.142857142857142
prionace glauca,lead,hall,22.599999999999998
prionace glauca,mercury,hall,522.5
prionotus carolinus,arsenic,hall,279.00000000000006
prionotus carolinus,cadmium,hall,12.357142857142856
prionotus carolinus,lead,hall,25.480000000000004
prionotus carolinus,mercury,hall,89.06249999999999
prionotus evolans,arsenic,hall,212.46666666666667
prionotus evolans,cadmium,hall,8.857142857142858
prionotus evolans,lead,hall,24.08
prionotus evolans,mercury,hall,30.874999999999996
pristis pectinata,mercury,adams,278.125
procambarus clarkii,mercury,karimi,53.34583333333334
prosopium cylindraceum,mercury,karimi,42.1875
protothaca staminea,arsenic,hall,270
protothaca staminea,cadmium,hall,22.857142857142858
protothaca staminea,lead,hall,10
protothaca staminea,mercury,hall,0
pseudopleuronected americanus,arsenic,hall,752.5333333333333
pseudopleuronected americanus,cadmium,hall,7.714285714285715
pseudopleuronected americanus,lead,hall,15.280000000000001
pseudopleuronected americanus,mercury,hall,59.375
pseudopleuronectes americanus,mercury,karimi,36.06875
pylodictis olivaris,mercury,karimi,179.12492504016842
rachycentron canadum,mercury,adams,505.35714285714283
raja eglanteria,mercury,karimi,133.75
raja erinacea,arsenic,hall,1242.0666666666666
raja erinacea,cadmium,hall,13.428571428571429
raja erinacea,lead,hall,21.92
raja erinacea,mercury,hall,71.84375
raja ocellata,arsenic,hall,846.6666666666666
raja ocellata,cadmium,hall,10.000000000000002
raja ocellata,lead,hall,15.040000000000001
raja ocellata,mercury,hall,121.71874999999999
rhinoptera bonasus,mercury,adams,125
rhizoprionodon terraenovae,arsenic,hall,737
rhizoprionodon terraenovae,cadmium,hall,12.857142857142856
rhizoprionodon terraenovae,lead,hall,27.6
rhizoprionodon terraenovae,mercury,adams,509.375
rhizoprionodon terraenovae,mercury,hall,492.81249999999994
rhizoprionodon terraenovae,mercury,karimi,600
rhomboplites aurorubens,arsenic,hall,199.2
rhomboplites aurorubens,cadmium,hall,12.57142857142857
rhomboplites aurorubens,lead,hall,18.6
rhomboplites aurorubens,mercury,adams,109.375
rhomboplites aurorubens,mercury,hall,87.87499999999999
rhomboplites aurorubens,mercury,karimi,267.5
salmo clarki,arsenic,hall,96.46666666666668
salmo clarki,cadmium,hall,5.428571428571429
salmo clarki,lead,hall,14.12
salmo clarki,mercury,hall,178.71875
salmo gairdneri,arsenic,hall,137.53333333333336
salmo gairdneri,cadmium,hall,7.857142857142857
salmo gairdneri,lead,hall,28.4
salmo gairdneri,mercury,hall,0
salmo salar,mercury,karimi,37.375
salvelinus malma,mercury,burger,71.25
salvelinus namaycush,mercury,karimi,169.744733851875
sarda chiliensis,arsenic,hall,141.60000000000002
sarda chiliensis,cadmium,hall,10.142857142857142
sarda chiliensis,lead,hall,18.04
sarda chiliensis,mercury,hall,70.0625
sarda sarda,arsenic,hall,170.66666666666669
sarda sarda,cadmium,hall,31.857142857142858
sarda sarda,lead,hall,21.84
sarda sarda,mercury,hall,314.68749999999994
sardinella aurita,mercury,karimi,11.249999999999998
sardinops sagax,mercury,karimi,11.8125
saxidomus gigantea,arsenic,hall,442.4666666666666
saxidomus gigantea,cadmium,hall,26.857142857142858
saxidomus gigantea,lead,hall,25.620000000000005
saxidomus gigantea,mercury,hall,12.749999999999998
sciaenops ocellata,arsenic,hall,272.40000000000003
sciaenops ocellata,cadmium,hall,9.904761904761903
sciaenops ocellata,lead,hall,17.733333333333334
sciaenops ocellata,mercury,hall,44.729166666666664
sciaenops ocellatus,mercury,adams,239.84375
scomber japonicus,arsenic,hall,154.06666666666666
scomber japonicus,cadmium,hall,18.142857142857142
scomber japonicus,lead,hall,28.159999999999997
scomber japonicus,mercury,hall,55.21874999999999
scomber japonicus,mercury,karimi,50.9910625
scomber scombrus,arsenic,hall,248.4
scomber scombrus,cadmium,hall,9.285714285714286
scomber scombrus,lead,hall,16.919999999999998
scomber scombrus,mercury,hall,29.6875
scomber scombrus,mercury,karimi,25.29296875
scomberomorus cavalla,arsenic,hall,223.13333333333333
scomberomorus cavalla,cadmium,hall,10.642857142857144
scomberomorus cavalla,lead,hall,23.499999999999996
scomberomorus cavalla,mercury,adams,720.8333333333334
scomberomorus cavalla,mercury,hall,393.0625
scomberomorus cavalla,mercury,karimi,693.176598575036
scomberomorus maculatus,arsenic,hall,182.03333333333333
scomberomorus maculatus,cadmium,hall,12.428571428571427
scomberomorus maculatus,lead,hall,21.099999999999998
scomberomorus maculatus,mercury,adams,238.0681818181818
scomberomorus maculatus,mercury,hall,148.14062499999997
scomberomorus maculatus,mercury,karimi,225.84051724137933
scomberomorus regalis,mercury,adams,93.75
scomberomorus regalis,mercury,karimi,165
scophthalmus aquosus,arsenic,hall,205.86666666666667
scophthalmus aquosus,cadmium,hall,10.000000000000002
scophthalmus aquosus,lead,hall,13.8
scophthalmus aquosus,mercury,hall,11.875
scophthalmus aquosus,mercury,karimi,92.15277777777777
sebastes alutus,arsenic,hall,191.86666666666667
sebastes alutus,cadmium,hall,10.857142857142858
sebastes alutus,lead,hall,15.159999999999998
sebastes alutus,mercury,burger,30
sebastes alutus,mercury,hall,23.75
sebastes alutus,mercury,karimi,35
sebastes caurinus,arsenic,hall,140.66666666666669
sebastes caurinus,cadmium,hall,10.857142857142858
sebastes caurinus,lead,hall,20.04
sebastes caurinus,mercury,hall,168.03125
sebastes flavidus,arsenic,hall,246.20000000000002
sebastes flavidus,cadmium,hall,8.571428571428571
sebastes flavidus,lead,hall,15.280000000000001
sebastes flavidus,mercury,hall,91.4375
sebastes marinus,arsenic,hall,167.76666666666665
sebastes marinus,cadmium,hall,4.571428571428571
sebastes marinus,lead,hall,15
sebastes marinus,mercury,hall,67.390625
sebastes melanops,mercury,burger,104.375
sebastes paucispinis,arsenic,hall,127.63333333333333
sebastes paucispinis,cadmium,hall,10.071428571428573
sebastes paucispinis,lead,hall,20.14
sebastes paucispinis,mercury,hall,179.01562500000003
sebastes pinniger,arsenic,hall,185.9666666666667
sebastes pinniger,cadmium,hall,8.785714285714285
sebastes pinniger,lead,hall,13.320000000000002
sebastes pinniger,mercury,hall,51.0625
selene vomer,mercury,adams,125
semicossyphus pulcher,mercury,karimi,105
sepia elegans,mercury,karimi,29.625
sepia officinalis,mercury,karimi,105.62500000000001
sepia orbignyana,mercury,karimi,14.75
seriola dorsalis,arsenic,hall,186.53333333333336
seriola dorsalis,cadmium,hall,12.285714285714285
seriola dorsalis,lead,hall,21.680000000000003
seriola dorsalis,mercury,hall,86.6875
seriola dumerili,mercury,adams,377.0833333333333
seriola rivoliana,mercury,adams,350.00000000000006
seriola zonata,mercury,adams,368.75
siliqua patula,arsenic,hall,145.86666666666667
siliqua patula,cadmium,hall,18.500000000000004
siliqua patula,lead,hall,25.94
siliqua patula,mercury,hall,11.718750000000002
sphyraena argentea,arsenic,hall,168.66666666666666
sphyraena argentea,cadmium,hall,15.714285714285714
sphyraena argentea,lead,hall,25.520000000000003
sphyraena argentea,mercury,hall,102.125
sphyraena barracuda,arsenic,hall,203.13333333333335
sphyraena barracuda,cadmium,hall,9.142857142857142
sphyraena barracuda,lead,hall,11.88
sphyraena barracuda,mercury,adams,301.5625
sphyraena barracuda,mercury,hall,1287.25
sphyrna lewini,mercury,adams,528.125
sphyrna tiburo,mercury,adams,379.99999999999994
sphyrna tiburo,mercury,karimi,312.5
sphyrna zygaena,arsenic,hall,481.66666666666663
sphyrna zygaena,cadmium,hall,11
sphyrna zygaena,lead,hall,26.32
sphyrna zygaena,mercury,hall,1581.1562499999998
spisula solidissima,arsenic,hall,264.2
spisula solidissima,cadmium,hall,15.714285714285714
spisula solidissima,lead,hall,43.84
spisula solidissima,mercury,hall,6.937499999999999
squalus acanthias,arsenic,hall,314.22222222222223
squalus acanthias,cadmium,hall,20.476190476190478
squalus acanthias,lead,hall,26.840000000000003
squalus acanthias,mercury,hall,149.42708333333331
squalus acanthias,mercury,karimi,500
squatina californica,mercury,karimi,270.06944444444446
stenotomus chrysops,mercury,karimi,63.75000000000001
strongylocentrotus polyacanthus,mercury,burger,3.125
synodus foetens,mercury,adams,140.625
tautoga onitis,arsenic,hall,163.86666666666667
tautoga onitis,cadmium,hall,10.857142857142858
tautoga onitis,lead,hall,21.04
tautoga onitis,mercury,hall,150.21874999999997
tectura scutum,mercury,burger,5.624999999999999
tetrapturus albidus,arsenic,hall,190.45714285714283
tetrapturus albidus,cadmium,hall,13.571428571428571
tetrapturus albidus,lead,hall,18.657142857142855
tetrapturus albidus,mercury,adams,181.25
tetrapturus albidus,mercury,hall,422.75
tetrapturus angustirostris,arsenic,hall,151.6
tetrapturus angustirostris,cadmium,hall,7.142857142857142
tetrapturus angustirostris,lead,hall,16.8
tetrapturus angustirostris,mercury,hall,201.87500000000003
tetrapturus audax,arsenic,hall,187.53333333333336
tetrapturus audax,cadmium,hall,17.57142857142857
tetrapturus audax,lead,hall,34.12
tetrapturus audax,mercury,hall,907.8437499999998
thaleichthys pacificus,arsenic,hall,179.0666666666667
thaleichthys pacificus,cadmium,hall,15.571428571428573
thaleichthys pacificus,lead,hall,24.84
thaleichthys pacificus,mercury,hall,5.9375
theragra chalcogramma,arsenic,hall,212.5
theragra chalcogramma,cadmium,hall,5.5
theragra chalcogramma,lead,hall,28.82
theragra chalcogramma,mercury,burger,46.25
theragra chalcogramma,mercury,hall,90.84375
thunnus alalunga,arsenic,hall,244.33333333333334
thunnus alalunga,cadmium,hall,10.857142857142858
thunnus alalunga,lead,hall,16.979999999999997
thunnus alalunga,mercury,hall,93.515625
thunnus alalunga,mercury,karimi,125
thunnus albacares,arsenic,hall,131.93333333333334
thunnus albacares,cadmium,hall,13.071428571428573
thunnus albacares,lead,hall,21.680000000000003
thunnus albacares,mercury,adams,187.5
thunnus albacares,mercury,hall,158.53125
thunnus albacares,mercury,karimi,154.74238888888888
thunnus atlanticus,arsenic,hall,266.66666666666663
thunnus atlanticus,cadmium,hall,10.000000000000002
thunnus atlanticus,lead,hall,15.2
thunnus atlanticus,mercury,adams,724.9999999999999
thunnus atlanticus,mercury,hall,195.9375
thunnus atlanticus,mercury,karimi,484.68333333333334
thunnus obesus,arsenic,hall,190
thunnus obesus,cadmium,hall,8.571428571428571
thunnus obesus,lead,hall,10.4
thunnus obesus,mercury,hall,279.0625
thunnus obesus,mercury,karimi,328.59375
thunnus thynnus,arsenic,hall,250.4
thunnus thynnus,cadmium,hall,12.714285714285714
thunnus thynnus,lead,hall,19.26
thunnus thynnus,mercury,hall,179.3125
thunnus thynnus,mercury,karimi,691.6666666666666
todaropsis eblanae,mercury,karimi,35.125
trachinotus carolinus,arsenic,hall,511.8333333333333
trachinotus carolinus,cadmium,hall,8.928571428571429
trachinotus carolinus,lead,hall,14.959999999999999
trachinotus carolinus,mercury,adams,103.125
trachinotus carolinus,mercury,hall,39.1875
trachinotus falcatus,arsenic,hall,595.7333333333333
trachinotus falcatus,cadmium,hall,12.57142857142857
trachinotus falcatus,lead,hall,29.48
trachinotus falcatus,mercury,adams,184.375
trachinotus falcatus,mercury,hall,63.53124999999999
trachinotus goodei,arsenic,hall,509.6666666666667
trachinotus goodei,cadmium,hall,5.714285714285714
trachinotus goodei,lead,hall,14.52
trachinotus goodei,mercury,hall,195.9375
trachurops crumenopthalmus,arsenic,hall,250.66666666666669
trachurops crumenopthalmus,cadmium,hall,11
trachurops crumenopthalmus,lead,hall,19.36
trachurops crumenopthalmus,mercury,hall,88.46874999999999
trachusus symmetricus,arsenic,hall,129.46666666666667
trachusus symmetricus,cadmium,hall,10.714285714285714
trachusus symmetricus,lead,hall,18.04
trachusus symmetricus,mercury,hall,197.12500000000003
tresus capax,mercury,karimi,5.624999999999999
triakis semifasciata,mercury,karimi,559.5868055555557
umbrina coroides,mercury,adams,37.5
urophycis chuss,arsenic,hall,679.7333333333333
urophycis chuss,cadmium,hall,5.428571428571429
urophycis chuss,lead,hall,15.040000000000001
urophycis chuss,mercury,hall,55.21874999999999
urophycis chuss,mercury,karimi,56.25
urophycis regius,arsenic,hall,287.7333333333333
urophycis regius,cadmium,hall,13
urophycis regius,lead,hall,13.28
urophycis regius,mercury,hall,39.1875
urophycis regius,mercury,karimi,50
urophycis tenuis,arsenic,hall,408.8666666666667
urophycis tenuis,cadmium,hall,8.857142857142858
urophycis tenuis,lead,hall,15.559999999999999
urophycis tenuis,mercury,hall,86.09374999999999
xiphias gladius,mercury,karimi,505.6410714285715
xystreurys liolepis,mercury,karimi,15
