species,contaminant,dataset,concentration
aquipecten irradians,arsenic,hall,171.8
aquipecten irradians,cadmium,hall,19
aquipecten irradians,lead,hall,15.2
aquipecten irradians,mercury,hall,17.0625
archosargus probatocephalus,arsenic,hall,305.93333333333334
archosargus probatocephalus,cadmium,hall,13.714285714285715
archosargus probatocephalus,lead,hall,17.2
archosargus probatocephalus,mercury,adams,114.28571428571429
archosargus probatocephalus,mercury,hall,95.59375
archosargus rhomboidalis,mercury,adams,112.5
argentina silus,arsenic,hall,166
argentina silus,cadmium,hall,14.000000000000002
argentina silus,lead,hall,20.4
argentina silus,mercury,hall,32.65625
arius felis,arsenic,hall,598.4666666666667
arius felis,cadmium,hall,5.428571428571429
arius felis,lead,hall,17.04
arius felis,mercury,adams,121.875
arius felis,mercury,hall,90.84374999999999
atherinopsis californiensis,arsenic,hall,147.26666666666668
atherinopsis californiensis,cadmium,hall,24.42857142857143
atherinopsis californiensis,lead,hall,55.919999999999995
atherinopsis californiensis,mercury,hall,36.8125
bagre marinus,arsenic,hall,504.8
bagre marinus,cadmium,hall,11
bagre marinus,lead,hall,18.2
bagre marinus,mercury,adams,400
bagre marinus,mercury,hall,178.71875
bairdiella chrysoura,mercury,adams,211.25
bairdiella chrysura,arsenic,hall,142.20000000000002
bairdiella chrysura,cadmium,hall,10.142857142857142
bairdiella chrysura,lead,hall,24.8
bairdiella chrysura,mercury,hall,81.9375
balistes capriscus,mercury,adams,81.25
brevoortia patronus,arsenic,hall,221.13333333333335
brevoortia patronus,cadmium,hall,9.571428571428571
brevoortia patronus,lead,hall,28.4
brevoortia patronus,mercury,hall,0
brevoortia smithi,mercury,adams,71.875
brevoortia tyrannus,arsenic,hall,136.60000000000002
brevoortia tyrannus,cadmium,hall,10.142857142857142
brevoortia tyrannus,lead,hall,21.4
brevoortia tyrannus,mercury,hall,11.875
brosme brosme,arsenic,hall,72.33333333333334
brosme brosme,cadmium,hall,10.714285714285714
brosme brosme,lead,hall,18.8
brosme brosme,mercury,hall,192.96874999999997
callinectes sapidus,arsenic,hall,288.1333333333333
callinectes sapidus,cadmium,hall,18.6
callinectes sapidus,lead,hall,28.752
callinectes sapidus,mercury,hall,87.51874999999998
callinectes sapidus,mercury,karimi,56.831155578316796
cancer erroratus,arsenic,hall,475
cancer erroratus,cadmium,hall,27.142857142857142
cancer erroratus,lead,hall,40
cancer erroratus,mercury,hall,0
cancer magister,arsenic,hall,318.20000000000005
cancer magister,cadmium,hall,18.42857142857143
cancer magister,lead,hall,19.84
cancer magister,mercury,hall,114.79166666666664
caranx bartholomaei,mercury,adams,256.25
caranx crysos,arsenic,hall,203.13333333333335
caranx crysos,cadmium,hall,13.428571428571429
caranx crysos,lead,hall,20.32
caranx crysos,mercury,adams,112.5
caranx crysos,mercury,hall,124.6875
caranx hippos,arsenic,hall,193.53333333333333
caranx hippos,cadmium,hall,10.000000000000002
caranx hippos,lead,hall,25
caranx hippos,mercury,adams,362.5
caranx hippos,mercury,hall,816.40625
caranx melampygus,arsenic,hall,192.66666666666669
caranx melampygus,cadmium,hall,8.571428571428571
caranx melampygus,lead,hall,10
caranx melampygus,mercury,hall,305.78125
carcharhinus acronotus,mercury,adams,290.625
carcharhinus acronotus,mercury,karimi,664.0625
carcharhinus brevipinna,mercury,adams,381.25
carcharhinus brevipinna,mercury,karimi,425
carcharhinus falciformis,mercury,karimi,584.375
carcharhinus isodon,mercury,adams,125
carcharhinus leucas,mercury,adams,502.0833333333333
carcharhinus leucas,mercury,karimi,579.6875
carcharhinus limbatus,arsenic,hall,514.7333333333333
carcharhinus limbatus,cadmium,hall,7.642857142857144
carcharhinus limbatus,lead,hall,29.42000000000001
carcharhinus limbatus,mercury,adams,614.0625
carcharhinus limbatus,mercury,hall,745.1562499999999
carcharhinus limbatus,mercury,karimi,673.9583333333333
carcharhinus milberti,arsenic,hall,533.3333333333333
carcharhinus milberti,cadmium,hall,9.857142857142858
carcharhinus milberti,lead,hall,44.220000000000006
carcharhinus milberti,mercury,hall,765.34375
carcharhinus obscurus,arsenic,hall,827.8888888888888
carcharhinus obscurus,cadmium,hall,13
carcharhinus obscurus,lead,hall,30.8
carcharhinus obscurus,mercury,hall,936.7395833333333
carcharhinus obscurus,mercury,karimi,967.7884615384617
carcharhinus perezi,mercury,karimi,1406.25
carcharhinus plumbeus,mercury,karimi,368.3901563104915
carcharhinus signatus,mercury,karimi,1088.75
carcharodon carcharias,arsenic,hall,651
carcharodon carcharias,cadmium,hall,9.714285714285715
carcharodon carcharias,lead,hall,11.399999999999999
carcharodon carcharias,mercury,hall,347.34375
carcharodon carcharius,mercury,adams,3150
centropomus undecimalis,arsenic,hall,191.86666666666667
centropomus undecimalis,cadmium,hall,6.571428571428571
centropomus undecimalis,lead,hall,11.719999999999999
centropomus undecimalis,mercury,adams,233.92857142857142
centropomus undecimalis,mercury,hall,404.34375000000006
centropristis  striata,arsenic,hall,529.4888888888889
centropristis  striata,cadmium,hall,9.833333333333332
centropristis  striata,lead,hall,18.013333333333335
centropristis  striata,mercury,hall,58.18749999999999
centropristis philadelphica,mercury,adams,43.75000000000001
centropristis striata,mercury,adams,91.66666666666667
centropristis striata,mercury,karimi,41.33461463137304
cerastoderma edule),mercury,karimi,85
chaetodipterus faber,mercury,adams,148.4375
chanos chanos,arsenic,hall,196.13333333333335
chanos chanos,cadmium,hall,9.857142857142858
chanos chanos,lead,hall,19.479999999999997
chanos chanos,mercury,hall,42.15624999999999
chionecetes bairdi,arsenic,hall,1394.1333333333332
chionecetes bairdi,cadmium,hall,42.71428571428571
chionecetes bairdi,lead,hall,14.44
chionecetes bairdi,mercury,hall,112.8125
chlamys hericius,arsenic,hall,156.66666666666666
chlamys hericius,cadmium,hall,13.428571428571429
chlamys hericius,lead,hall,11.44
chlamys hericius,mercury,hall,3.75
clupea harengus,mercury,karimi,35.28141071428571
clupea harengus harengus,arsenic,hall,153.06666666666666
clupea harengus harengus,cadmium,hall,15.857142857142856
clupea harengus harengus,lead,hall,21.320000000000004
clupea harengus harengus,mercury,hall,17.812499999999996
clupea harengus pallasi,arsenic,hall,283.9333333333334
clupea harengus pallasi,cadmium,hall,17.57142857142857
clupea harengus pallasi,lead,hall,23.839999999999996
clupea harengus pallasi,mercury,hall,58.1875
clupea pallasii,mercury,karimi,16.5625
conger oceanicus,arsenic,hall,588.8666666666668
conger oceanicus,cadmium,hall,7.857142857142857
conger oceanicus,lead,hall,10.2
conger oceanicus,mercury,hall,20.78125
coregonus clupeaformis,mercury,karimi,83.17891081871345
coregonus nasus,mercury,karimi,33.75
coryphaena hippurus,arsenic,hall,183.66666666666666
coryphaena hippurus,cadmium,hall,16
coryphaena hippurus,lead,hall,19.14666666666667
coryphaena hippurus,mercury,adams,80.35714285714286
coryphaena hippurus,mercury,hall,103.51041666666667
crassostrea gigas,arsenic,hall,235.53333333333333
crassostrea gigas,cadmium,hall,160.38095238095238
crassostrea gigas,lead,hall,25.586666666666662
crassostrea gigas,mercury,hall,13.8125
crassostrea gigas,mercury,karimi,20.885416666666664
crassostrea virginica,arsenic,hall,417.9111111111111
crassostrea virginica,cadmium,hall,225
crassostrea virginica,lead,hall,45.60000000000001
crassostrea virginica,mercury,hall,13.749999999999998
crassostrea virginica,mercury,karimi,22.118922299155717
cryptochiton stelleri,mercury,burger,6.25
cymatogaster aggregata,arsenic,hall,121.26666666666668
cymatogaster aggregata,cadmium,hall,15.42857142857143
cymatogaster aggregata,lead,hall,43.72
cymatogaster aggregata,mercury,hall,0
cynoscion arenarius,arsenic,hall,139.33333333333334
cynoscion arenarius,cadmium,hall,11.285714285714286
cynoscion arenarius,lead,hall,16.72
cynoscion arenarius,mercury,adams,335.4166666666667
cynoscion arenarius,mercury,hall,23.75
cynoscion arenarius,mercury,karimi,108.9375
cynoscion nebulosus,arsenic,hall,182.44444444444446
cynoscion nebulosus,cadmium,hall,8.095238095238095
cynoscion nebulosus,lead,hall,17.573333333333334
cynoscion nebulosus,mercury,adams,256.94444444444446
cynoscion nebulosus,mercury,hall,78.375
cynoscion nebulosus,mercury,karimi,159.1965029691603
cynoscion nothus,arsenic,hall,56.666666666666664
cynoscion nothus,cadmium,hall,15.714285714285714
cynoscion nothus,lead,hall,56.39999999999999
cynoscion nothus,mercury,adams,221.875
cynoscion nothus,mercury,hall,0
cynoscion regalis,arsenic,hall,122.66666666666666
cynoscion regalis,cadmium,hall,9.571428571428571
cynoscion regalis,lead,hall,19.179999999999996
cynoscion regalis,mercury,hall,44.53125000000001
cynoscion regalis,mercury,karimi,56.30510427616889
cynoscion regalis/arenarius,mercury,adams,110.41666666666666
cyprinus carpio,mercury,karimi,85.31937709993927
dasyatis americana,mercury,adams,106.25
dasyatis sabina,mercury,adams,136.25
dasyatis say,mercury,adams,62.5
decapterus pinnulatus,arsenic,hall,230.46666666666664
