biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,species_name,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season.x,season.y,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,FoodTroph,FoodSeTroph,StockCode,SpecCode.x,SpecCode.y,Genus,Species,FBname,Subfamily,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LTypeMaxM,LTypeMaxF,LTypeComM,LTypeComF,Length,CommonLength,CommonLengthF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Sp2000_HierarchyCode
fi184,11,901085,cleaned_fish_raw,NA,NA,Euryglossa panoides,NA NA,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1032.53,1.676976,1.23,3.5,NA,NA,12.265754,12.265754,20.0,NA,http://www.fishbase.org/summary/Euryglossa-panoides.html,0.01,3.04,NA,"Flounders, halibuts, soles",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi184,12,901082,cleaned_fish_raw,NA,NA,Dermogenys pusilla,Dermogenys pusilla,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,976.77,2.5828,0.85,3.4,NA,NA,12.265754,12.265754,7.0,NA,http://www.fishbase.org/summary/11299,0.01,3.04,NA,Miscellaneous pelagic fishes,NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),12693,hunting macrofauna (predator),NA,3.36,0.45,11623,11298,11298,Dermogenys,pusilla,Wrestling halfbeak,NA,pelagic-neritic,NA,NA,NA,SL,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA
fi184,12,901082,cleaned_fish_raw,NA,NA,Dermogenys pusilla,Dermogenys pusilla,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,976.77,2.5828,0.85,3.4,NA,NA,12.265754,12.265754,7.0,NA,http://www.fishbase.org/summary/11299,0.01,3.04,NA,Miscellaneous pelagic fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,43083,11298,11298,Dermogenys,pusilla,Wrestling halfbeak,NA,pelagic-neritic,NA,NA,NA,SL,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA
fi184,13,902225,cleaned_fish_raw,NA,NA,Dangila sp.,NA NA,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,926.25,2.00925,2.17,3.0,NA,NA,12.265754,12.265754,15.0,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=24381&genusname=Danio&speciesname=dangila&AT=Danio+dangila&lang=English,0.00708,3.07,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi179,14,NA,NA,NA,NA,Parambassis ranga,Parambassis ranga,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,900.0,2.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parambassis ranga,NA,NA,mainly animals (troph. 2.8 and up),12693,NA,NA,3.26999998092651,0.3858,10453,10130,10130,Parambassis,ranga,Indian glassy fish,NA,demersal,potamodromous,NA,NA,TL,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA
fi179,14,NA,NA,NA,NA,Parambassis ranga,Parambassis ranga,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,900.0,2.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parambassis ranga,NA,NA,NA,NA,NA,NA,NA,NA,42332,10130,10130,Parambassis,ranga,Indian glassy fish,NA,demersal,potamodromous,NA,NA,TL,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA
fi38,15,900199,Nile_tilapia_wild_skin-on_fillet_incl._bones_raw,NA,NA,Oreochromis niloticus,Oreochromis niloticus,Finfish,NA,16.15,NA,2.64,NA,NA,NA,NA,883.0,7.0,3.0,2.0,NA,NA,11.066667,11.066667,60.0,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=2,0.01995,2.96,NA,Tilapias and other cichlids,NA,Jan-May _dry season,NA,NA,NA,mainly plants/detritus (troph. 2-2.19),5414,browsing on substrate,NA,2.01999998092651,0.0,1,2,2,Oreochromis,niloticus,Nile tilapia,Pseudocrenilabrinae,benthopelagic,potamodromous,0,6,SL,NA,NA,NA,60.0,NA,NA,NA,4324.0,NA,40637,NA
fi38,15,900199,Nile_tilapia_wild_skin-on_fillet_incl._bones_raw,NA,NA,Oreochromis niloticus,Oreochromis niloticus,Finfish,NA,16.15,NA,2.64,NA,NA,NA,NA,883.0,7.0,3.0,2.0,NA,NA,11.066667,11.066667,60.0,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=2,0.01995,2.96,NA,Tilapias and other cichlids,NA,Jan-May _dry season,NA,NA,NA,NA,NA,NA,NA,NA,NA,5358,2,2,Oreochromis,niloticus,Nile tilapia,Pseudocrenilabrinae,benthopelagic,potamodromous,0,6,SL,NA,NA,NA,60.0,NA,NA,NA,4324.0,NA,40637,NA
fi184,16,901077,cleaned_fish_raw,NA,NA,Barbonymus altus,Barbonymus altus,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,870.26,1.639803,1.35,2.4,NA,NA,12.265754,12.265754,20.0,NA,http://www.fishbase.org/summary/Barbonymus-altus.html,0.01288,2.98,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,mainly plants/detritus (troph. 2-2.19),9497,grazing on aquatic plants,9497,2.40000009536743,0.1684,8482,8171,8171,Barbonymus,altus,Red tailed tinfoil,Cyprininae,benthopelagic,potamodromous,NA,NA,SL,NA,SL,NA,20.0,15.0,NA,12693,NA,NA,NA,NA
fi184,17,901092,cleaned_fish_raw,NA,NA,Puntioplites proctozystron,Puntioplites proctozystron,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,851.73,1.66837,1.1,2.7,NA,NA,12.265754,12.265754,30.0,NA,http://www.fishbase.us/summary/16203,0.00977,3.01,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,plants/detritus+animals (troph. 2.2-2.79),12693,variable,NA,2.7,0.28,14991,16203,16203,Puntioplites,proctozystron,NA,No subfamily,benthopelagic,potamodromous,NA,NA,TL,NA,NA,NA,30.0,NA,NA,NA,NA,NA,NA,NA
fi38,18,900197,North_African_catfish_wild_skin-on_fillet_incl._bones_raw,NA,NA,Clarias lazera,NA NA,Finfish,NA,18.8,NA,3.7,NA,NA,NA,NA,832.0,8.0,3.0,3.2,NA,NA,11.066667,11.066667,170.0,NA,http://www.fishbase.org/summary/Clarias-gariepinus.html,0.00692,3.0,NA,Miscellaneous freshwater fishes,NA,Jan-May _dry season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi184,19,901089,cleaned_fish_raw,NA,NA,Rasbora tornieri,Rasbora tornieri,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,812.59,3.055239,0.73,3.2,NA,NA,12.265754,12.265754,17.0,NA,http://www.fishbase.se/summary/22832,0.00457,3.08,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),33813,NA,NA,3.2,0.4,18117,22832,22832,Rasbora,tornieri,Yellowtail rasbora,Danioninae,benthopelagic,non-migratory,NA,NA,SL,NA,NA,NA,17.0,NA,NA,NA,NA,NA,NA,NA
fi103,20,902189,NA,NA,NA,Pila sp.,NA NA,Molluscs,NA,11.8,NA,0.4,NA,NA,NA,NA,812.0,12.0,102.0,NA,NA,NA,14.903036,14.903036,15.0,NA,http://www.sealifebase.ca/summary/Rapana-rapiformis.html,NA,NA,NA,"Abalones, winkles, conchs",NA,dry season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi179,21,NA,NA,NA,NA,Esomus danricus,Esomus danricus,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,800.0,4.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Esomus danricus,NA,NA,plants/detritus+animals (troph. 2.2-2.79),55376,NA,NA,NA,NA,5389,5150,5150,Esomus,danricus,Flying barb,Danioninae,benthopelagic,potamodromous,NA,NA,TL,NA,NA,NA,13.0,NA,NA,NA,NA,NA,NA,NA
fi179,22,NA,NA,NA,NA,Amblypharyngodon mola,Amblypharyngodon mola,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,800.0,3.2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amblypharyngodon mola,NA,NA,NA,NA,NA,NA,NA,NA,19294,24301,24301,Amblypharyngodon,mola,Mola carplet,Danioninae,benthopelagic,NA,NA,NA,TL,NA,NA,NA,20.0,NA,NA,NA,NA,NA,NA,NA
fi179,23,NA,NA,NA,NA,Puntius sophore,Puntius sophore,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,800.0,3.1,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puntius sophore,NA,NA,NA,NA,NA,NA,NA,NA,10460,10137,10137,Puntius,sophore,Pool barb,Barbinae,benthopelagic,amphidromous,NA,NA,NG,NA,NA,NA,20.0,NA,NA,NA,NA,NA,NA,NA
fi179,23,NA,NA,NA,NA,Puntius sophore,Puntius sophore,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,800.0,3.1,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puntius sophore,NA,NA,NA,NA,NA,NA,NA,NA,39055,10137,10137,Puntius,sophore,Pool barb,Barbinae,benthopelagic,amphidromous,NA,NA,NG,NA,NA,NA,20.0,NA,NA,NA,NA,NA,NA,NA
fi184,24,901088,cleaned_fish_raw,NA,NA,Parachela siamensis,Parachela siamensis,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,777.84,2.925714,1.6,3.4,NA,NA,12.265754,12.265754,15.0,NA,http://www.fishbase.org/summary/27043,0.00389,3.12,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),12975,NA,NA,NA,NA,21158,27043,27043,Parachela,siamensis,NA,ex-danioninae,pelagic,NA,NA,NA,SL,NA,SL,NA,15.0,8.0,NA,57235,NA,NA,NA,NA
fi184,25,901084,cleaned_fish_raw,NA,NA,Esomus longimanus,Esomus longimanus,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,728.35,4.22443,9.39,3.0,NA,NA,12.265754,12.265754,110.0,NA,http://www.fishbase.org/summary/1450,0.02089,2.91,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),12693,selective plankton feeding,NA,3.31,0.43,21170,27062,27062,Esomus,longimanus,Mekong flying barb,Danioninae,benthopelagic,NA,NA,NA,SL,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA
fi211,26,901177,Marine_snail_muscle_raw,NA,NA,Hexaplex trunculus,NA NA,Molluscs,NA,15.75,NA,9.0,2.832586275,4.848623487,0.644600279,0.734312688,674.4,NA,8.1,NA,NA,NA,34.733333,34.733333,5.5,NA,http://eol.org/pages/4831626/data,NA,NA,NA,"Abalones, winkles, conchs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi89,27,900565,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,17.69,NA,8.04,NA,NA,NA,NA,637.14,3.5827,8.77,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Feb,NA,NA,NA,mainly animals (troph. 2.8 and up),12224,hunting macrofauna (predator),12224,3.84,0.59,1383,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA
fi89,27,900565,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,17.69,NA,8.04,NA,NA,NA,NA,637.14,3.5827,8.77,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,94411,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA
fi184,28,901078,cleaned_fish_raw,NA,NA,Barbodes gonionotus,NA NA,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,636.89,1.379924,1.05,2.4,NA,NA,12.265754,12.265754,40.5,NA,http://www.fishbase.org/summary/Barbonymus-gonionotus.html,0.01514,2.9,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi139,29,902207,Tilapia_wild_skin-on_fillet_raw,NA,NA,Tilapia pra,Tilapia pra,Finfish,NA,17.53,NA,4.35,NA,0.575750431,0.039166696,0.133166766,621.6,1.3209,0.83,2.0,NA,NA,4.565474,4.565474,60.0,NA,http://www.fishbase.org/summary/Oreochromis-niloticus.html,0.01995,2.96,NA,Tilapias and other cichlids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65621,Tilapia,pra,NA,Pseudocrenilabrinae,benthopelagic,NA,NA,NA,SL,NA,NA,NA,12.69,NA,NA,NA,NA,NA,NA,NA
fi103,30,900600,Swamp_eel_wild_gutted_and_beheaded_raw,NA,NA,Monopterus albus,Monopterus albus,Finfish,NA,19.7,NA,0.8,0.045255,0.1484364,NA,0.0259462,525.0,1.4,1.1,2.9,NA,NA,14.903036,14.903036,100.0,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=4663,7.1e-4,3.06,NA,Miscellaneous freshwater fishes,NA,dry season,NA,NA,NA,mainly animals (troph. 2.8 and up),34202,hunting macrofauna (predator),12693,2.88000011444092,0.2846,4880,4663,4663,Monopterus,albus,Asian swamp eel,NA,demersal,potamodromous,3,NA,SL,NA,SL,NA,100.0,40.0,NA,44894,NA,NA,NA,NA
fi192,31,NA,NA,NA,NA,Donax trunculus,NA NA,Molluscs,8.12,NA,NA,0.87,NA,NA,NA,NA,448.9326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Autumn (Sep, Oct, Nov) 2006","Autumn (Sep, Oct, Nov) 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi103,32,900604,Golden_apple_snail_wild_shelled_raw,NA,NA,Pomacea canaliculata,NA NA,Molluscs,NA,11.6,NA,0.1,0.004888377,0.013996635,6.68496e-4,7.10277e-4,444.0,6.9,48.0,NA,NA,NA,14.903036,14.903036,15.0,NA,http://www.sealifebase.ca/summary/Rapana-rapiformis.html,NA,NA,NA,"Abalones, winkles, conchs",NA,dry season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi89,33,900571,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,18.99,NA,9.44,NA,NA,NA,NA,412.82,3.2392,11.98,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Aug,NA,NA,NA,mainly animals (troph. 2.8 and up),12224,hunting macrofauna (predator),12224,3.84,0.59,1383,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA
fi89,33,900571,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,18.99,NA,9.44,NA,NA,NA,NA,412.82,3.2392,11.98,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,94411,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA
fi89,34,900573,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,17.32,NA,9.66,NA,NA,NA,NA,400.87,3.345,11.58,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Oct,NA,NA,NA,mainly animals (troph. 2.8 and up),12224,hunting macrofauna (predator),12224,3.84,0.59,1383,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA
fi89,34,900573,Horse_mackerel_wild_muscle_tissue_raw,NA,NA,Trachurus trachurus,Trachurus trachurus,Finfish,NA,17.32,NA,9.66,NA,NA,NA,NA,400.87,3.345,11.58,3.64,NA,NA,41.00527,41.00527,62.0,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,94411,1365,1365,Trachurus,trachurus,Atlantic horse mackerel,Caranginae,pelagic-neritic,oceanodromous,0,1050,TL,NA,FL,NA,70.0,22.0,NA,3397,2e3,NA,27584,NA
fi179,35,NA,NA,NA,NA,Corica soborna,Corica soborna,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,400.0,3.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corica soborna,NA,NA,NA,NA,NA,NA,NA,NA,92624,1566,1566,Corica,soborna,Ganges river sprat,Ehiravinae,pelagic-neritic,NA,NA,NA,SL,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA
fi139,36,902199,Flat_sardine_wild_skin-on_fillet_raw,NA,NA,Sardinella sp.,NA NA,Finfish,NA,20.69,NA,0.17,NA,0.043343084,0.004056171,0.032681149,398.52,1.56702,1.83,3.4,NA,NA,4.565474,4.565474,31.0,NA,http://www.fishbase.org/summary/1043,0.00708,3.03,NA,"Herrings, sardines, anchovies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi192,37,NA,NA,NA,NA,Donax trunculus,NA NA,Molluscs,8.4,NA,NA,0.69,NA,NA,NA,NA,381.0254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Winter (Dec, Jan, Feb) 2005, 2006","Winter (Dec, Jan, Feb) 2005, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi38,38,900198,Mormyrid_wild_skin-on_fillet_incl._bones_raw,NA,NA,Mormyrus rume,Mormyrus rume,Finfish,NA,19.2,NA,1.46,NA,NA,NA,NA,359.0,6.0,1.0,2.5,NA,NA,11.066667,11.066667,100.0,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=2397,0.01175,2.79,NA,Miscellaneous freshwater fishes,NA,Jan-May _dry season,NA,NA,NA,plants/detritus+animals (troph. 2.2-2.79),13851,grazing on aquatic plants,NA,2.48,0.86,2591,2397,2397,Mormyrus,rume,Mormyrids,NA,demersal,potamodromous,NA,NA,SL,NA,NA,NA,100.0,NA,NA,NA,5300.0,NA,2915,NA
