median,lower,upper,culture
-0.5851055581146027,-0.642455666069593,-0.5289343237520592,GL
-0.1819184147829529,-0.22305339236883157,-0.1427690085179295,CS
-0.19319709785577482,-0.23536141201812566,-0.15564295896423025,CR
-0.1978774461450089,-0.23914929105064536,-0.1526581150605247,II
-0.16200847759921472,-0.19435711733839572,-0.128671787722821,HA
-0.12216086503167549,-0.16647799620736844,-0.08010176464067094,MN
-0.1737688552274103,-0.20867399244819376,-0.13473411319393375,NO
-0.14463998131455771,-0.17056710973310973,-0.11941087693181322,BC
-0.13827923279670282,-0.16777180641746428,-0.11327245506660812,KW
-0.14914737162021022,-0.16233125491932665,-0.13603446662731575,TS
-0.20103529051898106,-0.2318011664922857,-0.16790479594990096,TL
-0.19517088242870867,-0.24326862297892454,-0.14260470376004616,WA
-0.15802325444478704,-0.19990775153631593,-0.11406873780233569,YU
-0.11875627900832708,-0.16005255151897735,-0.07336911650715958,AB
-0.1519104989656017,-0.18901990823334527,-0.1148576795170407,MI
