sample,FD,region,sample_size
1,3.5952146200145103,global,29
2,3.9451511040021057,global,40
3,4.136755995284543,global,42
4,3.8675773150546173,global,27
5,3.2594711459593877,global,40
6,3.5685998597420685,global,36
7,3.484529987394377,global,52
8,4.434054586179613,global,40
9,3.6544730274325086,global,57
10,3.580030224437519,global,25
11,3.360947888156842,global,49
12,4.176651941730407,global,51
13,3.2217939547263454,global,41
14,3.1098270342946948,global,35
15,3.4326664182389797,global,38
16,3.617109610215489,global,29
17,3.7200804445854248,global,40
18,3.544893272167656,global,42
19,3.543097988456105,global,27
20,4.1684216357771,global,40
21,3.291932153520332,global,36
22,3.7547010614942975,global,52
23,4.569823415979489,global,40
24,3.777673316814193,global,57
25,4.490090556990356,global,25
26,3.8486339681176025,global,49
27,3.572484885136785,global,51
28,3.0585988481511657,global,41
29,2.9928746821455388,global,35
30,4.1291325870980815,global,38
31,4.733231278234026,global,29
32,3.1814005003212844,global,40
33,3.1878454216627907,global,42
34,3.842108003302899,global,27
35,3.9088990540727293,global,40
36,3.4856333396748393,global,36
37,4.605770016385571,global,52
38,3.9627452958036504,global,40
39,3.590679158783217,global,57
40,3.648920305270357,global,25
41,4.764414996920937,global,49
42,3.6369326631870003,global,51
43,3.0668104939564653,global,41
44,3.7560955667456035,global,35
45,3.7033161287788396,global,38
46,5.930217273338036,global,29
47,4.5451859460081705,global,40
48,3.3513834160673466,global,42
49,3.9242179361321874,global,27
50,3.46195093121181,global,40
51,3.3396210894236904,global,36
52,3.800157202384606,global,52
53,3.1169580285230003,global,40
54,3.746889510122087,global,57
55,4.92372204598294,global,25
56,3.58106492188039,global,49
57,4.254055314131961,global,51
58,3.3852321873023694,global,41
59,4.100355418221201,global,35
60,4.117638479418875,global,38
61,3.9597531738022393,global,29
62,3.11959451189585,global,40
63,3.7401494169507057,global,42
64,3.3015527749690374,global,27
65,4.614881732926701,global,40
66,4.119527382978668,global,36
67,3.663023338484935,global,52
68,3.199353784862058,global,40
69,3.8646919766475696,global,57
70,3.6504104228403937,global,25
71,3.7352585840901935,global,49
72,3.3878769283324806,global,51
73,3.428116337132334,global,41
74,3.946061724362103,global,35
75,4.0541952320212555,global,38
76,3.167664761243623,global,29
77,4.53965991623361,global,40
78,4.474648286489711,global,42
79,4.1868595822681085,global,27
80,3.585750386975697,global,40
81,3.2085635182831957,global,36
82,3.7584183379616434,global,52
83,4.000708944108508,global,40
84,4.708230950385853,global,57
85,3.7351889489778918,global,25
86,3.5460891129688243,global,49
87,4.436450468258111,global,51
88,4.172526015739609,global,41
89,3.889997092391275,global,35
90,3.543411520421628,global,38
91,4.552451411340458,global,29
92,3.2902210913844883,global,40
93,4.342268770510135,global,42
94,4.0639748324300875,global,27
95,3.8344068561842866,global,40
96,4.070535384288455,global,36
97,3.6329254403769533,global,52
98,4.195553473687422,global,40
99,3.7733554021593023,global,57
100,3.6812678006961908,global,25
101,4.225241528208989,global,49
102,5.395126957173375,global,51
103,3.489592343925397,global,41
104,3.9501019659360077,global,35
105,2.85751797471524,global,38
106,2.9899079264861,global,29
107,3.336730218756225,global,40
108,3.8553131916305987,global,42
109,3.4586774195184122,global,27
110,3.1860999053369117,global,40
111,3.7287891991856714,global,36
112,3.7149704000738786,global,52
113,4.003012199808988,global,40
114,3.842836613940438,global,57
115,3.4188752339635515,global,25
116,3.7461246055555657,global,49
117,3.78327226091828,global,51
118,4.81956071190958,global,41
119,3.774257583279604,global,35
120,3.9826726288496443,global,38
121,2.9324256032699543,global,29
122,3.3272573761348196,global,40
123,3.8730137140563796,global,42
124,3.439565415014924,global,27
125,3.4677631006698815,global,40
126,3.067835505524557,global,36
127,3.6435520622269824,global,52
128,4.4648632046392125,global,40
129,3.8702287157762654,global,57
130,3.2619062015199063,global,25
131,4.248400683637818,global,49
132,3.9680531814814692,global,51
133,3.9705751813194805,global,41
134,3.5108899884457387,global,35
135,3.325149148841503,global,38
136,3.5916134737240233,global,29
137,3.7079541621671015,global,40
138,3.5982996496577724,global,42
139,3.872563871131306,global,27
140,3.582817143733553,global,40
141,3.628961733118694,global,36
142,3.7296042371174782,global,52
143,4.152731959855034,global,40
144,4.215709863282841,global,57
145,3.4810551648965906,global,25
146,4.525181016658441,global,49
147,3.60585815654759,global,51
148,4.707288798533151,global,41
149,3.7667502164482123,global,35
150,3.863911341280593,global,38
151,3.4035398474287812,global,29
152,3.3339027869456013,global,40
153,4.2734925305115095,global,42
154,3.5595339999531017,global,27
155,3.6638746754414098,global,40
156,3.13009382391742,global,36
157,5.325234202224355,global,52
158,3.196765148618449,global,40
159,3.8312578442431304,global,57
160,3.9900302432386323,global,25
161,4.832549343627311,global,49
162,3.7838537531985623,global,51
163,3.9710435220273275,global,41
164,3.551048144569635,global,35
165,5.707503099812249,global,38
166,4.164306712972087,global,29
167,3.2356891296740686,global,40
168,3.897566381649333,global,42
169,3.539440226287848,global,27
170,3.5644137715342388,global,40
171,3.8808858894451914,global,36
172,4.678061512575058,global,52
173,3.149850362698291,global,40
174,3.719732738921663,global,57
175,4.536283966111078,global,25
176,3.637853491830438,global,49
177,4.206848378940328,global,51
178,3.3934432450171426,global,41
179,4.934890981430435,global,35
180,4.376905528088059,global,38
181,4.008428343272333,global,29
182,4.57037992975048,global,40
183,3.5758157726888955,global,42
184,4.792115869406289,global,27
185,3.352864992320631,global,40
186,3.357001322785076,global,36
187,3.589701671148935,global,52
188,3.5035288199838908,global,40
189,3.7141538811881754,global,57
190,4.238507386784341,global,25
191,3.378186120182693,global,49
192,3.5968887159048335,global,51
193,4.8539196605990345,global,41
194,6.2790942768881175,global,35
195,4.247054122541128,global,38
196,3.3034116904000572,global,29
197,3.9827852096211376,global,40
198,3.294742147540669,global,42
199,3.5074141924639655,global,27
200,4.346635427465105,global,40
201,4.100544323379508,global,36
