number_of_species,mean_targets,low,high
1,3.70749,3.5369,3.8800499999999998
2,4.27914,4.0975,4.4182
3,4.48189,4.263225,4.618575
4,4.60336,4.363899999999999,4.7541
5,4.69023,4.441375000000001,4.8256250000000005
6,4.75686,4.504275,4.88205
7,4.81051,4.56175,4.925525
8,4.85243,4.623749999999999,4.94805
9,4.88552,4.6688,4.9671
10,4.91121,4.711475,4.978524999999999
