"term","estimate","std.error","statistic","p.value","conf.low","conf.high","dataset"
"a",408.241,5.44351,74.9959,1.11351e-12,395.653,420.909,"inuit"
"b",-0.179315,0.00875446,-20.4827,3.37734e-08,-0.199587,-0.15888,"inuit"
"a",207.022,3.18677,64.9628,3.50704e-12,199.692,214.387,"bangladesh"
"b",-0.481652,0.0124751,-38.609,2.22504e-10,-0.510469,-0.452927,"bangladesh"
"a",487.664,3.75796,129.768,1.39037e-14,479.023,496.324,"global"
"b",-0.519659,0.0064499,-80.5686,6.28012e-13,-0.534506,-0.504851,"global"
